Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,3586.1911699071943,2270.7659573442743,2304.325584688905,2314.2294707464903,2316.1585867510767,2317.5840910863635,2270.766540871142,2304.0743326458746,2313.679114089157,2313.7316003369124,2317.567590802465
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),51.73844603113778,55.00006398169374,45.000127799503105,45.001387585438465,55.00612956040651,45.00000002169765,54.99811075974238,45.0001926527681,54.939954307546806,45.011899307733906,45.00008350637243,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),89.61615421241737,40.45676073692814,47.38555676852266,30.69768592997415,41.185240888420296,34.66649941728929,40.453067167795105,47.389864022807735,41.10592143884992,30.708731738478228,34.66643085514411,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),74.58904231305537,38.46756784718266,28.785121691912668,29.05679853875585,36.14826367824044,33.87086058812525,38.46574386587797,28.786086088122435,36.046172844338535,29.05976677803565,33.87073344960925,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),133.0817174216423,103.93775631873632,198.2152882085929,198.89810366119437,138.46972429478728,91.33588281958302,103.93864512343768,198.2195270796051,138.46712199707565,198.90753138884403,91.33562076740435,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),135.33606292824453,22.39873135189983,44.97008177106469,19.70744711032377,18.46921039379965,23.19438386680289,22.39855904141325,44.977844616205516,18.703864698164715,19.720907086942603,23.194147062386715,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),119.68547423811458,7.145167932183025,26.252223831138398,7.5304456126045105,1.973932006476431e-09,9.702829456717469,7.144423307835179,26.25394485656576,0.22696293689627903,7.536319454963362,9.702586592110707,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
