Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,1828.6255010176528,1032.3558713162593,1081.656435829139,1084.7574484108177,1122.9662839444259,1226.347114615453,1230.470296216183,1032.3618106056017,1081.5312516075132,1083.242469697247,1105.0504994571293,1225.3332618605068,1230.4052153057166
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,0.0,2.0004139826889067e-190,9.546052069580619e-201,2.1380861019740603e-201,2.0806325561710913e-209,3.933188293646225e-231,5.334055724831134e-232,1.9946998666449816e-190,1.014037431410725e-200,4.441077171069666e-201,1.1915082304843682e-205,6.428163133411862e-231,5.504957503748793e-232
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),46.92877350703382,45.069710793957924,55.02016962993892,45.02156704572447,45.01179515223387,55.66171668184278,48.304068083139015,45.069738512777135,55.01984603156041,45.02130732827462,45.01158863056465,55.64774499197106,48.30456963465019,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),109.9972732518066,199.99597491543986,198.26557617573948,165.5769330622805,198.5397670053515,92.01847560330347,69.76988727588501,199.99631629330582,198.27636726809476,165.6150106374829,199.3980240697964,92.0388170510416,69.77623943111041,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),89.20406765429183,166.42023378614044,170.34225074133371,136.6685700068114,166.66631112096172,85.88957873714777,73.60802794064162,166.41791921004165,170.3422028018116,136.61861940772985,166.69509462326005,85.89448052307988,73.6082871123999,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),150.16200368937493,199.96272833140998,199.66094732592583,199.19023059023246,182.3342620686083,199.99881703262395,199.36852049609354,199.95677163451936,199.66505862940969,199.27703611775496,182.91063495575455,199.9870651187523,199.37359769505355,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),61.73508189746916,198.84476419784878,199.98978750957357,199.77294488178825,171.41767884107662,198.87683821736348,199.42442196555834,198.837734098503,199.99461825542048,199.9304153879565,172.00160869885906,198.87582840720103,199.42876302903466,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),31.201880673811765,165.27222835717396,172.01748723901846,170.86444944901098,139.2561090254852,175.5613806176071,180.83528831579457,165.27265414606188,172.01807586261387,170.9323020865863,139.317462029009,175.54933858692738,180.8348696917152,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
