Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,4350.6936180455705,2675.362617850631,2791.860966844354,2814.403220151877,2904.2840083212695,2943.6014687861825,3604.071558525483,2673.809744016482,2791.729821561784,2813.428487123836,2903.9635604067753,2942.010323632716,3532.236854306091
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),51.90542686898232,45.56198026110718,55.000000000000256,54.994871100539385,45.00058712031835,47.24423420381881,46.20201044747465,45.56417375152889,55.00005470014291,54.99497373997252,45.007985149003446,47.24326794409823,46.76228092090382,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),116.29864804777598,40.8051887524542,21.072497424133243,198.51633872506318,191.33559028991192,20.40300714359733,24.186222955651314,40.83068199767152,21.077477395419905,198.53595508646941,191.333216607297,20.42937324969849,24.9342134926058,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),126.89527017051957,32.757246589045266,18.708511553554125,199.99999999999218,199.99931655531137,18.579430601091854,20.273786978408488,32.75227680571459,18.70971512148694,199.9977850922796,199.99619059839108,18.58367798899188,20.9197683337635,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),94.22041026178447,90.80279804528608,14.475974818095201,20.56795272916391,9.92059794013744,48.30538565185162,199.36642982259465,90.82654887240294,14.478636191506933,20.58823445079843,9.921936753327733,48.30486591119394,198.5567804363308,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),111.24437633934178,29.036263858316175,14.475974818095107,18.262690852524518,11.506303155934258,20.74421594461566,42.28927474092969,29.06214106772345,14.4786049295126,18.28757779283786,11.509332712738296,20.751812880238305,41.91755424652452,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),94.26648630998137,10.767605972048305,0.0,3.946533110597655,1.5857055413397054,5.14884054327751,23.265702934477908,10.772149260028806,0.00037927417027746013,3.9526057908241126,1.5883515307968374,5.15639667529365,22.846988341630336,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
