Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,3241.248433151799,1978.0365683864259,2054.746890334957,2163.219798750483,2253.2089479800457,2259.861397312,1977.6826022937107,2054.34827263608,2161.7793824855535,2242.277902082722,2245.9028357757147
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),53.52497862911676,45.00000000000018,53.57452368130887,54.997511400307545,54.999999999364555,52.22218939928147,45.00697653131471,53.573683669475585,54.9967176630608,52.28422863667803,55.004520040311455,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),41.459298377534495,17.094960477372368,25.96889186388976,16.170914141139992,28.898180623132497,24.47510082495941,17.100424346757656,25.979057506445262,16.181150043487012,24.532775230551913,29.083126868651444,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),43.36539014250055,16.571420183848115,33.373626289762136,19.20009944347234,33.552037934282666,14.661133293144793,16.574776481013608,33.37344391284827,19.193693093699896,14.42171864199423,33.62261993978773,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),96.84944774867216,10.519065591403798,6.440167887641537,23.77980103887598,11.592857153819157,120.4361271159819,10.528256450365102,6.4456703535498265,23.787552732867574,120.15741166275754,11.71925620161532,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),37.66957209667744,13.151130029028845,8.528755161231302,21.885344732376065,20.196851984749717,52.805329571859886,13.154198544815944,8.53464641961383,21.89334145807063,53.09102748836088,20.367861915268296,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),24.559911551799537,2.632110983196247,2.088587507382797,14.560465374583,8.609362770383068,37.50963022555183,2.635898635316588,2.091576875662991,14.560048622758917,37.724686181744424,8.66777352519442,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),71.77056022513389,5.529259862836964,1.443060129550392,6.031215215795569,7.06151752450883,10.30466119223671,5.52589746854454,1.4435103416285182,6.0194368538094185,10.367895643729558,6.933986953028023,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),61.367008160644644,6.562915590482222e-06,6.401076888833501e-07,0.0,0.1742087186830061,0.0,0.006182935931536959,5.9557943064177964e-05,3.446467255615922e-06,9.663552743183285e-05,0.1735470693303321,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),377.0518522042913,497.02015776855535,499.9952117322782,64.3641810279436,243.82446341353582,499.8746081491159,497.017643486084,499.99283160717454,64.35791008845649,499.1394930820018,243.66785165002224,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),346.0307634400022,475.9741460466472,485.18953354912657,45.83105412429226,217.22899213058494,471.53338170332444,475.983303022094,485.1875833043613,45.8322659030403,470.7777104081539,217.0875326456456,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),266.1048122040418,499.9645192405191,302.8599620066568,499.8186352056258,499.9318515049474,339.7520214820091,499.9541631495031,302.860382519263,499.81422548557487,339.98819946578266,499.96596670202456,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),235.5014775151682,479.05956426810025,288.1700333450464,481.3937872051723,473.4880330544602,311.5678738133913,479.05963494645744,288.171815297834,481.393576336279,311.7806930395252,473.5331935871609,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),59.45253267727182,187.7976642720028,71.6910378052328,198.10025656507622,57.792626485966316,54.64825352739263,187.78709359619086,71.69373562980296,198.09840150214953,56.31105149460905,57.963842887214255,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),127.60074295760174,129.29854768291602,124.99507074665395,125.11978438786845,125.75879366528243,128.26169324343041,129.285776271104,124.99619661223261,125.11602349038631,129.02828629247918,125.77489131456912,free,1.0,1.0,0.0,500.0,ABC-->BC+A,no
r17_cs,AcCOAmit+Oxa-->Cit,(kegg:R00351),128.52673456909525,129.298547682916,124.9986049048496,125.1197843878684,125.80124856015445,128.33758565840347,129.28636166213488,124.99974846512062,125.11603224643781,129.0989254706529,125.81718490570708,free,1.0,1.0,0.0,500.0,AB+CDEF-->FEDBAC,no
r18_idh,Cit-->aKG+CO2in+NADH,(kegg:R00709f),284.26761315974073,100.0907814071358,99.99984236314452,99.9996420509909,96.61461695844706,299.51252515231795,100.09571184482233,100.00317820514655,100.00373789456629,298.809300903587,96.60829824153964,free,1.0,1.0,0.0,500.0,ABCDEF-->ABCDE+F,no
r19_idh,aKG+CO2in+NADH-->Cit,(kegg:R00709r),184.73286006126168,0.0955566813787057,0.0003539771202971262,5.8486687233162896e-05,0.0,199.999996856515,0.10395767875099425,0.003460091128254694,0.0037798657194488506,199.41415382894542,0.019327505743224213,free,1.0,1.0,0.0,200.0,ABCDE+F-->ABCDEF,no
r20_akgdh,aKG-->Suc+CO2in+ATP+NADH,(kegg:R01197),80.25239268339007,82.9081417133301,80.13102813250016,80.01623434304359,76.77889084771617,79.5145497165233,82.89396133031651,80.13297776545384,80.01680448007153,79.40107991562274,76.7743240669233,free,1.0,1.0,0.0,500.0,ABCDE-->BCDE+A,no
r21_sdh,Suc-->Fum+{0.6}NADH,(kegg:R02164f),390.7721395952226,82.90814171333014,493.89780742315077,80.01623483595056,498.58218791833826,499.99146678102636,82.92254320096436,493.8974861932688,80.01720859381498,499.6215023975474,498.5653468202007,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r22_sdh,Fum+{0.6}NADH-->Suc,(kegg:R02164r),310.5197469118325,0.0,413.76677929065056,4.929069055543375e-07,421.8032970706221,420.4769170645031,0.0285818706478044,413.7645084278149,0.0004041137433950526,420.22042248192463,421.79102275327745,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r23_fh,Fum-->Mal,(kegg:R01082f),207.76993011597102,320.2345581655637,452.3435368232831,299.42460033329195,472.7506680808175,497.7760503271087,320.2313084700536,452.3439578479088,299.42685055794226,497.18627857760566,472.7616203580578,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r24_fh,Mal-->Fum,(kegg:R01082r),127.51753743258095,237.3264164522336,372.2125086907829,219.40836599024829,395.9717772331013,418.2615006105854,237.337347139737,372.21098008245497,219.41004607787067,417.7851986619829,395.98729629113456,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r25_mdh,Mal-->Oxa+NADH,(kegg:R00343f),245.51156494580428,18.623410826067524,32.404741609819624,1.3086860628041515,354.8401069572726,485.47472872550674,18.60963777336813,32.39757798980588,1.3114084365070746,485.58382202999104,354.83905149410856,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r26_mdh,Oxa+NADH-->Mal,(kegg:R00343r),189.8084844545262,77.69180005720979,118.78978376437202,101.30868606280296,439.205165215451,499.99999999999994,77.68744343232304,118.78769335890027,101.30950403678442,499.9587110752603,439.1817578748785,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r27_pc,Pyr+CO2in+ATP-->Oxa,(kegg:R00344),91.72845602080146,355.25959034822523,268.38475612217474,404.79519295248997,210.16630681911244,142.86285693289665,355.2507467254499,268.3921647593969,404.7895939089647,145.71585383807272,210.30649161765217,free,1.0,1.0,0.0,500.0,ABC+D-->ABCD,no
r28_mae,Mal-->Pyr+CO2in+NADPH,(kegg:R00216),34.08028786338094,161.53752795247496,183.93279903890996,195.26883743373375,149.33832096612485,87.35541269930461,161.51178353257927,183.93957118664827,195.26801336346412,87.61824162888941,149.28352057078268,free,1.0,1.0,0.0,500.0,ABCD-->ABC+D,no
r29_g6pdh,G6P-->m6PG+NADPH,(kegg:R00835),30.276068811981652,24.98425242332346,30.748294655216547,25.444921547115605,34.35582470087921,18.21932102789062,24.9794893142706,30.74341121145364,25.443721396077066,17.769929870285786,34.354299019344964,free,1.0,1.0,0.0,50.0,ABCDEF-->ABCDEF,no
r30_pgd,m6PG-->Ru5P+CO2in+NADPH,(kegg:R01528),30.276068811981656,24.984252423323465,30.748294655216554,25.444921547115612,34.35582470087921,18.219321027890622,24.9794893142706,30.743411211453648,25.44372139607707,17.76992987028579,34.35429901934498,free,1.0,1.0,0.0,50.0,ABCDEF-->BCDEF+A,no
r31_ri,Ru5P-->R5P,(kegg:R01056f),39.52859508243295,14.98877367101514,16.90475651444519,49.98750808133728,18.114478175362777,49.986186831261186,15.000170299211907,16.90778841717647,49.99560928969253,49.94896103967691,18.157261950982473,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r32_ri,R5P-->Ru5P,(kegg:R01056r),24.268278580295195,0.0,0.0013639389494985936,34.89665119434708,3.3412390526555185e-13,37.248597617863936,0.013333028696589573,0.001833156076651852,34.89772377914005,37.43431588744983,0.042544392847615874,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r33_rbe,Ru5P-->Xu5P,(kegg:R01529f),38.98742980011459,34.337536532725565,13.84490207974701,10.354064660125402,46.562536476603235,49.98952553048094,34.33130139263984,13.839265380400162,10.347032536825921,49.67166412839675,46.60017957923043,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r34_rbe,Xu5P-->Ru5P,(kegg:R01529r),23.97167749027069,24.34205778041725,2.6142157265961506e-11,0.0,30.321189951086453,44.50779371598757,24.338649348884562,0.0018094300463234216,0.001196651301335097,44.41637941033804,30.3605981180203,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r35_tkt,R5P+Xu5P-->S7P+GAP,(kegg:R01641f),10.759933266480939,4.997739376164091,6.922451058840508,5.17703233006271,8.120673263147898,2.740865907246691,5.001222063301436,6.920196927966444,5.172923273821135,2.6276517580282945,8.120076713103467,free,1.0,1.0,0.0,50.0,ABCDE+FGHIJ-->FGABCDE+HIJ,no
r36_tkt,GAP+S7P-->Xu5P+R5P,(kegg:R01641r),3.2520571115589814,9.924213779477987e-12,1.898006665148233e-08,0.0,3.8949649966226156e-10,0.0,0.004896041423789032,0.0014689527895167488,5.331058832892412e-06,9.398998936233669e-06,0.00028598249839135277,free,1.0,1.0,0.0,50.0,HIJ+FGABCDE-->FGHIJ+ABCDE,no
r37_tal,GAP+S7P-->F6P+E4P,(kegg:R08575f),9.983885043624964,8.098730965746162,8.52206100096527,5.1842777151824935,8.120793361881018,3.4287097167978775,8.103026814531919,8.52150990543456,5.183355859811831,3.345047457522978,8.162532255370287,free,1.0,1.0,0.0,50.0,ABC+DEFGHIJ-->DEFABC+GHIJ,no
r38_tal,E4P+F6P-->S7P+GAP,(kegg:R08575r),2.4760088887030163,3.1009915895920086,1.599609961104843,0.007245385119798073,0.00012009912263156311,0.6878438095511944,3.1067007926542853,1.6027819302576467,0.010437917049544432,0.7174050984936275,0.04274152476522583,free,1.0,1.0,0.0,50.0,GHIJ+DEFABC-->DEFGHIJ+ABC,no
r39_tkt,E4P+Xu5P-->F6P+GAP,(kegg:R01067f),16.729248643190246,4.997739376154153,6.92245138343368,5.177032330062695,8.120673262758906,2.7408660307489123,4.996406766319508,6.919280852778658,5.172975021900911,2.627651873700139,8.11984041389931,free,1.0,1.0,0.0,50.0,ABCD+EFGHI-->EFABCD+GHI,no
r40_tkt,GAP+F6P-->Xu5P+E4P,(kegg:R01067r),9.2213724882683,0.0,3.4357325325087167e-07,0.0,5.184045234206878e-13,1.2350222927668887e-07,8.074444187402713e-05,0.0005528776017455581,5.707913862432539e-05,9.5146707884509e-06,4.9683294248920726e-05,free,1.0,1.0,0.0,50.0,GHI+EFABCD-->EFGHI+ABCD,no
r41_ldh,Pyr+NADH-->Lac,(kegg:R00703f),258.196022849844,94.13335004242498,127.2894861151479,48.55531577005269,97.90621531218542,81.89220446954599,94.1006142030894,127.28754152072165,48.55449161639433,81.07102095060051,97.73704673671031,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r42_Lac_ex,Lac-->LacEx,(kegg:Lac_ex),2.255870443600785,0.6242150124749086,1.2347749126332181,1.9592415166260382,0.955594830292086,1.1321753821840503,0.6170241949415383,1.2392378639849588,1.9605345287235723,1.0781825363637612,0.9482517164502731,fitting,1.0,1.0,0.0,5.0,nd,no
r46_SubsGln,SubsGln-->Gln,(kegg:SubsGln),0.1068704212423679,0.024010239068195993,0.12286529497550447,0.016650778739915495,0.050662781469435814,0.001899525583564099,0.00017025253482128022,0.12321699502804506,0.01594654607238688,-7.327471962526033e-11,0.021316858276238193,free,1.0,1.0,0.0,100.0,ABCDE-->ABCDE,no
r47_gls,Gln-->Glu,(kegg:R00256),124.3831097466269,492.91265575031014,0.08105439131132641,472.1562131479213,489.9970443438294,281.90367659100104,492.8824002080784,0.08113964944439012,472.1551731361344,281.7129922178423,489.9483908534703,free,1.0,1.0,0.0,500.0,ABCDE-->ABCDE,no
r49_gludh,Glu-->aKG+NADPH,(kegg:R00243f),178.8625209057164,482.912916987573,480.13153974647594,477.5302282982933,69.19363404805462,0.3111561487478802,482.88824120430655,480.1321772301444,477.5294543104144,0.12995445405254458,69.2241692972178,free,1.0,1.0,0.0,500.0,ABCDE-->ABCDE,no
r50_gludh,aKG+NADPH-->Glu,(kegg:R00243r),198.14488132080538,500.0,500.0,497.5135775195534,89.02936015878551,20.309134728027527,499.9860340400614,499.99891757870887,497.5126078591897,20.124021613071324,89.03881596609092,free,1.0,1.0,0.0,500.0,ABCDE-->ABCDE,no
