Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,5559.340332847406,4104.462379078417,4161.064319253215,4165.709710379428,4197.0218801876135,4234.6435717269815,4296.405542556063,4101.394209490891,4160.332342704593,4165.539131126343,4194.721216641317,4233.974390742491,4296.271408314377
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),53.83315069156119,54.814578293867264,45.00886453722537,45.60735768045263,45.00001167489174,45.576028697870264,54.98734652546183,54.814209562525726,45.01891428274307,45.60924777909462,45.01891944885124,45.58984523299911,54.98734903409209,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),95.11422539409668,75.2052861734015,44.136972177757755,30.62779045725056,36.84105926288776,54.29733989638298,30.317698801583223,75.34171322124114,44.06824223034957,30.626663118993683,36.8783087041768,54.302245431185746,30.321270564157427,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),101.67118402147173,50.66802556556572,28.456293224987196,20.674311375507024,37.613436231257396,52.88135944790277,33.98375715020765,50.67799381127296,28.385970244660978,20.671838256131828,37.59229769346938,52.882965121548494,33.98372896948904,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),17.045883416976785,74.13041129288355,64.41366697702703,40.663684105838236,25.311071649575407,30.6481510327186,32.81350288504531,74.25167471792561,64.45767940528863,40.6719871734672,25.378930390449298,30.613418737672248,32.815595453774534,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),18.81375203084209,97.72655447650246,106.31781407746496,66.41750949962274,35.99232410515942,66.5885221259071,41.36621341115719,97.85319971727986,106.32295904926582,66.42242449598061,36.061250926235765,66.5754876049233,41.3683508578962,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),4.74124763791549,73.17727393972746,82.60654101141635,48.17805200153174,22.543402437810265,47.90608102887202,29.032584126464975,73.18833231468867,82.60940471399513,48.178883155357845,22.56886759543769,47.89820313427487,29.03266165359598,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),105.44920111376793,19.7670217097665,18.715994885425772,13.269793855788853,8.534793803283232,13.686136163102896,10.675057505742243,19.67962859068111,18.715508507430645,13.267019080643038,8.49958913537275,13.690253159269771,10.674447285669949,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),87.0879565272907,0.0001414487862109906,3.825482362346573e-06,0.01808185459168906,0.0,3.153537125778371e-07,0.0,0.0010356751898741314,0.0017205564354437145,0.01807887131807147,0.002759595177265693,0.0005980324502557547,3.415608982069207e-05,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),139.80061445094773,499.56496352197524,499.93254904019483,474.8065950944676,499.9771006016226,499.99214016895,407.54905375348557,499.5956460834249,499.916955458308,474.8103531349059,499.99842071129126,499.97796994057,407.54979710484247,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),97.05213396139308,455.24279275975044,453.48998785756385,439.17243638700575,470.88273581313086,458.99033289988836,376.5405231463928,455.25161176903106,453.4739719972511,439.17351334607775,470.90602168025237,458.9820282625965,376.5406209661462,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
