Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,2018.1074120578385,1346.5417997641553,1402.1903919518159,1450.6248648552335,1462.0191202227777,1527.5228546445414,1565.6118983042586,1346.4558278955615,1401.7047408387143,1450.0719572403282,1455.8590319715215,1528.37358693968,1558.250999161951
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,0.0,1.841148378751751e-256,3.271957319148893e-268,1.8932475797351132e-278,7.369640159428906e-281,1.0107748200638927e-294,8.643436965515237e-303,1.919690850853636e-256,4.1439180523784283e-268,2.4781552422561025e-278,1.4801322843983003e-279,6.675878496938735e-295,3.135082859106818e-301
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),53.996418608811645,54.83481074246364,45.06648671391734,55.00792813161926,45.00000000000016,55.03624442579248,54.450850028303,54.83295489537294,45.06666551509399,54.97293258319966,45.00000025570498,55.03611434270537,54.44734860434626,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),157.93466787702485,199.19365581789927,167.79458837363563,99.72077953622622,169.05021806253922,102.85712554762199,173.29471739709288,199.21510764274853,167.81417205968216,99.74055205779567,169.10771590162565,102.87543996638041,173.71139150367543,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),144.36188640822405,164.27305630292238,143.58589604495273,98.1207096330001,138.7225120430503,104.35398229688582,140.17546092209915,164.27661702914952,143.58092466114286,98.12599037002563,138.723002160756,104.3582787254291,140.12855689150692,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),71.45075455687598,199.85192508524042,199.76613253735127,199.26086526489448,199.7795937752383,199.80697103353225,134.28441669810596,199.85423793619,199.7679812109231,199.26929865970862,199.78408918797422,199.81414700755852,134.85830880455836,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),149.20057449068793,199.40404844802765,136.6726535517114,121.96543131971686,197.8273145539271,107.05710587067443,168.50596197228563,199.4149165681235,136.6985623059676,122.01801962363932,197.83150068275407,107.07148532861027,169.03474060257253,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),123.7895475888796,164.47236875942164,112.45691892617762,100.78834135113831,167.44964364080218,88.9834017227305,135.38456875703105,164.46886761333977,112.46450186730935,100.82672042182394,167.4498829193602,88.98794546049086,135.452634119868,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),57.25323525425628,149.18589282822234,24.198915692116426,21.202604694438882,66.64005533732877,18.134511557818602,67.32733384315111,149.18068767817803,24.21631485006074,21.192597516650448,66.66465171097785,18.135349529913007,67.08492274416446,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),35.29264380600672,118.23137092179131,0.0005446594476060117,3.6232927045156384e-07,37.709807384621854,0.03463063047188103,36.0724516769717,118.22949036990909,0.001234847847579843,0.001298504814980077,37.709816086387356,0.03866548542825245,36.0404592767688,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),89.85992493954333,65.89814299310807,162.35763219270294,172.38036327206586,59.50816867804298,157.60633530295343,64.37734375156444,65.90909679010042,162.398369634788,172.3775567350066,59.51017809749324,157.60708468381827,64.88313414981714,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),36.56918387298165,0.006401311256451963,113.9400053860749,120.21215893870152,0.17526736539313356,111.64746977905891,0.0,0.0080713564553986,113.94882267385707,120.2065897643331,0.17527269824676356,111.64367145763008,0.2569282644489409,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),360.92003945297193,469.07690551900083,499.34473718661627,170.3069238512308,103.41192454922566,90.04827244303488,494.7908093289573,469.0743108595171,499.3639211180206,170.3450724611218,103.41279364373784,90.0551288217732,494.99223411315853,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),308.519568155661,403.30508028712063,451.0544728035413,118.26742133930615,44.41416445279596,44.22261764986407,430.5529589879763,403.2942995975993,451.0441336429263,118.30188712126483,44.4143127278467,44.22357011364597,430.5003198133354,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),98.24549668762668,182.1806272409092,113.4615186607119,193.92651155254757,73.9847441070857,199.4133049427912,101.53796440898161,182.17957719697338,113.50088350804174,193.91770697811774,73.98122356510349,199.41531114447415,101.98897733731333,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),124.9960680476476,124.93126902286026,124.34223010709502,127.38903926841466,112.37396366569949,117.62058608525865,126.15261649554921,124.94870543598684,124.36305772634506,127.42325246341453,112.32211543496757,117.6223056248168,125.85460281285984,free,1.0,1.0,0.0,500.0,ABC-->BC+A,no
r17_cs,AcCOAmit+Oxa-->Cit,(kegg:R00351),126.06655740152291,124.93344624251041,124.82830991022973,127.38903926841465,112.3739636656995,117.62058610214774,127.8325080940048,124.95085405730418,124.84739371401878,127.4232524634536,112.32211544892041,117.62230606730331,127.528734490704,free,1.0,1.0,0.0,500.0,AB+CDEF-->FEDBAC,no
r18_idh,Cit-->aKG+CO2in+NADH,(kegg:R00709f),149.4315597836284,100.17431212660212,102.2533777224514,99.9721038414003,99.98556581434805,99.79032369386681,275.5181624847238,100.18797126553923,102.27154282129382,100.026662523026,99.99462145374773,99.80228921668731,275.5527329852497,free,1.0,1.0,0.0,500.0,ABCDEF-->ABCDE+F,no
r19_idh,aKG+CO2in+NADH-->Cit,(kegg:R00709r),50.14947465513909,0.188035709411638,2.255937355446549,0.008746888223733772,0.0,0.0020684500675511664,175.5625174976584,0.18797126731012026,2.2715432787366936,0.02666452615294149,2.28189438880601e-09,0.006621993703386228,175.56102803054665,free,1.0,1.0,0.0,200.0,ABCDE+F-->ABCDEF,no
r20_akgdh,aKG-->Suc+CO2in+ATP+NADH,(kegg:R01197),80.89625709717757,85.28648586362372,97.21668037298164,94.14648849069361,80.90068661697796,89.71733525330171,80.73336638355488,85.29635432578331,97.21741379713544,94.27423017229411,80.90542260291951,89.71922439219433,80.78084103161666,free,1.0,1.0,0.0,500.0,ABCDE-->BCDE+A,no
r21_sdh,Suc-->Fum+{0.6}NADH,(kegg:R02164f),252.2727013229229,90.00867240085405,484.52697205333936,95.65403760417078,248.82373450220177,498.0835631204982,80.74189283527565,90.02049365546907,484.52797306442267,95.76200560444688,248.82847747232313,498.08510138513856,80.80114781412988,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r22_sdh,Fum+{0.6}NADH-->Suc,(kegg:R02164r),171.37644422574533,4.72218653723032,387.3102916803577,1.507549113477152,167.9230478852238,408.36622786719647,0.008526451720763885,4.7241393296857455,387.31055926728726,1.4877754321527612,167.92305486940361,408.3658769929442,0.02030678251321385,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r23_fh,Fum-->Mal,(kegg:R01082f),225.41674798697565,474.27250437441205,468.58558809846954,499.60714339346214,266.10661233804706,497.87785993851514,453.49968595460837,474.2714741992346,468.5778767090259,499.7683872106046,266.1115690092538,497.871021237668,453.4230304608448,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r24_fh,Mal-->Fum,(kegg:R01082r),144.52049088979808,388.9860185107883,371.36890772548793,405.4606549027685,185.20592572106912,408.16052468521343,372.7663195710535,388.97511987345126,371.36046291189047,405.4941570383105,185.2061464063343,408.15179684547365,372.64218942922815,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r25_mdh,Mal-->Oxa+NADH,(kegg:R00343f),185.6785048471067,100.56813198164575,58.1032158522926,213.71913676477556,27.207695535440347,171.0121980798908,187.61156846505799,100.55186099716317,58.10429783158636,213.57266254020533,27.204792547403496,171.01986231610024,187.67456797405623,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r26_mdh,Oxa+NADH-->Mal,(kegg:R00343r),265.64760779315907,183.87274034419497,100.27867129424583,242.3916656716228,112.65352425486245,208.36389323800134,287.6115684650579,183.8695725534543,100.2819101230626,242.33320655856673,112.65374086529188,208.3642820324701,287.6734701187904,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r27_pc,Pyr+CO2in+ATP-->Oxa,(kegg:R00344),250.0103173220615,319.42716037978596,219.15237397070834,295.03402992967585,197.81979238512162,279.27063560649185,264.12081018089816,319.459284592883,219.17711155856756,295.0592970689079,197.77145415743766,279.2641972141331,263.91086503014765,free,1.0,1.0,0.0,500.0,ABC+D-->ABCD,no
r28_mae,Mal-->Pyr+CO2in+NADPH,(kegg:R00216),176.33614277895094,182.30406650638662,145.18851507632814,138.3689670297458,157.85106567925243,109.72383090628577,197.70741614244787,182.33158015228818,145.19538590321753,138.51439100486698,157.8531788265032,109.72229892181846,197.50004154595166,free,1.0,1.0,0.0,500.0,ABCD-->ABC+D,no
r29_g6pdh,G6P-->m6PG+NADPH,(kegg:R00835),26.556371293017186,2.7836756109353047,7.993846443067017,37.366453489074686,5.7766855933252605,39.353464115523536,7.3031576737935415,2.7781455006278493,8.00154379110703,37.36622236534497,5.715440541355823,39.34660502982624,7.03390940601048,free,1.0,1.0,0.0,50.0,ABCDEF-->ABCDEF,no
