Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,3516.9263122327957,2253.812211682767,2286.1604168985805,2316.079804411272,2335.0456387129793,2374.470474294132,2253.2227057896107,2281.8692681884722,2315.75695208493,2334.5927473034626,2371.199254946977
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),50.259218649721475,45.020013233358064,45.000000030146744,55.0718111530822,45.016759515540656,50.86388263008092,45.02161993365212,45.00613638552903,55.072045887723725,45.025820133296875,50.868256485050956,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),149.18899943538227,38.39207211348527,29.44617651427729,45.651315605394785,32.94031532916452,43.57590578266134,38.406863215645245,29.54242637432568,45.650250464453784,32.942960967944984,43.607720291188045,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),135.00186943150814,38.38985186816668,12.160301801523929,29.812917107063704,23.273418125497734,30.887722903998014,38.38221207711492,12.18665172433645,29.812410200889712,23.274689242594803,30.882328306410486,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),173.93070572753112,13.543255280746845,199.8562978556592,153.7058525838759,187.68494464453542,199.71088240542983,13.56230711595209,199.94569827293975,153.70365771609806,187.70190651834668,199.7345833018178,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),35.45144911500314,14.986394346183433,42.56461202385218,41.80722913058707,26.89193710099832,41.90760202457088,15.003837211743743,42.66368293336092,41.80475767717214,26.88382837446366,41.93892450916908,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),9.571069293058082,1.443828435852435,21.371870671815106,20.785704929254056,9.579013992751602,22.322582408199708,1.4489308863988197,21.37954487051037,20.785654975283176,9.570400419345049,22.331170399673365,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),59.74265235259302,9.150603221511167,17.575774323706767,17.427830035342193,12.314652393456353,19.636115221363816,9.134507298870087,17.44268566758692,17.42490217975117,12.314591054851887,19.60777451902576,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),32.00283155662968,0.029157455699755898,0.2945222447154232,0.3020726996815988,1.9823003482222902e-05,0.00012004040710347498,0.0292505377459827,0.29379627806970166,0.30197325315517476,6.594354000901902e-05,0.00025653765944361943,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),368.42732911918336,362.3626884263458,258.0544715440089,204.59543649575096,198.20428831581611,499.16214308023666,362.3527399373286,258.03563923446154,204.5893320565204,198.19602941742312,499.1507434455607,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),308.9605035922395,332.9285039176972,217.62704479333865,163.8565921072564,164.7537196848266,456.4927099140549,332.9274492574522,217.63843007566317,163.856669208873,164.74549823610846,456.4942902923396,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
