Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,2332.4840046957192,477.3280964652317,503.1280100550933,513.9073879709715,521.6155725560725,534.8995112650987,476.8322881432223,502.57088956681275,510.2058614557996,520.4070873646722,527.214259452757
Thres,,,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578
p_value,,,0.0,1.454149086915764e-70,1.311657799226571e-75,1.0039032116109397e-77,3.059289339875817e-79,7.370954782240904e-82,1.816626196050271e-70,1.686788339066336e-75,5.356504454319384e-77,5.290094266995576e-79,2.4154847726466574e-80
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),188.0642477997991,90.09637450960693,111.53029031474576,59.40372374428319,77.12752175767459,132.88719170702112,90.23227849135571,111.45620015307475,59.138116352946355,77.44314631365728,132.67192787234436,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),98.09282345199885,153.95226711575896,163.5004598070479,150.8929705049618,164.47522718762156,155.1430507916676,153.92204051021272,163.49125274451913,150.5469162872094,164.3501254224201,154.75124595393987,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),158.74627916974305,200.0,200.0,198.38464902719838,199.99998822974973,199.68885938954028,199.9600684640699,199.9971190651358,198.23359878060535,199.87310302717574,199.6336272357412,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),7.7410498398983165,72.72997805218289,108.00628905273169,71.8361133800254,149.71356077668975,179.5234654452588,72.73294117343579,107.99802335383791,71.64523590134657,149.61298302945923,179.17545026557855,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),48.37391044453803,179.7183625677891,181.6744884019148,176.24901033682735,182.37826800524,183.43487151614423,179.7275702856415,181.661491500905,176.2755758048283,182.33477243915598,183.21556338240427,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),76.91785661773903,199.99712883521224,199.98936811231238,191.6239615104328,199.9999344720984,199.5864551904461,199.99088678001667,199.9818986414902,191.7925148270807,199.9503401896117,199.593811685262,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),141.7069276306522,13.996780084416443,33.60717125050182,49.0799576333369,33.18709980941895,12.594882537441782,14.021514810070745,33.61026631604541,49.12841072020168,33.349275402398526,12.884180594152568,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),162.24754426465876,32.914897954068906,51.07613491194539,62.74441770725408,52.16991847867406,23.852335546528874,32.9419426649741,51.083446891386075,62.719032829105565,52.115258800182716,23.966841763573754,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),116.07276805520951,173.13343255165785,173.29889414866668,186.5702120159546,172.3465517783992,186.7769137971099,173.12876744097093,173.28708346578506,186.5297355172491,172.56148173303436,186.65715791297052,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),149.1025760901455,199.44583338032453,199.9904072792305,199.55125958916162,199.99948962687787,199.98883801871338,199.42515606050844,199.98794159169518,199.55242491283366,199.98932795412426,199.86600089577763,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),122.93127662217206,172.07350038249686,170.63562912755125,182.9056866607011,169.70888250384252,123.44207747551376,172.09732929670002,170.68745030707174,182.6837783249295,169.84549148730034,123.45226365672643,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),156.7235658639386,199.99828815701113,200.0,198.2577493028818,200.0,138.8674734362191,199.99586381223645,199.99657969082753,198.0626776789023,199.893681741524,138.86852169936992,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),12.721466876153837,0.11301391494470328,0.03559714351231988,0.04103485167520393,0.08038804379295783,2.9405864178793943,3.361475765762626e-09,0.0008805429569263563,-2.539752053110078e-08,4.3756984258180864e-08,3.0462673157988744,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),65.10995846918213,48.895883066578165,62.01445089783498,80.03219210145654,52.82959401217443,46.093469831695096,48.894200958279434,61.98856825498615,80.2850511730552,52.754227950931714,45.65554363261052,free,1.0,1.0,0.0,200.0,ABC-->BC+A,no
r17_cs,AcCOAmit+Oxa-->Cit,(kegg:R00351),68.0142394430921,60.826192652508595,75.9159493586382,101.36062641343928,65.05681547056528,46.093469883763376,60.82192437401512,75.96609707521324,101.87857433056615,65.06322516084296,46.195870587499456,free,1.0,1.0,0.0,200.0,AB+CDEF-->FEDBAC,no
