Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,7198.626238422204,4117.218313708064,4155.649942290696,4248.371615837088,4293.053696903726,4327.666079351475,4116.751704422998,4154.006141966363,4248.283007055491,4292.254689503026,4327.656108223459
Thres,,,46.19425952027847,46.19425952027847,46.19425952027847,46.19425952027847,46.19425952027847,46.19425952027847,46.19425952027847,46.19425952027847,46.19425952027847,46.19425952027847,46.19425952027847
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),160.22459449273842,98.00001412679084,197.49349253923816,197.99968330178174,98.00000083488493,197.9999956109353,98.00591231913441,197.4894712897197,197.99968017809118,98.00477879450106,197.99999494428027,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),25.490069678682094,8.509629271270251,8.297705962639387,9.823351175735201,8.69490155634646,10.253916105622496,8.512400869200087,8.315632550403288,9.822365911786424,8.704304916916255,10.253788926125916,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),37.721974092520995,20.277017440457925,20.268854648742757,18.57745225797629,20.09786397524118,20.292307430093608,20.27926086119438,20.308471569668175,18.577191006198362,20.12448760413577,20.29233954155301,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),40.32016923301801,188.3049735171722,187.99015485335886,191.19580529620728,97.06479763390774,128.45037949897824,188.2887779824265,187.96021310136558,191.1925663941594,97.04203113329311,128.45019440402083,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),34.35294278810155,188.266135699945,188.0094054791625,191.1958053664686,188.71766710978685,184.79526558504287,188.23692311873594,187.96513369983657,191.19498109403682,188.68769331411937,184.79507873108656,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),41.35026674525877,199.96115884361782,199.97137286166836,200.0,199.67809128391914,194.83911298597224,199.93339554694717,199.9513289387707,199.99998755823114,199.66550250327575,194.83910937849686,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),72.47756391127751,8.343364070215841,8.553041104178833,11.19540005508269,9.005184391447374,9.95135482877459,8.372358967912527,8.57544886321559,11.195003841340455,9.022097648278864,9.951481884634305,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),65.52745654245219,0.041219928113275545,0.5618362173581409,1.6698144279156288e-05,0.0,0.0,0.0688315963356495,0.5634159744201096,1.6845330887292618e-05,6.20935280118881e-06,2.1742386820239806e-06,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),36.67022848227529,187.71070975478122,196.0338281561136,75.81533798167021,198.20603098180428,182.85396301298906,187.74347957806572,196.02650715537462,75.81345500428635,198.20544270245227,182.85388951910662,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),34.10015484226634,191.06740624359404,200.0,73.44919603390835,199.940001642108,182.94918362337293,191.10123085280853,199.99734761534788,73.44856515736231,199.93997370365102,182.94918047211286,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),41.7342773194576,30.159614609848106,0.15439153446059128,20.09679529944068,0.003585949805240407,198.84138999254745,30.14112573243578,0.1526824422566686,20.100643741849417,0.026064314661947918,198.84138347077243,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),43.13798600973692,33.52306825641597,4.122940062464016,18.01037681764059,2.0114671901621004,198.9527590264081,33.49887700927334,4.124592938003146,18.019131909936686,2.0313464157847974,198.9527559337788,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),27.685017668412033,0.011286064742605184,11.068099317932528,8.52917048627326,0.0006276117837082928,19.88772790722437,9.433507752731884e-09,11.067635542190159,8.546208800613062,0.010598872253540836,19.887709630829555,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),113.67764835515561,43.99023164454768,52.569350160925026,32.48808779801773,44.550619713728466,31.595804572743468,43.859961937281064,52.546976854600416,32.47239459089923,44.56284651334357,31.59573241115334,free,1.0,1.0,0.0,200.0,ABC-->BC+A,no
r17_cs,AcCOAmit+Oxa-->Cit,(kegg:R00351),129.16991398059446,43.99398641156513,52.56935016092501,32.48824084116551,44.55061971372845,31.596698269050854,43.86355571793655,52.54813866563474,32.4725460562078,44.56496402728932,31.596626379877563,free,1.0,1.0,0.0,200.0,AB+CDEF-->FEDBAC,no
