Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,5639.60225920841,2938.2934074062878,2953.1379423211188,2969.295460913138,2979.9936656426207,3000.293880421555,2938.7151639076947,2951.99376005002,2960.703400135676,2977.905047061387,3000.004760013907
Thres,,,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),195.64065242095083,198.27837302155797,199.66447312994694,199.92471140124928,196.70253130317843,199.99815899482547,198.27574713260074,199.61343472836793,199.92773742017891,196.70258201807593,199.9998989000191,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),70.22178645299189,64.18920878917172,54.61217649698301,59.152953001571206,72.70793020477277,65.95161141726715,64.20148454684764,54.7002874376427,58.98873833974255,72.6836759045261,65.94046337086597,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),75.85589903980001,76.43339407686321,74.25064517625492,70.55730685614935,85.4192666490298,83.960922647354,76.43434334607446,74.3610207157338,70.56181766935374,85.41923276798704,83.96028584402734,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),22.33233361974135,51.0253834975309,40.423680736284666,56.21569231803678,47.11076314178004,41.23422552893064,51.02742404487835,40.442716660423585,56.18513365653572,47.10191332118618,41.2237077065169,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),54.57981430349109,84.37847640631959,61.121999361205,81.16394379000056,73.42855940709133,69.98645652179869,84.37800669087147,61.08317135182256,81.13293719045559,73.41964594788536,69.97448456904776,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),56.99609458431369,95.86341554975995,80.0553507939986,92.22994861967841,85.55650105433985,87.37866507760774,95.86170919074384,80.0332893878607,92.23114428323518,85.55652832304557,87.37678163957936,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),91.37845710472276,199.68610791300202,199.97980866344383,198.11665197520048,193.05758633268945,199.85285817728854,199.68595241528962,199.90159057058645,198.08078974326042,193.0591642520273,199.86461920091702,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),74.64925854118886,191.17230410611205,198.94732485432252,189.18546864814442,185.1961010738392,197.28590694013386,191.17121723608395,198.86563510723576,189.18736843617978,185.19613008656373,197.2872384873969,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),21.007691456435655,197.4084877355752,182.45099623675654,170.2090124666425,65.34093884421937,185.02285469441617,197.403571369912,182.4255525472341,170.20715367450677,65.34121612099335,185.0192653338023,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),5.085857020731615,200.0,199.99930523718965,172.1746594568141,69.31569783411337,199.53956067593163,199.99796054090146,199.98440749889508,172.1745033417899,69.31572708653962,199.5354189894989,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),51.47375503708354,88.78434295250761,179.50285048674738,101.42805196563721,27.841257922704546,175.24283324518277,88.78603467676814,179.56181236748697,101.384675921523,27.8376498740606,175.24578444171414,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),37.21857532443342,94.79640135596465,200.0,107.17343750455336,32.03980344680288,191.41046240491707,94.79776173143614,199.9963662990673,107.17391438810283,32.03993011026924,191.41224048100048,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),29.16598007017872,0.004159572976096371,0.0005464419917501906,0.0003968879407114656,0.009921872363915618,0.0013056067846564656,0.005740650791366431,1.958542900915017e-06,0.0017919937971244693,0.005970572873922997,5.0815708177442964e-05,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),81.71527934384181,98.83523050454684,62.7004616802713,74.31037710138074,53.99510036010266,104.23429936762206,98.83420110710013,62.733074363289425,74.2896964104886,54.006814997767606,104.23614852619949,free,1.0,1.0,0.0,200.0,ABC-->BC+A,no
r17_cs,AcCOAmit+Oxa-->Cit,(kegg:R00351),95.02029344360493,98.83523248499853,62.7004616802713,74.44217259768045,55.92028827249246,104.24213854568502,98.83444474451008,62.73358699759165,74.42149166014181,55.93174861646541,104.24447355626734,free,1.0,1.0,0.0,200.0,AB+CDEF-->FEDBAC,no
r18_idh,Cit-->aKG+CO2in+NADH,(kegg:R00709f),176.7418572124671,199.9821997299823,170.99768605771442,195.94188837185658,53.526110732593594,198.15789225813955,199.98510167501888,170.9739368544682,195.92952304511567,53.52677248663804,198.15583218755302,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDE+F,no
r19_idh,aKG+CO2in+NADH-->Cit,(kegg:R00709r),91.87340333081313,101.94910754663503,109.49307037141834,125.94791344944407,0.0007663737987637924,98.89837616647623,101.9506078228562,109.45241173435173,125.94808488589533,0.0009894586031510104,98.89386279447946,free,1.0,1.0,0.0,200.0,ABCDE+F-->ABCDEF,no
r20_akgdh,aKG-->Suc+CO2in+ATP+NADH,(kegg:R01197),66.53380476075861,100.0,52.53281839384143,69.38363720823554,44.84251749268289,92.14692012404518,99.99736683038192,52.5843989809419,69.37763339131202,44.841682600852856,92.14767317726967,free,1.0,1.0,0.0,200.0,ABCDE-->BCDE+A,no
r21_sdh,Suc-->Fum+{0.6}NADH,(kegg:R02164f),161.94854891111777,199.9713671098985,197.82019380714263,198.66648798508737,178.30904239229613,92.14750546615217,199.96992286975888,198.01249287461943,198.6615865630447,178.3082273263211,92.15345579836827,free,1.0,1.0,0.0,200.0,ABCD-->ABCD,no
r22_sdh,Fum+{0.6}NADH-->Suc,(kegg:R02164r),95.41474415035916,99.9713671098985,145.28737541330116,129.28285077685183,133.46652489961326,0.0005853421069866038,99.97255603937694,145.4280938936775,129.28395317173266,133.46654472546822,0.005782621098608631,free,1.0,1.0,0.0,200.0,ABCD-->ABCD,no
r23_fh,Fum-->Mal,(kegg:R01082f),76.05710670071662,199.99225203390833,199.39400048953866,199.47129449835845,196.45596851792197,199.9609350128767,199.9936379731206,199.55295115567947,199.4674354163103,196.45515847019902,199.96012636133167,free,1.0,1.0,0.0,200.0,ABCD-->ABCD,no
r24_fh,Mal-->Fum,(kegg:R01082r),9.523301939957989,99.99225203390833,146.8611820956972,130.0876572901229,151.6134510252391,107.81401488883152,99.99627114273868,146.96855217473754,130.0898020249983,151.61347586934616,107.81245318406202,free,1.0,1.0,0.0,200.0,ABCD-->ABCD,no
r25_mdh,Mal-->Oxa+NADH,(kegg:R00343f),115.50025716434719,190.86961096775812,17.697307723283743,130.48513270353166,133.3056246512723,96.6960226093453,190.865051484394,17.655694269579357,130.49187063369504,133.3063683150919,96.70128428973923,free,1.0,1.0,0.0,200.0,ABCD-->ABCD,no
r26_mdh,Oxa+NADH-->Mal,(kegg:R00343r),115.0416921088232,200.0,95.60965274835164,200.0,170.90207952137098,131.29826994719033,199.99751192672258,95.56541698020344,199.99972134355838,170.9020767417789,131.30391252932336,free,1.0,1.0,0.0,200.0,ABCD-->ABCD,no
r27_pc,Pyr+CO2in+ATP-->Oxa,(kegg:R00344),95.54124695376451,110.35279520953723,160.61184791232145,143.9579793196749,93.51674314259118,154.8878519941828,110.35448239986218,160.59130879482524,143.95721052546844,93.52746200317313,154.88755255456596,free,1.0,1.0,0.0,200.0,ABC+D-->ABCD,no
r28_mae,Mal-->Pyr+CO2in+NADPH,(kegg:R00216),53.33748371503013,106.05450185365325,127.378627966259,134.85828278345144,78.46406016584291,131.38020988655023,106.05823031011867,127.39766207980398,134.8493230085249,78.46215534548043,131.38026963392204,free,1.0,1.0,0.0,200.0,ABCD-->ABC+D,no
r29_g6pdh,G6P-->m6PG+NADPH,(kegg:R00835),6.101280158984269,1.1410110248582503,1.0694428323057716,0.9013668478338913,1.0379274861020784,0.9257220599350429,1.136889749305439,1.0724860046835278,0.8973278626922956,1.0511705135959954,0.9263024943639293,free,1.0,1.0,0.0,50.0,ABCDEF-->ABCDEF,no
r30_pgd,m6PG-->Ru5P+CO2in+NADPH,(kegg:R01528),6.10128015898427,1.1410110248582506,1.0694428323057719,0.9013668478338915,1.0379274861020786,0.9257220599350431,1.1368897493054393,1.072486004683528,0.8973278626922958,1.0511705135959957,0.9263024943639295,free,1.0,1.0,0.0,50.0,ABCDEF-->BCDEF+A,no
r31_ri,Ru5P-->R5P,(kegg:R01056f),29.325215812773806,43.4323381907333,48.81050932379106,49.73507121996365,20.56485764648316,39.38886417079275,43.433644989789634,48.829797201398975,49.59488393613426,20.562889225809297,39.389700352025244,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
