Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,3798.5451931631137,2312.2758381219824,2398.516042089782,2411.149126995796,2485.4848427214165,2707.62057226016,3105.527285138496,2311.540557677583,2390.556092223696,2409.1080514713367,2479.7955085314943,2659.263463979468,3031.242231696974
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),48.44945340309663,55.000000000000185,55.000000000000185,45.55150681072076,54.844327335895045,54.99812659789783,47.266076629550426,54.98232525747271,54.848529228318625,45.55350975622803,54.717816493438356,54.87449605534467,47.52738575372084,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),59.37947929536901,41.637697829855114,9.140965588828935,14.050516201040352,9.646660568289205,16.103230001923272,31.208974489819905,41.682770009208205,9.203563409348089,14.078738438098554,9.688910667073976,16.220558378355427,29.511879420057078,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),41.01129753870024,18.843546605999972,0.0,4.605255094160811e-06,4.184721762601353,16.282118539780456,6.5074298650067215,18.869027468109053,0.03886606864907397,0.0016405087632231446,4.212691880720131,15.644289988001248,6.048372733243463,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),83.14008683831757,89.25005702280487,17.50692753461093,44.13897696178901,14.104017793321548,12.34848297346093,77.2739672350384,89.23502747192052,17.583850695580395,44.17714201904535,14.321853858432911,13.72916629313072,76.7193355679065,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),67.57045161645766,50.456239636595676,18.234989055443336,39.93088622449783,17.108893396327783,18.692184868838662,95.05265630776813,50.45659714469341,18.99267115113015,39.96648530778023,17.718323287800715,19.59302806255626,94.82164786866815,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),46.462590293316765,27.646081238948998,0.72806152083235,17.74626613860761,3.0048756030061967,8.587983000525677,68.49418216552701,27.643268195173135,1.4648422820892972,17.753453457776775,3.5986592853510824,8.759281396042203,68.44233524183893,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),67.7955817909407,17.813872880893292,12.551946539210434,17.278706079397345,9.155428172789515,10.107740162558658,82.66914503919824,17.81640858297616,12.529765581679804,17.22682724716177,9.13308278655426,10.110763475686126,81.98805250257855,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),47.61535745610361,2.8505940724014253e-05,1.9844983798085356e-07,0.0,0.0,6.370076050983879e-06,60.021077570396606,2.871203157851695e-05,2.8140555223683536e-06,3.84867996916536e-05,6.359092591740199e-05,0.02308564668609451,60.51153662396343,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),297.6368596321359,477.28129900942497,499.872447689848,448.1023623535201,458.0830979491908,136.78927539609225,154.75663115089327,477.2598793657877,499.82081998381096,448.0811185657023,458.4798308146767,138.34296406833795,154.7452384537045,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),254.97893419092185,436.64929264993,465.63059284158544,404.57198194318005,430.50261248926284,111.4357945322116,104.62162478113655,436.6303773411123,465.5816625829749,404.57333099500266,430.9054250085509,112.29280043474392,105.43150697825236,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),316.83792695625783,499.9438139023092,499.95083102866437,499.7000050934153,499.9997816672506,237.1918310389244,307.20649928996727,499.9324710391154,499.9653103416632,499.6615734428076,499.7273062008291,237.058464985208,304.6466107467621,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),281.3996685567987,459.4297545946002,465.8168037295308,456.29001283021626,472.8135882771196,211.95714679442972,262.9854066347631,459.421463726509,465.83815941160174,456.27264161203226,472.5039314950561,211.12133691009785,260.2681850526913,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),53.341214297389165,186.0258305427676,199.35799343379455,198.8052166749985,119.33610129349334,199.34166678316498,57.74073392746688,186.02059510125002,199.31500668549043,198.79543315589444,120.07446424509644,199.64531460314524,61.3245150927697,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),109.4625178308763,128.2098404061205,123.02547748569677,125.0065751908366,124.33630371168103,108.42709463969194,124.85805672937892,128.21975630827882,122.96903140172186,125.0030347832849,124.26844129733156,108.887933473836,125.91398445270409,free,1.0,1.0,0.0,500.0,ABC-->BC+A,no
r17_cs,AcCOAmit+Oxa-->Cit,(kegg:R00351),111.7479714328931,128.20984277027793,123.03035300454319,125.00657711011216,124.33634811786912,108.42709463969189,124.85805672937896,128.21976016043638,122.97365857417364,125.00303873010013,124.26849168583746,108.88793521001634,125.9139845097074,free,1.0,1.0,0.0,500.0,AB+CDEF-->FEDBAC,no
r18_idh,Cit-->aKG+CO2in+NADH,(kegg:R00709f),255.80197383840957,100.3379757313222,98.36233597960707,99.99667229095364,99.56828518796755,226.41095012248638,263.38051255511704,100.29960745717368,98.20025809762289,99.99967032195914,99.06167794379823,226.83030713715243,262.91541053052083,free,1.0,1.0,0.0,500.0,ABCDEF-->ABCDE+F,no
r19_idh,aKG+CO2in+NADH-->Cit,(kegg:R00709r),172.67100723060676,0.49812147332389556,1.4799703205674696e-06,2.7571697382187488e-12,1.994643610091867e-09,142.50634517398265,165.40733912918603,0.49068215533827547,0.07840224538155699,0.006292926357779635,0.150455874961428,142.86795214038779,165.66594913790425,free,1.0,1.0,0.0,200.0,ABCDE+F-->ABCDEF,no
r20_akgdh,aKG-->Suc+CO2in+ATP+NADH,(kegg:R01197),63.632210004613974,79.876921503687,78.67149647149108,80.01010936697188,83.17427200991412,63.92219549428628,78.41033356365288,79.84567433643363,78.37515301568908,80.00483345735047,82.62795443015048,64.02590331397987,78.26940919079138,free,1.0,1.0,0.0,500.0,ABCDE-->BCDE+A,no
r21_sdh,Suc-->Fum+{0.6}NADH,(kegg:R02164f),379.2490338013259,476.5987870135455,84.25633551479287,161.47264646227046,499.99291339612114,63.92219549428631,313.15457577137585,476.5563963785061,84.16334953005638,161.47273533199586,498.63088572696483,64.49426637141465,313.08117775496805,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r22_sdh,Fum+{0.6}NADH-->Suc,(kegg:R02164r),315.6168237967119,396.7218655098585,5.584839043301768,81.46253709529854,416.818641386207,0.0,234.74424220772298,396.71072204207246,5.78819651436728,81.46790187464538,416.0029312968143,0.46836305743474793,234.81176856417667,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r23_fh,Fum-->Mal,(kegg:R01082f),343.67117739031306,476.9097677946798,499.9460846020531,299.84251850007104,355.6394251734115,273.62459214719007,297.5601620003986,476.8552803641186,499.71435651077115,299.83742690644345,354.88249114215967,274.38090103113285,298.3852768709456,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r24_fh,Mal-->Fum,(kegg:R01082r),280.0389673856991,397.0328462909928,421.274588130562,219.83240913309916,272.46515316349735,209.70239665290376,219.14982843674568,397.0096060276849,421.3392034950821,219.83259344909294,272.25453671200916,210.35499771715294,220.1158676801542,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r25_mdh,Mal-->Oxa+NADH,(kegg:R00343f),306.1355426638844,93.06843698336533,96.06030765599778,57.83640846930643,101.00238401961651,55.29972286263368,349.28080246192724,93.01439337288446,95.91922833699769,57.857280086141124,99.74852184892931,54.39544736681355,348.76077561915343,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r26_mdh,Oxa+NADH-->Mal,(kegg:R00343r),327.685997825302,118.28870327347398,98.95888338134165,157.83640846809988,108.84690660063035,94.38972775450466,371.85509817606976,118.26704425550403,98.84341170747611,157.83402474166806,109.13564360212172,94.26994795923515,372.2529215965939,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r27_pc,Pyr+CO2in+ATP-->Oxa,(kegg:R00344),141.27991005538686,286.2990823102005,289.0619907587268,380.40156395928517,205.3303676153898,321.4998516384769,149.89343806199253,286.3514540131676,288.94871602870757,380.3796183824011,207.59411467482533,322.3273751072069,153.61018118381662,free,1.0,1.0,0.0,500.0,ABC+D-->ABCD,no
r28_mae,Mal-->Pyr+CO2in+NADPH,(kegg:R00216),94.04187308364708,110.87675317232089,97.04850159372884,197.27686207342347,91.033414035978,121.1922020254859,106.92576366452977,110.8952117716336,96.77834513288987,197.25228537099093,91.87748650123896,122.0808395045844,107.87001875950274,free,1.0,1.0,0.0,500.0,ABCD-->ABC+D,no
r29_g6pdh,G6P-->m6PG+NADPH,(kegg:R00835),12.247894008716044,1.1735018502950103,20.51615651016509,20.194660446378546,20.95046727870696,25.372078997561097,11.775382858255988,1.1633145353747518,20.554844163823226,20.20389450764547,20.96278353693676,25.084856943907656,13.289154419988925,free,1.0,1.0,0.0,50.0,ABCDEF-->ABCDEF,no
r30_pgd,m6PG-->Ru5P+CO2in+NADPH,(kegg:R01528),12.247894008716045,1.1735018502950105,20.51615651016509,20.19466044637855,20.950467278706967,25.372078997561104,11.77538285825599,1.163314535374752,20.55484416382323,20.203894507645472,20.96278353693676,25.08485694390766,13.289154419988927,free,1.0,1.0,0.0,50.0,ABCDEF-->BCDEF+A,no
r31_ri,Ru5P-->R5P,(kegg:R01056f),46.82221015397034,45.05119934836513,12.15019456459989,49.547495818868654,27.792814027737727,49.50207445168227,37.23473386483675,45.047754358786904,12.712798953174474,49.555593811854806,28.08432784505415,49.52667074385215,38.043454706710094,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r32_ri,R5P-->Ru5P,(kegg:R01056r),37.31399571172638,43.89370467186161,2.1681500235393094e-10,37.486943862595055,15.484425736664447,34.41308586029131,27.31628052400864,43.88402623183323,0.5210863176930436,37.487633224877456,15.76498952421312,34.69929207610434,27.670106226736713,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r33_rbe,Ru5P-->Xu5P,(kegg:R01529f),10.469708004097376,0.017633051031614402,11.037133564990675,8.13619146449213,30.509172113912367,10.283090406170146,1.8569295174278915,0.0011853220048619608,11.08824194281485,8.138766856496852,29.550326433041732,10.257478530185917,2.9310344327239046,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r34_rbe,Xu5P-->Ru5P,(kegg:R01529r),7.730028437625285,0.0016258772401303515,2.671171619208666,0.002082974387179336,21.867093126278682,0.0,0.0,0.0015989135837887814,2.7251104144730576,0.0028329358287308387,20.906881216946,2.540260628898641e-07,0.0152284927083516,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
