Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,1842.2674411228106,1356.9715122478046,1358.2118301251348,1359.2149985202825,1362.533312958637,1370.0340681168125,1380.726959316673,1356.8033595454929,1357.7311040103943,1359.168459962435,1360.8908233661298,1367.9312286996337,1380.6128809966172
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,0.0,1.1584460273049262e-258,6.339742249817098e-259,3.893314541904242e-259,7.759733251653831e-260,2.0244684695761556e-261,1.1179847326536768e-263,1.257096636107677e-258,8.008354193060064e-259,3.982383722102624e-259,1.7241332894025274e-259,5.627050786374183e-261,1.1817534718784456e-263
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),55.9205541255911,45.87239038369346,55.00034191434069,55.34658395641157,46.23416698988333,55.0017019980397,56.824406871612794,45.925066143318524,54.98366184678092,55.34675537277498,46.31463119501529,55.19660646723422,56.82210378999915,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),108.79873026289181,110.29242693593012,194.95113049956464,118.7214522208019,108.26062663562935,122.11573455676606,110.16180530597364,110.31132969012465,195.0376071335175,118.7399732410526,108.11956494795886,122.01674147546758,110.17117784614612,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),99.09792105183459,104.35669833590809,172.05251373220534,114.49480395557391,100.80466259675651,121.55797575222226,104.06540927506413,104.3658169421835,172.03957110008582,114.49724176031381,100.63042119451192,121.44765458142268,104.0637423125857,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),65.57745781400969,199.95600475907423,197.86788433979768,199.69651977520132,199.954687243903,199.22730711383,199.16818124196075,199.950437917799,197.8864504813412,199.70929220166602,199.98335368910645,199.36653851068337,199.17575576583354,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),106.19234065579002,199.80514327546624,199.98242949488017,197.04781382896115,191.1829351351749,199.74322922084787,199.13900497445303,199.81657797283307,200.00000000580226,197.06077205230758,191.283293623357,199.75175523291796,199.14244752238713,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),77.46956164210854,174.8901230613028,170.87072117025306,173.18006052732545,165.06366136269293,176.63542636353256,172.99968096521604,174.90619554034842,170.86312050542872,173.1831080978428,165.143939358185,176.6409283783872,172.9966739473854,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),38.73323569494655,24.925377524985432,29.283109933253787,23.885219479863007,26.17042415868657,23.111008875298342,26.14611887665912,24.916281051785187,29.30780162402074,23.877360093333184,26.139354720399197,23.11187156808571,26.132624946825327,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),10.691865516258359,3.239458440877554e-05,2.5548870026355457e-06,6.748504312341432e-11,2.4567012422964926e-06,0.0011322349571332628,1.7775787393957204e-05,8.555278266175226e-05,0.0023095699718307084,7.14767766291751e-05,4.746815650159698e-07,0.001044636574356507,0.00012659185238063082,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),136.94609315761764,77.41061977006531,80.85849808149821,74.8595347179748,92.73156483236743,69.4118059539436,113.68672528239605,77.41547905253692,80.86715904544513,74.85913374750012,92.41400759113971,69.65081076012785,113.67384942179324,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),70.67095906393584,18.08060861843012,19.35713659987049,17.286009418339695,31.110214491095576,11.91910442990131,51.37983618312359,18.106466278777994,19.355365757551784,17.286714939615756,30.81019382438755,12.158286993842802,51.376408471097925,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),318.99079629810035,499.4163527895387,499.9669677999264,499.62475043147515,499.8007608450305,135.52467823986737,496.9649480457707,499.4077405680023,499.9622139865731,499.6297316319951,499.66112197458017,135.85628781096926,496.95449445418797,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),258.3953478762926,440.18675526596945,438.57468710771104,442.1509761326849,438.28165798571797,78.14055481441987,434.8568348204605,440.19872152777464,438.56054533884304,442.1557790006358,438.15826778605395,78.4723463408072,434.8577587399845,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),121.45821199557696,199.35605184285856,110.47381579360014,199.97932616338363,199.31264866306321,198.52371208597316,81.67915553826782,199.35890244788854,110.481841382932,199.98411974888378,199.32811001957128,198.6228229571213,81.69503127851387,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),123.95950429697326,117.47707188149144,117.87821153648335,122.92096532503693,123.47261664703225,124.42010526591096,124.86542161778864,117.53780200840681,117.85055601838604,122.92599169925666,123.78854369299575,124.75903009026054,124.86682177092166,free,1.0,1.0,0.0,500.0,ABC-->BC+A,no
r17_cs,AcCOAmit+Oxa-->Cit,(kegg:R00351),124.50392125133514,117.47709461559438,118.473947847662,122.92099188571306,123.47262027522683,124.42342591327876,124.86542161778864,117.53782412314919,118.44194063684789,122.92608421663778,123.78854369431772,124.7590300905221,124.86682182807168,free,1.0,1.0,0.0,500.0,AB+CDEF-->FEDBAC,no
r18_idh,Cit-->aKG+CO2in+NADH,(kegg:R00709f),268.526867312554,299.6806919492888,168.32557396451028,231.64350558476787,220.89720948350106,173.16484959380648,275.6749562809327,299.7050268648327,168.33290493564567,231.63906466449254,221.35314562846185,173.47741409057326,275.65872964171484,free,1.0,1.0,0.0,500.0,ABCDEF-->ABCDE+F,no
r19_idh,aKG+CO2in+NADH-->Cit,(kegg:R00709r),170.7476861908023,199.80130027347988,68.3430142831011,131.67702045586793,120.93576851307787,73.77183226808336,175.759164272905,199.79355838743209,68.33386719146267,131.67424510667198,121.43819686988307,73.71931572877625,175.7558404511423,free,1.0,1.0,0.0,200.0,ABCDE+F-->ABCDEF,no
r20_akgdh,aKG-->Suc+CO2in+ATP+NADH,(kegg:R01197),80.30482560228941,80.18240614900014,79.99461629385468,81.96588975521489,80.32020491004384,89.95272238203366,80.26620338851272,80.23012285871474,80.01681020250966,81.97338825784497,80.40308826635003,90.22064594126483,80.26208404748886,free,1.0,1.0,0.0,500.0,ABCDE-->BCDE+A,no
r21_sdh,Suc-->Fum+{0.6}NADH,(kegg:R02164f),450.6785499491765,370.42603715955477,494.4969837513783,81.98832673791944,378.4164283323484,499.41664345627396,488.59778792163627,370.4461456304656,494.49266914825654,81.99782847336643,378.2601116181107,499.40478733824267,488.5917619548133,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r22_sdh,Fum+{0.6}NADH-->Suc,(kegg:R02164r),370.3737243468871,290.2436310105546,414.50236745752363,0.022436982704527472,298.09622342230455,409.4639210742403,408.3315845331236,290.21602277175083,414.4758589457469,0.024440215521434425,297.8570233517607,409.18414139697785,408.3296779073245,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r23_fh,Fum-->Mal,(kegg:R01082f),426.2788377612945,499.96432717471725,497.8945678723755,499.90755110518296,492.76595527789044,497.95835582471324,499.8777685382371,499.9427392356781,497.90322663883785,499.91864013439823,492.74859039249975,498.0296645837761,499.8683973462007,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r24_fh,Mal-->Fum,(kegg:R01082r),345.9740121590051,419.7819210257171,417.8999515785208,417.94166134996806,412.4457503678466,408.0056334426796,419.6115651497244,419.71261637696335,417.8864164363282,417.94525187655324,412.3455021261497,407.80901864251126,419.6063132987119,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r25_mdh,Mal-->Oxa+NADH,(kegg:R00343f),272.4017838247819,117.19409169121363,1.7885672811323294,162.18145444908996,86.54628503002618,261.66842997481166,22.550741768360915,117.18165433070423,1.8222293113177548,162.18515292550214,86.31783129618543,261.4488596598906,22.553214633102137,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r26_mdh,Oxa+NADH-->Mal,(kegg:R00343r),297.8139864749796,217.10932082568598,101.7885634076979,210.7126868793789,160.897236486885,296.57052572855093,102.26780937281147,217.09196816033017,101.8195860311966,210.7142396014215,160.93075586098246,296.41622109596784,102.2727141814674,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r27_pc,Pyr+CO2in+ATP-->Oxa,(kegg:R00344),194.122046682527,347.4871337364068,218.47394397424767,281.8717020017424,314.0953288867993,263.05876620353024,204.62040477717318,347.54453928185166,218.4503400952883,281.87463662513994,314.71589804698374,263.3993050144683,204.63893322059133,free,1.0,1.0,0.0,500.0,ABC+D-->ABCD,no
r28_mae,Mal-->Pyr+CO2in+NADPH,(kegg:R00216),106.19197908002242,181.51992918214256,143.39303162596724,115.82989751013,150.98904153469246,106.55330364014604,160.00252656940563,181.56036568407444,143.40017174361083,115.83780575170348,151.41741453405655,107.01795133787982,159.99874133376642,free,1.0,1.0,0.0,500.0,ABCD-->ABC+D,no
r29_g6pdh,G6P-->m6PG+NADPH,(kegg:R00835),32.63498436005981,36.43899667605207,17.20356046288591,37.45540278703091,35.882366769341075,41.8189636902786,37.96908027939661,36.44749182932537,17.127718478417314,37.45219162344393,35.969814624501836,41.81260996945417,37.978250683752705,free,1.0,1.0,0.0,50.0,ABCDEF-->ABCDEF,no
r30_pgd,m6PG-->Ru5P+CO2in+NADPH,(kegg:R01528),32.63498436005982,36.43899667605208,17.203560462885914,37.45540278703092,35.88236676934108,41.81896369027861,37.96908027939661,36.44749182932538,17.127718478417318,37.45219162344394,35.969814624501836,41.812609969454186,37.978250683752705,free,1.0,1.0,0.0,50.0,ABCDEF-->BCDEF+A,no
r31_ri,Ru5P-->R5P,(kegg:R01056f),14.779953862243993,49.5821882299942,41.29468430506071,49.72812505439245,49.84028601552179,49.125438930468896,46.112666326153956,49.61044022072308,41.30274336757626,49.73206538265238,49.97579435329723,48.94146524150897,46.12770272903265,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r32_ri,R5P-->Ru5P,(kegg:R01056r),1.1669393048083903,32.12248316808355,30.304215399442526,31.913827303769228,32.621228979789805,29.85651929296177,28.186514025084794,32.1278180759412,30.31386835610076,31.914806232934424,32.656190240520424,29.670595232540617,28.187790086721197,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r33_rbe,Ru5P-->Xu5P,(kegg:R01529f),22.89013887354179,19.153179174448574,6.213096663277928,19.64110503640771,38.98974806175572,22.577136849706346,20.043131040221017,19.146464753486974,6.138848535656094,19.635944605814007,38.871437039452836,22.834202421355986,20.039820973495388,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r34_rbe,Xu5P-->Ru5P,(kegg:R01529r),3.868169070917563,0.17388756030715213,5.106010185772744e-06,0.0,20.326438328146622,0.02709279693485604,0.0002030618935558088,0.18159506894347116,5.068714263411555e-06,0.0010121320880126336,20.221226527727804,0.2924624608701527,0.001482932054109824,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r35_tkt,R5P+Xu5P-->S7P+GAP,(kegg:R01641f),12.390885563939321,9.489645807070719,41.710192981887204,9.900077399255492,9.331657253260234,11.525493754126815,10.095659862313695,9.48244140122626,41.65132236619346,9.896975804622581,9.325105265646704,11.406242101546836,10.093172110974605,free,1.0,1.0,0.0,50.0,ABCDE+FGHIJ-->FGABCDE+HIJ,no
r36_tkt,GAP+S7P-->Xu5P+R5P,(kegg:R01641r),2.8799006626271995,0.0,38.60364720325333,0.07952488105163202,2.3864556741112983e-06,0.2504717277410614,0.07419587314995679,6.558954502431506e-06,38.581900632722544,0.07950956775957839,9.784176321734275e-09,0.13537212130390966,0.07400309025395829,free,1.0,1.0,0.0,50.0,HIJ+FGABCDE-->FGHIJ+ABCDE,no
