Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,3362.1905248959356,479.7918252737593,519.2628803635956,521.9095616933057,572.7922890549836,607.439632208951,476.556280962826,519.0056395038283,521.3142136085147,571.2043578660878,606.9635794122564
Thres,,,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578,68.66929391228578
p_value,,,0.0,4.809974759410325e-71,8.883890945445229e-79,2.677637393797274e-79,2.3153160483601992e-89,2.9082959805694666e-96,2.0562105005569178e-70,9.98187565199528e-79,3.5070062323225463e-79,4.78628705179883e-89,3.619926614957532e-96
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),183.46943677637756,107.23871311730211,49.330622451126196,100.35526311411547,121.62488450059409,61.044727836838646,106.79060815867133,49.29851271348673,100.3328642168115,121.60009557482849,61.058070790260345,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),79.02383728138247,175.6298598795887,82.7340455193999,148.52221646292008,192.8765084234648,148.88614671952604,175.1125513596405,82.73755440605859,148.426498032108,192.71014250708663,148.95567158737757,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),109.82714196920249,199.99958275325884,116.89236103235855,200.0,198.76395985523723,199.99999786337497,199.92372918132875,116.89625117640328,199.99512958178488,198.7681208996696,199.99757734644115,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),148.2415479260906,192.03488057434774,12.102838610127636,59.90981570522095,158.3208510229275,11.274355782935615,191.8704652784858,12.110049422591032,59.897888433300075,158.28931498967427,11.322822199743214,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),74.61387515334324,188.80783639189082,94.87684223799874,85.39816413210318,199.94430621862693,13.961683385525724,188.5428050207074,94.8771036566217,85.37642374264435,199.88443575245046,14.008584739145839,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),93.91780417098376,196.72076263941992,109.5424411350643,107.69348900673486,196.99288952271192,44.276659401768455,196.5630521491574,109.53841106525122,107.67817859486303,196.9938661820459,44.27498476621152,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
