Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,5955.934722083596,4746.52374886694,4763.732298789448,4797.304720705537,4801.35113654965,4804.581032607413,4742.264604637967,4761.8051248557,4795.871983244123,4800.98845575105,4804.556040724132
Thres,,,67.5048065495412,67.5048065495412,67.5048065495412,67.5048065495412,67.5048065495412,67.5048065495412,67.5048065495412,67.5048065495412,67.5048065495412,67.5048065495412,67.5048065495412
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),170.2940183844622,197.97531795489664,198.00087489320717,198.0006385469867,197.95634558823977,197.9856541044488,197.94886044590706,197.9999189931972,197.99622431883108,197.9546432564936,197.98516320995319,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),50.67270141459174,80.70813921556058,98.7655783035827,71.36924248585646,53.746515987311,97.45265018435452,80.61959909454225,98.81155119040011,71.27596436889507,53.75295486004535,97.46283828265275,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),79.81143373959608,126.47537646802567,139.36183670484678,114.98981838766775,102.12862804142503,117.8676072753917,126.48545752063576,139.3545877379853,114.99027801905319,102.13706206041628,117.87214786634948,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),132.12854903355677,76.06575711835268,184.3724533673408,83.04599406275709,178.3532623992138,95.76189046997297,75.91230467134368,184.3451147584736,82.9864055202666,178.3406460853166,95.77012729664585,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),123.9133422032038,183.3194489642392,184.38407133574142,143.5257718186966,107.80526901224665,191.82550140416205,183.08307735719245,184.40389823178586,143.46399513349954,107.79697903593062,191.82961983787845,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),136.73831392426808,200.0,199.99998541326656,163.7191577391952,129.45200657497003,199.98831595312032,199.8651493700295,199.99273354147894,163.72074282699657,129.44567559020498,199.9846967572435,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
