State,Id,type,flux_calue,flux_std,lb,ub
reaction,r1_hk,free,1,1,0,200
reaction,r2_pgi,free,1,1,0,200
reaction,r3_pgi,free,1,1,0,200
reaction,r4_pfk,free,1,1,0,200
reaction,r5_fba,free,1,1,0,200
reaction,r6_fba,free,1,1,0,200
reaction,r7_tpi,free,1,1,0,200
reaction,r8_tpi,free,1,1,0,200
reaction,r9_gapdh,free,1,1,0,200
reaction,r10_gapdh,free,1,1,0,200
reaction,r11_peph,free,1,1,0,200
reaction,r12_peph,free,1,1,0,200
reaction,r13_pk,free,1,1,0,200
reaction,r16_pyrdh,free,1,1,0,200
reaction,r17_cs,free,1,1,0,200
reaction,r18_idh,free,1,1,0,200
reaction,r19_idh,free,1,1,0,200
reaction,r20_akgdh,free,1,1,0,200
reaction,r21_sdh,free,1,1,0,200
reaction,r22_sdh,free,1,1,0,200
reaction,r23_fh,free,1,1,0,200
reaction,r24_fh,free,1,1,0,200
reaction,r25_mdh,free,1,1,0,200
reaction,r26_mdh,free,1,1,0,200
reaction,r27_pc,free,1,1,0,200
reaction,r28_mae,free,1,1,0,200
reaction,r29_g6pdh,free,1,1,0,50
reaction,r30_pgd,free,1,1,0,50
reaction,r31_ri,free,1,1,0,50
reaction,r32_ri,free,1,1,0,50
reaction,r33_rbe,free,1,1,0,50
reaction,r34_rbe,free,1,1,0,50
reaction,r35_tkt,free,1,1,0,50
reaction,r36_tkt,free,1,1,0,50
reaction,r37_tal,free,1,1,0,50
reaction,r38_tal,free,1,1,0,50
reaction,r39_tkt,free,1,1,0,50
reaction,r40_tkt,free,1,1,0,50
reaction,r41_ldh,free,1,1,0,200
reaction,r42_Lac_ex,free,1,1,0,5
reaction,r46_SubsGln,free,1,1,0,100
reaction,r47_gls,free,1,1,0,100
reaction,r49_gludh,free,1,1,0,100
reaction,r50_gludh,free,1,1,0,100
reaction,r51_glul,free,1,1,0,100
reaction,r54_asp,free,1,1,0,10
reaction,r55_Asp_ex,free,0.79,1,0,10
reaction,r58_gpt_m,free,1,1,0,10
reaction,r59_Ala_ex,free,1,1,0,10
reaction,r82_acl,free,1,1,0,100
reaction,r84_G6P_BIO,free,1,1,0,100
reaction,r85_R5P_BIO,free,1,1,2,10
reaction,r86_DHAP_BIO,free,2.5,1,0,5
reaction,r87_Ser_BIO,fixed,0.273207051,1,0,10
reaction,r89_Ala_BIO,fixed,0.273207051,1,0,10
reaction,r90_Asp_BIO,fixed,0.21815583,1,0,10
reaction,r92_Glu_BIO,free,1,1,0,10
reaction,r93_Gln_BIO,free,1,1,0,10
reaction,r100_CO2,free,1,1,0,1000
