Name	Spectrum	Select	MDV	Std
UMPbrain	m0	1	0.5739	1
UMPbrain	m1	1	0.0864	1
UMPbrain	m2	1	0.0533	1
UMPbrain	m3	1	0.0413	1
UMPbrain	m4	1	0.0471	1
UMPbrain	m5	1	0.0502	1
UMPbrain	m6	1	0.0396	1
UMPbrain	m7	1	0.0369	1
UMPbrain	m8	1	0.0471	1
UMPbrain	m9	1	0.0240	1
Uridinebrain	m0	1	0.6005	1
Uridinebrain	m1	1	0.0793	1
Uridinebrain	m2	1	0.0386	1
Uridinebrain	m3	1	0.0397	1
Uridinebrain	m4	1	0.0412	1
Uridinebrain	m5	1	0.0452	1
Uridinebrain	m6	1	0.0449	1
Uridinebrain	m7	1	0.0446	1
Uridinebrain	m8	1	0.0433	1
Uridinebrain	m9	1	0.0227	1
UMPliver	m0	1	0.5907	1
UMPliver	m1	1	0.0918	1
UMPliver	m2	1	0.0461	1
UMPliver	m3	1	0.0462	1
UMPliver	m4	1	0.0462	1
UMPliver	m5	1	0.0568	1
UMPliver	m6	1	0.0543	1
UMPliver	m7	1	0.0357	1
UMPliver	m8	1	0.0226	1
UMPliver	m9	1	0.0096	1
Uridineliver	m0	1	0.6111	1
Uridineliver	m1	1	0.0828	1
Uridineliver	m2	1	0.0427	1
Uridineliver	m3	1	0.0437	1
Uridineliver	m4	1	0.0462	1
Uridineliver	m5	1	0.0556	1
Uridineliver	m6	1	0.0517	1
Uridineliver	m7	1	0.0343	1
Uridineliver	m8	1	0.0229	1
Uridineliver	m9	1	0.0091	1
UMPlung	m0	1	0.5391	1
UMPlung	m1	1	0.0861	1
UMPlung	m2	1	0.0579	1
UMPlung	m3	1	0.0550	1
UMPlung	m4	1	0.0562	1
UMPlung	m5	1	0.0635	1
UMPlung	m6	1	0.0584	1
UMPlung	m7	1	0.0418	1
UMPlung	m8	1	0.0299	1
UMPlung	m9	1	0.0122	1
Uridinelung	m0	1	0.5432	1
Uridinelung	m1	1	0.0909	1
Uridinelung	m2	1	0.0582	1
Uridinelung	m3	1	0.0564	1
Uridinelung	m4	1	0.0559	1
Uridinelung	m5	1	0.0648	1
Uridinelung	m6	1	0.0564	1
Uridinelung	m7	1	0.0366	1
Uridinelung	m8	1	0.0266	1
Uridinelung	m9	1	0.0111	1
Uridine	m0	1	0.6268	1
Uridine	m1	1	0.0934	1
Uridine	m2	1	0.0453	1
Uridine	m3	1	0.0448	1
Uridine	m4	1	0.0473	1
Uridine	m5	1	0.0528	1
Uridine	m6	1	0.0406	1
Uridine	m7	1	0.0263	1
Uridine	m8	1	0.0145	1
Uridine	m9	1	0.0082	1
