State,Id,type,flux_calue,flux_std,lb,ub
reaction,r1001_SubsGlcPeri,fixed,200,1,0,500
reaction,r1002_SubsCO2,free,1,1,0,1000
reaction,r1003_SubsLacPeri,free,1,1,0,200
reaction,r1004_SubsAcCOAmit,free,50,1,0,50
reaction,r1005_SubsGly,free,5,1,0,10
reaction,r1006_SubsGln,free,30,1,0,50
reaction,r1007_SubsAla,free,10,1,0,50
reaction,r1008_SubsSer,free,10,1,0,50
reaction,r1009_SubsUridine,fitting,5,1,0,10
reaction,r1010_SubsR5P,fitting,5,1,0,10
reaction,r1011_SubsGlcCn,fixed,50,1,0,100
reaction,r1013_SubsLacCn,free,1,1,0,50
reaction,r1015_Glc_bbb,free,1,1,0,100
reaction,r1016_Glc_bbb,fitting,1,1,0,50
reaction,r1017_Lac_bbb,free,1,1,0,1000
reaction,r1018_Lac_bbb,fitting,1,1,0,1000
reaction,r0001_Glc_liver_ex,free,1,1,0,500
reaction,r0002_CO2_liver_ex,free,1,1,0,1000
reaction,r0003_Lac_liver_ex,free,1,1,0,1000
reaction,r0004_AcCOAmit_liver_ex,free,1,1,0,200
reaction,r0005_Gly_liver_ex,free,1,1,0,100
reaction,r0006_Gln_liver_ex,free,1,1,0,200
reaction,r0007_Ala_liver_ex,free,1,1,0,200
reaction,r0008_Ser_liver_ex,free,1,1,0,200
reaction,r0009_Uridine_liver_ex,free,1,1,0,10
reaction,r0010_R5P_liver_ex,free,1,1,0,50
reaction,r0011_Glc_liver_ex,free,1,1,0,200
reaction,r0012_CO2_liver_ex,free,1,1,0,500
reaction,r0013_Lac_liver_ex,free,1,1,0,1000
reaction,r0014_AcCOAmit_liver_ex,free,1,1,0,200
reaction,r0015_Gly_liver_ex,free,1,1,0,200
reaction,r0016_Gln_liver_ex,free,1,1,0,200
reaction,r0017_Ala_liver_ex,free,1,1,0,200
reaction,r0018_Ser_liver_ex,free,1,1,0,200
reaction,r0019_Uridine_liver_ex,free,1,1,0,10
reaction,r0020_R5P_liver_ex,free,1,1,0,50
reaction,r0031_G6P_liver_BIO,free,1,1,0,100
reaction,r0032_UMP_liver_BIO,free,1,1,0,20
reaction,r0033_DHAP_liver_BIO,free,1,1,0,20
reaction,r0034_Ser_liver_BIO,free,1,1,0,20
reaction,r0035_Ala_liver_BIO,free,1,1,0,20
reaction,r0036_Asp_liver_BIO,free,1,1,0,20
reaction,r0037_Glu_liver_BIO,free,1,1,0,20
reaction,r0038_Gln_liver_BIO,free,1,1,0,20
reaction,r0039_FA_liver_BIO,free,1,1,0,50
reaction,r0040_ATP_liver_BIO,free,1,1,0,1000
reaction,r0041_NADPH_liver_BIO,free,1,1,0,1000
reaction,r0042_AcAsp_liver_BIO,free,1,1,0,5
reaction,r0043_CO2_liver_BIO,free,1,1,0,1000
reaction,r0060_hk_liver,free,1,1,0,500
reaction,r0061_pgi_liver,free,1,1,0,500
reaction,r0062_pgi_liver,free,1,1,0,500
reaction,r0063_pfk_liver,free,1,1,0,500
reaction,r0065_fba_liver,free,1,1,0,500
reaction,r0066_fba_liver,free,1,1,0,500
reaction,r0067_tpi_liver,free,1,1,0,500
reaction,r0068_tpi_liver,free,1,1,0,500
reaction,r0069_gapdh_liver,free,1,1,0,500
reaction,r0070_gapdh_liver,free,1,1,0,500
reaction,r0071_peph_liver,free,1,1,0,500
reaction,r0072_peph_liver,free,1,1,0,500
reaction,r0073_pk_liver,free,1,1,0,200
reaction,r0074_pyrdh_liver,free,1,1,0,200
reaction,r0075_cs_liver,free,1,1,0,200
reaction,r0077_idh_liver,free,1,1,0,500
reaction,r0078_idh_liver,free,1,1,0,500
reaction,r0079_akgdh_liver,free,1,1,0,200
reaction,r0081_sdh_liver,free,1,1,0,500
reaction,r0082_sdh_liver,free,1,1,0,500
reaction,r0083_fh_liver,free,1,1,0,500
reaction,r0084_fh_liver,free,1,1,0,500
reaction,r0085_mdh_liver,free,1,1,0,1000
reaction,r0086_mdh_liver,free,1,1,0,1000
reaction,r0087_MAL_liver_ex,free,1,1,0,1000
reaction,r0088_MAL_liver_ex,free,1,1,0,1000
reaction,r0089_mdh_liver_cyt,free,1,1,0,1000
reaction,r0090_mdh_liver_cyt,free,1,1,0,1000
reaction,r0091_pc_liver,free,1,1,0,500
reaction,r0092_pck1_liver,free,1,1,0,200
reaction,r0093_pck2_liver,free,1,1,0,200
reaction,r0094_fbp_liver,free,1,1,0,500
reaction,r0095_g6pc_liver,free,1,1,0,200
reaction,r0099_mae_liver,free,1,1,0,200
reaction,r0101_g6pdh_liver,free,1,1,0,200
reaction,r0102_pgd_liver,free,1,1,0,200
reaction,r0103_ri_liver,free,1,1,0,500
reaction,r0104_ri_liver,free,1,1,0,500
reaction,r0105_rbe_liver,free,1,1,0,500
reaction,r0106_rbe_liver,free,1,1,0,200
reaction,r0107_tkt1_liver,free,1,1,0,200
reaction,r0108_tkt1_liver,free,1,1,0,200
reaction,r0109_tal_liver,free,1,1,0,500
reaction,r0110_tal_liver,free,1,1,0,500
reaction,r0111_tkt2_liver,free,1,1,0,100
reaction,r0112_tkt2_liver,free,1,1,0,50
reaction,r0113_cad_liver,free,1,1,0,50
reaction,r0114_nt_liver,free,1,1,0,50
reaction,r0115_urk_liver,free,1,1,0,50
reaction,r0121_ldh_liver,free,1,1,0,100
reaction,r0122_ldh_liver,free,1,1,0,100
reaction,r0123_phgdh_liver,free,1,1,0,200
reaction,r0124_sal_liver,free,1,1,0,200
reaction,r0125_gptm_liver,free,1,1,0,500
reaction,r0126_gpt_liver,free,1,1,0,500
reaction,r0127_got_liver,free,1,1,0,50
reaction,r0129_gludh_liver,free,1,1,0,500
reaction,r0130_gludh_liver,free,1,1,0,500
reaction,r0131_glul_liver,free,1,1,0,500
reaction,r0132_gls_liver,free,1,1,0,500
reaction,r0133_acl_liver,free,1,1,0,100
reaction,r0135_aat_liver,free,1,1,0,50
reaction,r0136_OXPHOS_liver,free,1,1,0,1000
reaction,r0201_Glc_lung_ex,free,1,1,0,200
reaction,r0202_CO2_lung_ex,free,1,1,0,1000
reaction,r0203_Lac_lung_ex,free,1,1,0,1000
