Name,Spectrum,Select,MDV,Std
m3PG,m0,1,0.140103752,1
m3PG,m1,1,0.030491105,1
m3PG,m2,1,0.052627027,1
m3PG,m3,1,0.073855366,1
AcAsp,m0,1,0.048356304,1
AcAsp,m1,1,0.096366782,1
AcAsp,m2,1,0.558199664,1
AcAsp,m3,1,0.073545427,1
AcAsp,m4,1,0.028395984,1
AcAsp,m5,1,0.042373755,1
AcAsp,m6,1,0.143359325,1
aKG,m0,1,0.084257196,1
aKG,m1,1,0.12025472,1
aKG,m2,1,0.507813592,1
aKG,m3,1,0.066747517,1
aKG,m4,1,0.025799604,1
aKG,m5,1,0.042052729,1
Cit,m0,1,0.15800323,1
Cit,m1,1,0.083777088,1
Cit,m2,1,0.117872541,1
Cit,m3,1,0.505747291,1
Cit,m4,1,0.081516436,1
Cit,m5,1,0.021877303,1
Cit,m6,1,0.038600242,1
F6P,m0,1,0.230931481,1
F6P,m1,1,0.10774392,1
F6P,m2,1,0.133180153,1
F6P,m3,1,0.386150466,1
F6P,m4,1,0.165865187,1
F6P,m5,1,0.066663772,1
F6P,m6,1,0.120442012,1
Fum,m0,1,0.647029029,1
Fum,m1,1,0.220422767,1
Fum,m2,1,0.074013929,1
Fum,m3,1,0.077947162,1
Fum,m4,1,0.627616142,1
G6P,m0,1,0.17600616,1
G6P,m1,1,0.069009655,1
G6P,m2,1,0.103896817,1
G6P,m3,1,0.651087367,1
G6P,m4,1,0.18341527,1
G6P,m5,1,0.054351921,1
G6P,m6,1,0.087117758,1
GAP,m0,1,0.675115051,1
GAP,m1,1,0.183679301,1
GAP,m2,1,0.059601012,1
GAP,m3,1,0.092073269,1
G3P,m0,1,0.664646418,1
G3P,m1,1,0.17494094,1
G3P,m2,1,0.064976459,1
G3P,m3,1,0.123271485,1
Ala,m0,1,0.636811116,1
Ala,m1,1,0.166292045,1
Ala,m2,1,0.075016773,1
Ala,m3,1,0.121903389,1
Asp,m0,1,0.636787793,1
Asp,m1,1,0.020567843,1
Asp,m2,1,0.01917729,1
Asp,m3,1,0.052600737,1
Asp,m4,1,0.094659475,1
Glu,m0,1,0.163142409,1
Glu,m1,1,0.120025716,1
Glu,m2,1,0.15898818,1
Glu,m3,1,0.370838349,1
Glu,m4,1,0.107991932,1
Glu,m5,1,0.12210583,1
Gln,m0,1,0.053352118,1
Gln,m1,1,0.17465708,1
Gln,m2,1,0.54189304,1
Gln,m3,1,0.051375246,1
Gln,m4,1,0.065748188,1
Gln,m5,1,0.176562238,1
Ser,m0,1,0.222666003,1
Ser,m1,1,0.216027786,1
Ser,m2,1,0.170054854,1
Ser,m3,1,0.097565684,1
Lac,m0,1,0.114477416,1
Lac,m1,1,0.095612404,1
Lac,m2,1,0.21314057,1
Lac,m3,1,0.220218016,1
Mal,m0,1,0.201604864,1
Mal,m1,1,0.154946731,1
Mal,m2,1,0.069511995,1
Mal,m3,1,0.122119425,1
Mal,m4,1,0.2013941,1
PEP,m0,1,0.062657108,1
PEP,m1,1,0.047877414,1
PEP,m2,1,0.072766785,1
PEP,m3,1,0.214542619,1
Pyr,m0,1,0.137223781,1
Pyr,m1,1,0.135131856,1
Pyr,m2,1,0.513101744,1
Pyr,m3,1,0.208887681,1
R5P,m0,1,0.121579288,1
R5P,m1,1,0.207019507,1
R5P,m2,1,0.200400856,1
R5P,m3,1,0.140081364,1
R5P,m4,1,0.122031303,1
R5P,m5,1,0.154116189,1
S7P,m0,1,0.078720529,1
S7P,m1,1,0.17498843,1
S7P,m2,1,0.225589311,1
S7P,m3,1,0.181037914,1
S7P,m4,1,0.185547626,1
S7P,m5,1,0.163308121,1
S7P,m6,1,0.09816232,1
S7P,m7,1,0.182260685,1
Suc,m0,1,0.259992445,1
Suc,m1,1,0.296276429,1
Suc,m2,1,0.296276429,1
Suc,m3,1,0.296276429,1
Suc,m4,1,0.296276429,1
Urea,m0,1,0.296276429,1
Urea,m1,1,0.296276429,1
