Name_M,Name,M,HP-11,HP-14,HP-16,HP-17,HP-19,HP-21,WP-12,WP-15,WP-18,WP-20
m3PGm0,m3PG,m0,0.3447,0.4034,0.3959,0.357,0.3473,0.3766,0.3973,0.3982,0.3851,0.3446
m3PGm1,m3PG,m1,0.0546,0.0842,0.097,0.0836,0.0706,0.0772,0.0728,0.0821,0.0735,0.0715
m3PGm2,m3PG,m2,0.0633,0.0709,0.0882,0.0775,0.0733,0.0797,0.0775,0.0787,0.0747,0.0655
m3PGm3,m3PG,m3,0.5374,0.4416,0.4189,0.4819,0.5088,0.4666,0.4524,0.441,0.4667,0.5185
AcAspm0,AcAsp,m0,0.3015,0.3032,0.3268,0.294,0.3472,0.2898,0.2831,0.2978,0.3372,0.3354
AcAspm1,AcAsp,m1,0.0775,0.0916,0.0874,0.099,0.0948,0.0861,0.082,0.0901,0.0961,0.0718
AcAspm2,AcAsp,m2,0.1316,0.134,0.1252,0.138,0.133,0.1294,0.1258,0.1335,0.1345,0.1155
AcAspm3,AcAsp,m3,0.109,0.0923,0.0895,0.1018,0.0895,0.0903,0.0973,0.0918,0.0905,0.0922
AcAspm4,AcAsp,m4,0.0939,0.0669,0.0696,0.0753,0.0654,0.0641,0.0836,0.0643,0.0649,0.0783
AcAspm5,AcAsp,m5,0.2361,0.274,0.2543,0.2533,0.2334,0.3004,0.2732,0.2831,0.2405,0.2512
AcAspm6,AcAsp,m6,0.0503,0.0381,0.0473,0.0386,0.0366,0.0397,0.055,0.0394,0.0363,0.0557
aKGm0,aKG,m0,0.2575,0.3514,0.4447,0.3303,0.4,0.3259,0.2979,0.3133,0.3537,0.3368
aKGm1,aKG,m1,0.124,0.1544,0.1275,0.1272,0.153,0.16,0.115,0.1417,0.1658,0.1495
aKGm2,aKG,m2,0.2725,0.233,0.2171,0.264,0.2248,0.2664,0.2882,0.2685,0.2347,0.2297
aKGm3,aKG,m3,0.1804,0.1376,0.0947,0.1258,0.098,0.1472,0.1941,0.1597,0.1415,0.1538
aKGm4,aKG,m4,0.1657,0.1235,0.116,0.1526,0.1242,0.1005,0.1047,0.1168,0.1043,0.1302
aKGm5,aKG,m5,0,0,0,0,0,0,0,0,0,0
Citm0,Cit,m0,0.1579,0.2749,0.3947,0.3016,0.3144,0.2553,0.1724,0.1997,0.278,0.2535
Citm1,Cit,m1,0.1404,0.1906,0.2025,0.2055,0.1977,0.1941,0.1542,0.1726,0.1927,0.1831
Citm2,Cit,m2,0.2401,0.2558,0.2191,0.2485,0.2401,0.2546,0.2505,0.2481,0.2463,0.2467
Citm3,Cit,m3,0.1938,0.152,0.1127,0.1401,0.1409,0.162,0.1857,0.1781,0.1537,0.1654
Citm4,Cit,m4,0.156,0.0856,0.0526,0.0722,0.0745,0.0915,0.1431,0.1277,0.0877,0.1006
