Id,Reaction,External ids
RSS,,
Thres,,
p_value,,
Id,Reaction,External ids
r001_SubsGlc,SubsGlc-->Glc,(kegg:SubsGlc)
r002_SubsLac,SubsLac-->Lac,(kegg:SubsLac)
r003_SubsGlycogen,SubsGlycogen-->G6P,(kegg:Subsglycogen)
r004_SubsAcCOAmit,SubsAcCOAmit-->AcCOAmit,(kegg:SubsAcCOAmit)
r005_SubsGly,SubsGly-->DHAP+{0.6}NADH,(kegg:SubsGly)
r006_SubsGln,SubsGln-->Gln,(kegg:SubsGln)
r007_SubsBCAA,SubsBCAA-->BCAA,(kegg:SubsBCAA)
r008_SubsAla,SubsAla-->Ala,(kegg:SubsAla)
r009_SubsAsp,SubsAsp-->Asp,(kegg:SubsAsp)
r010_SubsR5P,SubsR5P-->R5P,(kegg:SubsR5P)
r011_SubsCO2,SubsCO2-->CO2in,(kegg:SubsCO2)
r012_CO2_out,CO2out-->CO2Ex,(kegg:CO2_ex)
r013_Glc_ex,Glc-->GlcEx,(kegg:Glc_Ex)
r020_AcCOAcyt,AcCOAcyt-->AcCOAmit,(kegg:AcCOA_ex)
r021_hk,Glc+ATP-->G6P,(kegg:R02848)
r022_g6pc,G6P-->Glc,(kegg:R00303)
r023_pgi,G6P-->F6P,(kegg:R00771f)
r024_pgi,F6P-->G6P,(kegg:R00771r)
r025_pfk,F6P+ATP-->FBP,(kegg:R00756)
r026_fba,FBP-->DHAP+GAP,(kegg:R01068f)
r027_fba,DHAP+GAP-->FBP,(kegg:R01068r)
r028_tpi,DHAP-->GAP,(kegg:R01015f)
r029_tpi,GAP-->DHAP,(kegg:R01015r)
r030_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f)
r031_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r)
r032_peph,m3PG-->PEP,(kegg:R01512f)
r033_peph,PEP-->m3PG,(kegg:R01512r)
r034_pk,PEP-->Pyr+ATP,(kegg:R00200)
r038_ldh,Pyr+NADH-->Lac,(kegg:R00703f)
r039_ldh,Lac-->Pyr+NADH,(kegg:R00703r)
r040_Lac_ex,Lac-->LacEx,(kegg:Lac_ex)
r041_pyrdh,Pyr-->AcCOAmit+CO2out+NADH,(kegg:R01196)
r042_cs,Oxa+AcCOAmit-->Cit,(kegg:R00351)
r043_idh,Cit-->aKG+CO2out+NADH,(kegg:R00709f)
r044_idh,aKG+CO2in+NADH-->Citcyt,(kegg:R00709r)
r045_akgdh,aKG-->Suc+CO2out+ATP+NADH,(kegg:R01197)
r047_sdh,Suc-->Fum+{0.6}NADH,(kegg:R02164f)
r048_sdh,Fum+{0.6}NADH-->Suc,(kegg:R02164r)
r049_fh,Fum-->Mal,(kegg:R01082f)
r050_fh,Mal-->Fum,(kegg:R01082r)
r051_mdh,Mal-->Oxa+NADH,(kegg:R00343f)
r052_mdh,Oxa+NADH-->Mal,(kegg:R00343r)
r053_mdh_cyt,Malcyt-->Oxacyt+NADH,(kegg:OXA_cyt)
r054_mdh_cyt,Oxacyt+NADH-->Malcyt,(kegg:OXA_cyt)
r055_MAL_ex,Mal+Aspmit-->Malcyt+Asp,(kegg:MAL_cyt)
r056_MAL_ex,Malcyt+Asp-->Mal+Aspmit,(kegg:MAL_cyt)
r057_pc,Pyr+CO2in+ATP-->Oxa,(kegg:R00344)
