Id,Reaction,External ids
RSS,,
Thres,,
p_value,,
Id,Reaction,External ids
r001_SubsGlc,SubsGlc-->Glc,(kegg:SubsGlc)
r002_SubsLac,SubsLac-->Lac,(kegg:SubsLac)
r003_SubsGlycogen,SubsGlycogen-->F6P,(kegg:Subsglycogen)
r004_SubsAcCOAmit,SubsAcCOAmit-->AcCOAmit,(kegg:SubsAcCOAmit)
r005_SubsGly,SubsGly-->DHAP+{0.6}NADH,(kegg:SubsGly)
r006_SubsGln,SubsGln-->Gln,(kegg:SubsGln)
r007_SubsBCAA,SubsBCAA-->BCAA,(kegg:SubsBCAA)
r008_SubsAla,SubsAla-->Ala,(kegg:SubsAla)
r009_SubsAcAsp,SubsAcAsp-->Asp+AcCOAcyt,(kegg:SubsAcAsp)
r010_SubsR5P,SubsR5P-->R5P,(kegg:SubsR5P)
r011_CO2_out,CO2in-->CO2Ex,(kegg:CO2_ex)
r012_Glc_ex,Glc-->GlcEx,(kegg:Glc_Ex)
r021_hk,Glc+ATP-->F6P,(kegg:R02848)
r022_g6pc,F6P-->Glc,(kegg:R00303)
r023_fba,F6P-->DHAP+GAP,(kegg:R01068f)
r024_fba,DHAP+GAP-->F6P,(kegg:R01068r)
r025_tpi,DHAP-->GAP,(kegg:R01015f)
r026_tpi,GAP-->DHAP,(kegg:R01015r)
r027_pk,GAP-->Pyr+ATP,(kegg:R00200)
r028_ldh,Pyr+NADH-->Lac,(kegg:R00703f)
r029_ldh,Lac-->Pyr+NADH,(kegg:R00703r)
r030_Lac_ex,Lac-->LacEx,(kegg:Lac_ex)
r031_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196)
r032_cs,Oxa+AcCOAmit-->Cit,(kegg:R00351)
r033_idh,Cit-->aKG+CO2in+NADH,(kegg:R00709f)
r034_idh,aKG+CO2in+NADH-->Citcyt,(kegg:R00709r)
r035_akgdh,aKG-->Suc+CO2in+ATP+NADH,(kegg:R01197)
r037_sdh,Suc-->Fum+{0.6}NADH,(kegg:R02164f)
r038_sdh,Fum+{0.6}NADH-->Suc,(kegg:R02164r)
r039_fh,Fum-->Mal,(kegg:R01082f)
r040_fh,Mal-->Fum,(kegg:R01082r)
r041_mdh,Mal-->Oxa+NADH,(kegg:R00343f)
r042_mdh,Oxa+NADH-->Mal,(kegg:R00343r)
r043_mdh_cyt,Malcyt-->Oxacyt+NADH,(kegg:OXA_cyt)
r044_mdh_cyt,Oxacyt+NADH-->Malcyt,(kegg:OXA_cyt)
r045_MAL_ex,Mal+Asp-->Malcyt+Aspmit,(kegg:MAL_cyt)
r046_MAL_ex,Malcyt+Aspmit-->Mal+Asp,(kegg:MAL_cyt)
r047_pc,Pyr+CO2in+ATP-->Oxa,(kegg:R00344)
r048_mae,Mal-->Pyr+CO2in+NADPH,(kegg:R00216)
r049_mae_cyt,Malcyt-->Pyr+CO2in+NADPH,(kegg:R00216)
r051_ATPx,ATP-->ATPex,(kegg:ATP)
r052_OXPHOS,NADH-->{2.3}ATP,(kegg:NADH)
r053_NADPHx,NADPH-->NADPHex,(kegg:NADPH)
r054_Cit_ex,Cit+Malcyt-->Citcyt+Mal,(kegg:Cit_ex)
r055_acl,Citcyt-->Oxacyt+AcCOAcyt,(kegg:R00352)
r056_FA_ex,AcCOAcyt+{2}NADPH-->FAEx,(kegg:FA_ex)
