State,Id,type,flux_calue,flux_std,lb,ub
reaction,r001_SubsGlc,fixed,50,1,0,100
reaction,r002_SubsLac,free,1,1,0,50
reaction,r003_SubsGlycogen,free,1,1,0,10
reaction,r004_SubsAcCOAmit,free,1,1,0,50
reaction,r005_SubsGly,free,1,1,0,10
reaction,r006_SubsGln,free,1,1,0,100
reaction,r007_SubsBCAA,free,1,1,0,50
reaction,r008_SubsAla,free,1,1,0,20
reaction,r009_SubsAsp,free,1,1,0,100
reaction,r010_SubsR5P,free,1,1,0,10
reaction,r011_SubsCO2,free,1,1,0,300
reaction,r012_CO2_out,free,1,1,0,1000
reaction,r013_Glc_ex,free,1,1,0,15
reaction,r020_AcCOAcyt,free,1,1,0,1
reaction,r021_hk,free,1,1,0,50
reaction,r022_g6pc,free,0.5,1,0,1
reaction,r023_pgi,free,1,1,0,150
reaction,r024_pgi,free,1,1,0,150
reaction,r025_pfk,free,1,1,0,150
reaction,r026_fba,free,1,1,0,150
reaction,r027_fba,free,1,1,0,150
reaction,r028_tpi,free,1,1,0,150
reaction,r029_tpi,free,1,1,0,150
reaction,r030_gapdh,free,1,1,0,150
reaction,r031_gapdh,free,1,1,0,150
reaction,r032_peph,free,1,1,0,150
reaction,r033_peph,free,1,1,0,150
reaction,r034_pk,free,1,1,0,150
reaction,r038_ldh,free,1,1,0,250
reaction,r039_ldh,free,1,1,0,250
reaction,r040_Lac_ex,free,1,1,0,250
reaction,r041_pyrdh,free,1,1,0,300
reaction,r042_cs,free,1,1,0,300
reaction,r043_idh,free,1,1,0,300
reaction,r044_idh,free,1,1,0,300
reaction,r045_akgdh,free,1,1,0,300
reaction,r047_sdh,free,1,1,0,300
reaction,r048_sdh,free,1,1,0,300
reaction,r049_fh,free,1,1,0,300
reaction,r050_fh,free,1,1,0,300
reaction,r051_mdh,free,1,1,0,300
reaction,r052_mdh,free,1,1,0,300
reaction,r053_mdh_cyt,free,1,1,0,300
reaction,r054_mdh_cyt,free,1,1,0,300
reaction,r055_MAL_ex,free,1,1,0,300
reaction,r056_MAL_ex,free,1,1,0,300
reaction,r057_pc,free,1,1,0,300
reaction,r058_mae,free,1,1,0,200
reaction,r059_mae_cyt,free,1,1,0,200
reaction,r061_ATPx,fixed,1000,1,0,1500
reaction,r062_OXPHOS,free,1,1,0,500
reaction,r063_NADPHx,free,1,1,0,500
reaction,r064_Cit_ex,free,1,1,0,200
reaction,r065_acl,free,1,1,0,100
reaction,r066_FA_ex,free,1,1,0,100
reaction,r067_pck1,free,1,1,0,200
reaction,r068_pck2,free,1,1,0,200
reaction,r069_BCAAcat,free,1,1,0,50
reaction,r070_pcca,free,1,1,0,50
reaction,r071_gls,free,1,1,2,100
reaction,r073_gludh,free,1,1,0,100
reaction,r074_gludh,free,1,1,0,100
reaction,r075_glul,free,1,1,0,100
reaction,r077_got,free,1,1,0,300
reaction,r078_got,free,1,1,0,300
reaction,r079_gotmit,free,1,1,0,300
reaction,r080_gotmit,free,1,1,0,300
reaction,r081_aat,free,1,1,0,10
reaction,r083_alt,free,1,1,0,100
reaction,r084_alt,free,1,1,0,100
reaction,r085_Ala_ex,free,1,1,0,20
reaction,r086_g6pdh,free,1,1,0,20
reaction,r087_pgd,free,1,1,0,20
reaction,r089_rpi,free,1,1,0,100
reaction,r090_rpi,free,1,1,0,100
reaction,r091_rbe,free,1,1,0,100
reaction,r092_rbe,free,1,1,0,100
reaction,r093_tkt1,free,1,1,0,100
reaction,r094_tkt1,free,1,1,0,100
reaction,r095_tal,free,1,1,0,100
reaction,r096_tal,free,1,1,0,100
reaction,r097_tkt2,free,1,1,0,100
reaction,r098_tkt2,free,1,1,0,100
reaction,r101_G6P_BIO,free,1,1,0,5
reaction,r102_DHAP_BIO,free,1,1,0,10
reaction,r103_BCAA_BIO,free,1,1,0,10
reaction,r104_Ala_BIO,free,1,1,0,20
reaction,r105_AcAsp_BIO,free,1,1,0,100
reaction,r106_Glu_BIO,free,1,1,0,100
reaction,r107_Gln_BIO,free,1,1,0,100
reaction,r108_aKG_BIO,free,1,1,0,1
reaction,r109_Suc_BIO,free,1,1,0,1
reaction,r110_R5P_BIO,free,1,1,0,5
reaction,r111_Asp_BIO,free,1,1,0,100
reversible,ALT,free,1,1,-30,50
reversible,GOT,free,1,1,-100,100
reversible,GOTMIT,free,1,1,-100,100
reversible,GLUDH,free,1,1,-100,100
reversible,PGI,free,1,1,-10,100
reversible,GAPDH,free,1,1,-10,100
reversible,PEPH,free,1,1,-10,100
reversible,FBA,free,1,1,-10,100
reversible,TPI,free,1,1,-10,150
reversible,LDH,free,1,1,-150,200
reversible,IDH,free,1,1,-10,200
reversible,SDH,free,1,1,-10,200
reversible,FH,free,1,1,-10,200
reversible,MDH,free,1,1,-100,200
reversible,MDHcyt,free,1,1,-100,200
reversible,MALex,free,1,1,-100,100
reversible,RBE,free,1,1,-50,50
reversible,RPI,free,1,1,-50,50
reversible,TAL,free,1,1,-50,50
