State,Id,type,flux_calue,flux_std,lb,ub
reaction,r001_SubsGlc,fixed,50,1,0,100
reaction,r002_SubsLac,free,1,1,0,100
reaction,r003_SubsGlycogen,free,1,1,0,20
reaction,r004_SubsAcCOAmit,free,1,1,0,100
reaction,r005_SubsGly,free,1,1,0,10
reaction,r006_SubsGln,free,1,1,0,50
reaction,r007_SubsBCAA,free,1,1,0,50
reaction,r008_SubsAla,free,1,1,0,50
reaction,r009_SubsAcAsp,free,1,1,0,20
reaction,r010_SubsR5P,free,1,1,0,10
reaction,r011_CO2_out,free,1,1,0,1000
reaction,r012_Glc_ex,free,1,1,0,45
reaction,r021_hk,free,1,1,0,50
reaction,r022_g6pc,free,0.5,1,0,10
reaction,r023_fba,free,1,1,0,150
reaction,r024_fba,free,1,1,0,150
reaction,r025_tpi,free,1,1,0,150
reaction,r026_tpi,free,1,1,0,150
reaction,r027_pk,free,1,1,0,150
reaction,r028_ldh,free,1,1,0,250
reaction,r029_ldh,free,1,1,0,250
reaction,r030_Lac_ex,free,1,1,0,100
reaction,r031_pyrdh,free,1,1,0,300
reaction,r032_cs,free,1,1,0,500
reaction,r033_idh,free,1,1,0,500
reaction,r034_idh,free,1,1,0,500
reaction,r035_akgdh,free,1,1,0,500
reaction,r037_sdh,free,1,1,0,500
reaction,r038_sdh,free,1,1,0,500
reaction,r039_fh,free,1,1,0,500
reaction,r040_fh,free,1,1,0,500
reaction,r041_mdh,free,1,1,0,500
reaction,r042_mdh,free,1,1,0,500
reaction,r043_mdh_cyt,free,1,1,0,500
reaction,r044_mdh_cyt,free,1,1,0,500
reaction,r045_MAL_ex,free,1,1,0,500
reaction,r046_MAL_ex,free,1,1,0,500
reaction,r047_pc,free,1,1,0,200
reaction,r048_mae,free,1,1,0,200
reaction,r049_mae_cyt,free,1,1,0,200
reaction,r051_ATPx,fixed,1000,1,0,1500
reaction,r052_OXPHOS,free,1,1,0,500
reaction,r053_NADPHx,free,1,1,0,500
reaction,r054_Cit_ex,free,1,1,0,200
reaction,r055_acl,free,1,1,0,100
reaction,r056_FA_ex,free,1,1,0,100
reaction,r057_pck1,free,1,1,0,200
reaction,r058_pck2,free,1,1,0,200
reaction,r059_BCAAcat,free,1,1,0,20
reaction,r060_pcca,free,1,1,0,20
reaction,r061_gls,free,1,1,2,100
reaction,r063_gludh,free,1,1,0,100
reaction,r064_gludh,free,1,1,0,100
reaction,r065_glul,free,1,1,0,100
reaction,r067_got,free,1,1,0,300
reaction,r068_got,free,1,1,0,300
reaction,r069_gotmit,free,1,1,0,300
reaction,r070_gotmit,free,1,1,0,300
reaction,r071_aat,free,1,1,0,100
reaction,r073_alt,free,1,1,0,100
reaction,r074_alt,free,1,1,0,100
reaction,r075_Ala_ex,free,1,1,0,20
reaction,r076_g6pdh,free,1,1,0,20
reaction,r077_pgd,free,1,1,0,20
reaction,r079_rpi,free,1,1,0,100
reaction,r080_rpi,free,1,1,0,100
reaction,r081_rbe,free,1,1,0,100
reaction,r082_rbe,free,1,1,0,100
reaction,r083_tkt1,free,1,1,0,100
reaction,r084_tkt1,free,1,1,0,100
reaction,r085_tal,free,1,1,0,100
reaction,r086_tal,free,1,1,0,100
reaction,r087_tkt2,free,1,1,0,100
reaction,r088_tkt2,free,1,1,0,100
reaction,r089_cps1,free,1,1,0,5
reaction,r090_UreaEx,free,1,1,0,5
reaction,r091_G6P_BIO,free,1,1,0,40
reaction,r092_DHAP_BIO,free,1,1,0,10
reaction,r093_BCAA_BIO,free,1,1,0,10
reaction,r094_Ala_BIO,free,1,1,0,10
reaction,r095_AcAsp_BIO,free,1,1,0,100
reaction,r096_Glu_BIO,free,1,1,0,10
reaction,r097_Gln_BIO,free,1,1,0,10
reaction,r098_aKG_BIO,free,1,1,0,1
reaction,r099_Suc_BIO,free,1,1,0,1
reaction,r100_R5P_BIO,free,1,1,0,5
reversible,ALT,free,1,1,-10,10
reversible,GOT,free,1,1,-10,10
reversible,GOTMIT,free,1,1,-10,10
reversible,GLUDH,free,1,1,-10,10
reversible,FBA,free,1,1,-10,100
reversible,TPI,free,1,1,-10,150
reversible,LDH,free,1,1,-150,200
reversible,IDH,free,1,1,-10,300
reversible,SDH,free,1,1,-10,300
reversible,FH,free,1,1,-10,300
reversible,MDH,free,1,1,-100,300
reversible,MDHcyt,free,1,1,-100,200
reversible,MALex,free,1,1,-100,100
reversible,RBE,free,1,1,-50,50
reversible,RPI,free,1,1,-50,50
reversible,TAL,free,1,1,-50,50
reversible,TKT1,free,1,1,-50,50
reversible,TKT2,free,1,1,-50,50
