Sample,Name,Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
A14,LV_6h_M_G4,LV,Male,0.1862806221640385,0.0362869562626968,-0.0078423742486144,0.3491492107805648,0.0451445380087128,0.3626736777778354,0.34683857332114,-0.0252484254184108,0.8558606359982107,0.6627542540118094,0.2333212333657739,0.0753278068906519,0.1887553522289145,0.7806998743366859,0.6302132696818085,0.1299461746628789,0.8334045810379279,0.6208379833709831,0.9004297991591524,0.7276547188082764,0.3105945421538389,0.8815679765264167,0.8675918990103358,0.8664940569262395,0.4780722088718588,0.1282677295230582
A123,BAT_6h_F_G3,BAT,Female,-0.3010159948417091,-0.2756417713092773,-0.0271163561659286,-0.2849586088672053,-0.0105049834295563,-0.0578012361698897,-0.0655396578777667,-0.3209255309787663,-0.8822761399401035,-0.9055057034415944,-0.4761251836279458,-0.5604734987074718,-0.3689809149615947,-0.8152285340299266,-0.7957618744106036,-0.8550491149162215,-0.8516408066292637,-0.837606935449549,-0.9055057034415944,-0.9055057034415944,-0.8825247583783483,-0.9055057034415944,-0.9055057034415944,-0.9055057034415944,-0.7940714680515345,-0.8469131750275701
A202,Str_6h_M_G2,Str,Male,0.2157940924721765,-0.1033636950152174,-0.1060919765659128,0.4222601661053613,-0.0089163787119308,0.0521788329421831,-0.0982416184236544,-0.0937421811924147,-0.0704778970894993,0.2219585936800696,0.1110449869289331,0.034017839599887,-0.013753764907889,-0.1280559930768098,0.1544723330025417,-0.1433739643955023,-0.0599586898830221,-0.1134402405905171,-0.1390226611329654,-0.1564468548198513,-0.0483616186948873,-0.1564468548198513,-0.1564468548198513,-0.1564468548198513,-0.06009019311634,0.3463948198995723
A108,KD_6h_F_G3,KD,Female,0.0790746227795227,-0.0927388186986411,-0.0946074348304153,0.431556445572018,0.1691168290434073,0.4255022617696124,0.2520269804614364,-0.151299006476292,-0.0595960368289203,0.044935438706681,0.2257264765710298,0.0906924692526377,0.1525366398596507,-0.0411786192768907,0.4886878853251448,-0.1578499091612253,0.0880194083279167,0.42410331029438,-0.0948017743208943,-0.1354003996517616,0.3211660899009455,-0.0551252151431713,-0.1083488562811062,-0.0182675477358406,-0.0902973260783015,-0.0954254127496544
A106,KD_6h_F_G1,KD,Female,0.147622084709909,-0.0727396225098689,-0.0808519778523157,0.5367541347147418,0.0559957168719998,0.4338420599570443,0.3329900093469436,-0.1539664147539635,-0.0766517920529908,0.2064884776843754,0.3896022673582562,0.1440582577042684,0.1836584582669512,-0.0151289959340072,0.6306525268825653,-0.1559698811546895,0.1094602996479767,0.6476146948720036,-0.0689206513695865,-0.1264923956257697,0.3910572953503727,-0.04099803424312,-0.1010494386842855,-0.0247145167969439,-0.0639161766928423,-0.0639161766928423
A160,UT_6h_F_G5,UT,Female,-0.0495938212771679,-0.0213803309912662,-0.0469938601889097,-0.0507278459381755,-0.0422657506690877,-0.0404905176119579,-0.0469986787480396,-0.0412045388313987,-0.0564972465700974,-0.0564972465700974,0.1006622288397834,0.0711791718697964,0.0406283187904255,-0.0365820851953987,0.0109209472112636,0.0483835906114503,0.0166919041617355,-0.0564972465700974,-0.0564972465700974,-0.0564972465700974,-0.0009908610367943,-0.0564972465700974,-0.0564972465700974,-0.0564972465700974,-0.0564972465700974,0.0708719955538676
A120,SQ_6h_F_G5,SQ,Female,-0.1503157438211748,0.1564257998729087,0.2068048896298885,0.2403101226645386,0.1378337216748179,-0.1180363309830514,-0.2379521398390668,0.1538486284331702,-0.2410149303139194,-0.4324066173225107,0.1856632732070309,0.0923124862480424,0.129007729813473,-0.4442436083745912,-0.287526544061881,-0.4526557814318864,-0.3990998641318048,-0.3799450627821737,-0.4375309483417139,-0.4526557814318864,-0.3917377238188367,-0.4526557814318864,-0.4526557814318864,-0.4526557814318864,-0.2859150268804847,-0.3118791173899142
A176,Ps_6h_M_G1,Ps,Male,0.3344457202436137,-0.1089639288005918,-0.1042415066827988,0.5195322363746775,0.0579900350538325,0.1271692662560904,-0.1129789234599672,-0.0920339687683184,-0.0971622965089755,0.3621806002891732,0.1913593885315557,0.1710219997954531,0.0736804732481886,-0.1036308067928897,0.230964763265308,-0.1359644712678707,-0.0675095361860331,-0.1433024873608469,-0.1502469054030117,-0.1688584893781591,-0.0106562688623625,-0.1688584893781591,-0.1688584893781591,-0.1688584893781591,-0.0484121503638915,0.4470137548612594
A2,H_6h_M_G2,H,Male,-0.2965509809470197,-0.5643162694758276,-0.5975406637005779,0.3436609439523476,-0.2645968727741761,0.1237078327772763,0.1005612535085805,-0.433436427937543,-0.6010370618362724,0.3436609439523476,-0.1768102147394967,-0.3743697823407415,-0.3401613637425096,-0.5367283611863551,-0.5324622040787309,-0.5864156811148917,-0.5671969293980952,-0.5555093802774576,-0.5733108791804779,-0.6063390560476524,-0.5597412975743743,-0.6063390560476524,-0.6063390560476524,-0.6063390560476524,-0.4327322582976734,-0.4327322582976734
A184,MB_6h_M_G4,MB,Male,0.2797338658144169,-0.1154517291584207,-0.1236317044888785,0.4294127178326787,0.0277121671393035,0.089850470257038,-0.1178833074959537,-0.1039521620760406,-0.1153327347036274,0.2810137439581746,0.2139836750723276,0.1640518292271032,0.055666770214867,-0.1264679162955945,0.1753861776517005,-0.1480661369800852,-0.0680251118936592,-0.135576342584598,-0.1516697833632261,-0.1745452279449365,-0.0787810453368003,-0.1745452279449365,-0.1745452279449365,-0.1745452279449365,-0.0655548238472188,0.4133681403240901
A116,SQ_6h_F_G1,SQ,Female,0.0400723951462532,0.1384834585097293,0.3325041474714075,0.1699186141291225,0.4009028388635051,0.1568371472020444,0.1113338819240187,0.1472853749141053,-0.3639435903438167,-0.4430842612560058,0.1089177822259753,0.0537460035445515,0.16844986159878,-0.4024151175024437,-0.3364473446332533,-0.4240244553635183,-0.402074420235581,-0.3749332818130151,-0.4416787927975639,-0.4526557814318864,-0.3803297986146227,-0.4526557814318864,-0.4526557814318864,-0.4526557814318864,-0.3100219777531554,-0.3595187716361148
A188,ME_6h_M_G3,ME,Male,0.3673357631132978,-0.1366364573664139,-0.1283716770891366,0.6034258527036167,0.0227947774197035,0.1217045121037245,-0.1285570814407487,-0.1212318984768259,-0.1233263609122427,0.3997199323497862,0.1657776393924504,0.1569280533886296,0.0405835368412651,-0.1418406143632625,0.1815417491882677,-0.1737934556013743,-0.1135116306576201,-0.1608387007203968,-0.1744973897986809,-0.1947044977399518,-0.0721243060707663,-0.1947044977399518,-0.1947044977399518,-0.1947044977399518,-0.0652017916197183,0.4946978062970686
A215,OB_6h_F_G5,OB,Female,0.2360079576090012,-0.1361773738789506,-0.1646061964260406,0.4657352950478784,0.018311309586061,0.0295192883864833,-0.1311678824310935,-0.1249001209380054,0.0375303953471609,0.2291129316773744,0.1710578617044528,0.0829238537180571,0.0111779822097094,-0.163406869471935,0.1824103212268814,-0.1905698559171118,-0.0921825262721927,-0.1643199062358629,-0.1744283048020378,-0.1905698559171118,-0.030215330408944,-0.1905698559171118,-0.1905698559171118,-0.1905698559171118,-0.0873244991204887,0.2178100733282215
