Sample,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,TCA_Cycle,Pyruvate_Dehydrogenase,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Malic_Enzyme,IDH_NADPH,Lactate_Dehydrogenase,Glutaminolysis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
A14,0.18628062216403854,0.03628695626269682,-0.007842374248614475,0.36267367777783543,0.045144538008712876,0.34683857332114,-0.02524842541841083,-0.02524842541841083,0.38941000864534436,0.3491492107805648,0.7440994838408547,0.8558606359982107,0.6627542540118094,0.2333212333657739,0.07532780689065197,0.1887553522289145,0.7806998743366859,0.6302132696818085,0.12994617466287894,0.8334045810379279,0.6208379833709831,0.9004297991591524,0.7276547188082764,0.31059454215383897,0.8815679765264167,0.8675918990103358,0.8664940569262395,0.47807220887185886,0.12826772952305823
A123,-0.30101599484170916,-0.27564177130927736,-0.027116356165928668,-0.05780123616988975,-0.010504983429556303,-0.06553965787776672,-0.3209255309787663,-0.49646723212991084,-0.7185345673144014,-0.28495860886720537,-0.8879353287127868,-0.8822761399401035,-0.9055057034415945,-0.4761251836279458,-0.5604734987074718,-0.3689809149615947,-0.8152285340299266,-0.7957618744106036,-0.8550491149162215,-0.8516408066292637,-0.837606935449549,-0.9055057034415945,-0.9055057034415945,-0.8825247583783483,-0.9055057034415945,-0.9055057034415945,-0.9055057034415945,-0.7940714680515345,-0.8469131750275701
A202,0.21579409247217654,-0.10336369501521744,-0.10609197656591289,0.052178832942183145,-0.00891637871193085,-0.0982416184236544,-0.09374218119241473,0.42322230206381994,-0.14579866563482313,0.4222601661053613,0.12090281871808259,-0.07047789708949931,0.22195859368006968,0.11104498692893314,0.03401783959988708,-0.013753764907889071,-0.12805599307680987,0.15447233300254173,-0.14337396439550232,-0.05995868988302214,-0.1134402405905171,-0.1390226611329654,-0.15644685481985138,-0.04836161869488734,-0.15644685481985138,-0.15644685481985138,-0.15644685481985138,-0.06009019311634009,0.3463948198995723
A108,0.07907462277952271,-0.0927388186986411,-0.09460743483041538,0.4255022617696124,0.16911682904340736,0.2520269804614364,-0.15129900647629202,0.21980674581666765,0.5040432007379587,0.43155644557201805,0.31432561177797386,-0.05959603682892037,0.04493543870668104,0.22572647657102984,0.09069246925263774,0.1525366398596507,-0.041178619276890704,0.4886878853251448,-0.1578499091612253,0.08801940832791671,0.42410331029438003,-0.09480177432089432,-0.13540039965176165,0.3211660899009455,-0.05512521514317137,-0.10834885628110622,-0.018267547735840606,-0.09029732607830152,-0.09542541274965441
A106,0.14762208470990906,-0.07273962250986898,-0.08085197785231579,0.43384205995704433,0.05599571687199989,0.3329900093469436,-0.15396641475396355,0.463111111319539,0.280018120379108,0.5367541347147418,0.3655025514564177,-0.07665179205299086,0.2064884776843754,0.38960226735825626,0.1440582577042684,0.1836584582669512,-0.015128995934007211,0.6306525268825653,-0.15596988115468952,0.10946029964797671,0.6476146948720036,-0.06892065136958656,-0.1264923956257697,0.39105729535037276,-0.04099803424312004,-0.10104943868428558,-0.024714516796943975,-0.06391617669284236,-0.06391617669284236
A160,-0.04959382127716792,-0.021380330991266266,-0.046993860188909706,-0.04049051761195792,-0.04226575066908772,-0.0469986787480396,-0.041204538831398754,-0.05440597249376469,-0.05649724657009746,-0.050727845938175524,-0.04613979353369949,-0.05649724657009746,-0.05649724657009746,0.10066222883978344,0.07117917186979643,0.04062831879042557,-0.0365820851953987,0.010920947211263618,0.0483835906114503,0.01669190416173552,-0.05649724657009746,-0.05649724657009746,-0.05649724657009746,-0.0009908610367943826,-0.05649724657009746,-0.05649724657009746,-0.05649724657009746,-0.05649724657009746,0.07087199555386768
A120,-0.15031574382117485,0.15642579987290872,0.20680488962988852,-0.11803633098305144,0.1378337216748179,-0.23795213983906688,0.15384862843317026,0.40319043527138143,-0.17730157268081925,0.24031012266453866,-0.4039401874953461,-0.2410149303139194,-0.4324066173225107,0.1856632732070309,0.09231248624804245,0.12900772981347308,-0.44424360837459126,-0.28752654406188105,-0.4526557814318864,-0.39909986413180487,-0.37994506278217377,-0.43753094834171397,-0.4526557814318864,-0.39173772381883676,-0.4526557814318864,-0.4526557814318864,-0.4526557814318864,-0.28591502688048476,-0.31187911738991425
A176,0.33444572024361374,-0.1089639288005918,-0.10424150668279888,0.12716926625609043,0.057990035053832545,-0.11297892345996723,-0.09203396876831849,0.35084217637373405,-0.12182138668211384,0.5195322363746775,0.2941486530912867,-0.09716229650897558,0.3621806002891732,0.1913593885315557,0.17102199979545313,0.0736804732481886,-0.10363080679288973,0.23096476326530807,-0.13596447126787073,-0.06750953618603317,-0.14330248736084694,-0.15024690540301175,-0.1688584893781591,-0.010656268862362511,-0.1688584893781591,-0.1688584893781591,-0.1688584893781591,-0.04841215036389157,0.4470137548612594
A2,-0.2965509809470197,-0.5643162694758276,-0.5975406637005779,0.12370783277727637,-0.26459687277417615,0.10056125350858058,-0.433436427937543,0.3436609439523476,0.3436609439523476,0.3436609439523476,-0.5119470567055415,-0.6010370618362724,0.3436609439523476,-0.1768102147394967,-0.3743697823407415,-0.34016136374250966,-0.5367283611863551,-0.5324622040787309,-0.5864156811148917,-0.5671969293980952,-0.5555093802774576,-0.5733108791804779,-0.6063390560476524,-0.5597412975743743,-0.6063390560476524,-0.6063390560476524,-0.6063390560476524,-0.4327322582976734,-0.4327322582976734
A184,0.2797338658144169,-0.11545172915842075,-0.1236317044888785,0.08985047025703802,0.02771216713930358,-0.11788330749595377,-0.1039521620760406,0.13018364332609056,-0.13963776308589693,0.4294127178326787,0.18329223473970274,-0.11533273470362744,0.28101374395817463,0.21398367507232768,0.1640518292271032,0.055666770214867045,-0.12646791629559456,0.17538617765170056,-0.14806613698008525,-0.06802511189365928,-0.135576342584598,-0.15166978336322612,-0.17454522794493652,-0.07878104533680033,-0.17454522794493652,-0.17454522794493652,-0.17454522794493652,-0.06555482384721886,0.41336814032409014
A116,0.04007239514625327,0.13848345850972932,0.33250414747140755,0.15683714720204445,0.4009028388635051,0.11133388192401872,0.14728537491410532,0.12414722156673474,-0.17795470702588884,0.16991861412912257,-0.4189938960651043,-0.3639435903438167,-0.44308426125600586,0.10891778222597537,0.0537460035445515,0.16844986159878006,-0.4024151175024437,-0.3364473446332533,-0.42402445536351835,-0.40207442023558104,-0.3749332818130151,-0.44167879279756395,-0.4526557814318864,-0.3803297986146227,-0.4526557814318864,-0.4526557814318864,-0.4526557814318864,-0.3100219777531554,-0.3595187716361148
A188,0.36733576311329785,-0.13663645736641394,-0.12837167708913666,0.12170451210372454,0.022794777419703566,-0.12855708144074873,-0.12123189847682597,0.3308405548595298,-0.15251925017870882,0.6034258527036167,0.2419949441674776,-0.12332636091224278,0.3997199323497862,0.1657776393924504,0.1569280533886296,0.040583536841265117,-0.1418406143632625,0.18154174918826774,-0.17379345560137438,-0.11351163065762016,-0.16083870072039683,-0.17449738979868099,-0.1947044977399518,-0.07212430607076634,-0.1947044977399518,-0.1947044977399518,-0.1947044977399518,-0.06520179161971834,0.4946978062970686
A215,0.23600795760900123,-0.13617737387895062,-0.16460619642604069,0.029519288386483322,0.018311309586061086,-0.13116788243109356,-0.12490012093800543,0.4700313536168618,-0.155615738604853,0.4657352950478784,0.1874720371542518,0.037530395347160905,0.2291129316773744,0.1710578617044528,0.0829238537180571,0.011177982209709447,-0.16340686947193506,0.18241032122688144,-0.1905698559171118,-0.09218252627219276,-0.16431990623586296,-0.17442830480203786,-0.1905698559171118,-0.030215330408944002,-0.1905698559171118,-0.1905698559171118,-0.1905698559171118,-0.08732449912048873,0.2178100733282215
A158,0.09015215574353845,0.11087773705902727,0.007066962416041794,0.07142269933486929,0.03817830733865159,0.043667943447264976,-0.024459911014573385,0.17809898252986694,0.06366757654712614,0.23017838420784337,0.052376652035074814,-0.05649724657009746,-0.00974004417006083,0.19316307969118252,0.20676536623453956,0.12371349713449421,-0.023137828800476934,0.07430983406350834,-0.05649724657009746,0.00462457204684083,-0.04390138673237176,0.07760099934308294,-0.05649724657009746,0.03719950049777716,-0.05649724657009746,-0.05649724657009746,-0.05649724657009746,-0.03694251905282636,-0.007695031498103605
A114,-0.054458536322068374,0.31559680597680434,0.432195783545183,-0.018617282158461923,0.14927626663691723,-0.08883544096679302,0.3992255291011197,0.3325836594154586,-0.021754004541805094,0.3136636834192123,-0.32011388945819336,-0.0559566752352868,-0.36293482478523753,0.277429885184913,0.22930360901098162,0.2622516814043024,-0.336334742218791,-0.23936308915260449,-0.3408564442581397,-0.30649887369227014,-0.28159768473006547,-0.34591110231394095,-0.36293482478523753,-0.28690629199624107,-0.36293482478523753,-0.36293482478523753,-0.36293482478523753,-0.1989593078585412,-0.24296243434500167
A101,0.05793801343137715,0.06125535422239782,0.03640575144193105,0.04121969647198458,-0.0003662290902463755,-0.0011692139928868445,-0.04340322555083712,0.059065931157419774,-0.014846998328993555,0.06640938740284462,0.06001250234406712,-0.047935017512482296,0.005091364569686896,0.059370782782430034,0.010493567568462217,0.02170177077289097,0.007505353162738135,-0.019301206907671092,-0.047935017512482296,0.020639674904243357,-0.04242442884682796,-0.030108206725250344,-0.047935017512482296,0.033513927850318107,-0.047935017512482296,-0.047935017512482296,0.04080824589108527,-0.026162326995068527,-0.026162326995068527
A12,0.15370078405325732,0.03666708546656723,-0.005841032208014005,0.2918871936879027,0.018379860520809047,0.3963054065118231,-0.02524842541841083,-0.02524842541841083,0.2165393432414041,0.42368045728865855,0.7396062002110962,0.7562844482270518,0.6818480569706333,0.2587725554777722,0.09973759474357743,0.1851811656791069,0.8203778666234649,0.5983233964481148,0.12594149167680008,0.8700660055547985,0.6905431299066288,0.7837774282965632,0.8418059779847953,0.42219186265823216,0.8411490388898446,0.8263909072008639,0.8692201661775184,0.40919826805211634,0.11931473686944935
A119,-0.16162250237067816,0.17592907471834562,0.2323167657315761,-0.14050820497792682,0.036908683073169524,-0.1537134038563016,0.41552776454541795,0.21711906663068337,-0.10506024887080673,0.18408311603563687,-0.3765957877416503,-0.07793169504786557,-0.40748734374581486,0.2093806200518591,0.09059524828146126,0.1417636223703843,-0.42504609108030894,-0.26200266378372117,-0.4476524052589735,-0.40436226212646,-0.3643904142759442,-0.43173690346223603,-0.4526557814318864,-0.3767334226887583,-0.4526557814318864,-0.4526557814318864,-0.4526557814318864,-0.23326179898390947,-0.2684061868221762
A117,-0.12218270535265285,0.14104413828592122,0.15259803840123698,-0.15753910092434176,-0.07860379015607888,-0.15255682164172213,0.34081255301610147,0.0225516049524771,-0.18765841729549332,0.19767294994594398,-0.3332669762825507,-0.019409383416556125,-0.3514225564971546,0.18241927549764358,0.022537295602921503,0.07956938901044563,-0.42654823240301043,-0.29801169976277675,-0.44925634818181,-0.41525039990543156,-0.37757748068920804,-0.4260723411888754,-0.4526557814318864,-0.35099255309468824,-0.4526557814318864,-0.4526557814318864,-0.4526557814318864,-0.20204895393534605,-0.19605098134974447
