,AD,BAT,DP,GUT,Gas,H,KD,LUN,LV,OV,PA,SK,SP,SQ,TE,UT,VF,CB,Cor,HC,MB,ME,OB,Ps,Str,TH
Alanine_catabolism,-0.00594843383719326,-0.8332634396526675,-0.1483320166680706,-0.21092111103332267,0.14215556254103387,-0.5498584057834548,-0.05496836938098541,-0.05144174753686,0.7604618000151724,-0.07397480600640059,-0.014449446172808328,-0.08504507360209028,-0.04674716241253385,-0.17364907990361605,0.0046127780401755605,-0.033016123196158945,-0.011402461671637925,-0.08545114815762293,-0.06297102937510635,-0.04037924009038022,-0.09236965830532677,-0.11006229466808022,0.011989292671327912,-0.09943202217875842,-0.07293302980954271,-0.08534977086441432
Aspartate_catabolism,-0.05419099154248693,-0.8858454924441201,0.28900061130380983,-0.3969883996125193,0.14171100890150723,0.20272387759252677,0.19175522446485543,-0.011638852837957039,0.7016252959036732,-0.1403660492945466,-0.04510258878341076,-0.056894451106237386,-0.0009184856388427705,-0.42122634726801006,-0.0008107135790477,-0.015350015314658442,-0.051295911360854284,0.1692844008825671,0.2585210525288184,0.18681939558488322,0.31317329674559163,0.36618238125561997,0.22203726970220844,0.3735470393408159,0.24144325422130067,0.3055847649182228
Leucine_catabolism,0.21671721110682643,-0.44016156127937034,-0.04508160561344399,-0.4316497234803024,-0.03172008269465705,-0.22491753991692956,0.4034251778613781,0.08178389106295894,0.24715720916023343,0.2656848741787094,0.05541960512674445,0.021482116281558168,0.04722242287848946,0.10947934614782087,0.05767539352616062,0.22847091709229236,0.19983217291478886,0.17787153622281146,0.05270523218265509,0.11431142012794389,0.20593108125966672,0.17029320044881335,0.17167289092636615,0.1894747625150045,0.14961853906184822,0.1465457654445666
Isoleucine_catabolism,0.1831449880753615,-0.5370329585837903,-0.0652535583065208,-0.4522633993876686,-0.05098782174935438,-0.3630316553208203,0.11313507868613026,0.048210295352937,0.08745017581673034,0.2452598063227777,0.059288952281636165,0.010926728187520001,0.00429379377547921,0.02179852904289176,0.024277828389294858,0.22139394654749128,0.15195483213551292,0.0838985884843461,0.02751391299784627,0.05799551507629902,0.18382128779210766,0.17496165634908353,0.08381504217493238,0.19694743135561119,0.08350511892344528,0.10005561905821622
Valine_catabolism,0.12935547400192896,-0.33869172135534187,-0.07085630399842902,-0.4419166569717882,-0.04041249864212777,-0.32662355008201616,0.1995704725849598,0.02648713380213775,0.18505915538390216,0.1598448214262136,0.04275135640988997,0.0033220240333172993,0.00486434750088781,0.08680600704532704,0.02217029629562048,0.14621598177383416,0.15287159117561175,0.03394880356589047,-0.03110848676338584,-0.02299925795046971,0.0759251642393878,0.07591623524063154,0.03507117892313568,0.08416842078389843,0.025282675471593317,0.030425347681720383
Serine_catabolism,0.18512509173901137,-0.7865505224795305,-0.2616723241489045,-0.3245754287599808,-0.21422893709485574,-0.5046989738326136,0.04957420772848928,-0.036607198445272174,0.6672763283650349,-0.10497634775489839,-0.04093759013169645,-0.16233520164862084,0.0070037308563767695,-0.4533946601039679,0.04840482409764182,-0.0172721384554974,-0.26424124125063664,-0.10724720332248631,-0.13448466502686543,-0.14048209332879558,-0.12048404246527386,-0.1340057033299849,-0.1613560394943129,-0.12043068742126639,-0.13870505898674104,-0.1454231047206466
Glycine_catabolism,-0.011224295254672851,-0.7785984806800912,-0.19827669875563922,-0.395083097809933,-0.1572782889641213,-0.4848183033268739,0.6548044406939858,0.04046016347077674,0.6409709218863682,-0.02458789223662384,-0.028501207305825404,-0.1192050408297111,-0.0251623796922859,-0.34412426122158435,0.016300801715324963,0.11604641145424828,-0.02481911483333065,0.24866549684727585,0.12068548423820806,0.1444355755209529,0.20475382969309036,0.1823444128147482,0.22490697268719964,0.20003205741907432,0.2289462308762157,0.24632560577012147
Threonine_catabolism,-0.01739166418895905,-0.8405279424596597,-0.3178052364448217,-0.3611849621298611,-0.22967421386556883,-0.5367958893298727,-0.15262223008255157,-0.056589729950584644,0.09841646493207622,-0.1835704897675819,0.08094748430602744,-0.17841039580103352,-0.03312216354540998,-0.4659330091929251,0.00019120722677114005,-0.03188379160001512,-0.2921476704844952,-0.15896480690776546,-0.14829073814525556,-0.15827632947960368,-0.14295263434443078,-0.16169776088601936,-0.18645947838495353,-0.14784754125990157,-0.15133231394747565,-0.16042138226933472
Methionine_catabolism,-0.12132863038543376,-0.8396014957091944,-0.2127818470392342,-0.3953296787271413,-0.18485054026262226,-0.510577338508616,0.14067106813812036,0.02130181649959319,0.7428696885613767,-0.10486829522154022,-0.01119468577815355,-0.13486629573630649,0.015530507591515919,-0.4211334141280506,0.03248044676479782,0.01038935557432984,-0.21265839375945675,-0.04737820284192135,-0.02939181040859228,-0.05691399054196143,-0.05874143599024998,-0.09957209806679469,-0.07723571578801403,-0.07955618340605625,-0.05657756336699447,-0.07781820071459147
Proline_catabolism,-0.09173466127644705,-0.7988809481125335,-0.21554138232062098,-0.3632450186010451,-0.18862123078501505,-0.515606056320804,0.6431987257416683,-0.023003251040154268,0.7216844229072819,-0.1774349672726327,-0.03482139344368705,-0.15710979744430573,-0.04438100757185517,-0.38835747686549527,-0.0008107135790477,-0.03758583241526448,-0.21193174716321184,-0.0996569640435743,-0.1191797985634363,-0.13026777974626952,-0.1298747311669512,-0.16652576989268245,-0.1584626408501965,-0.14863080145050894,-0.11809361809355028,-0.14047421431129198
