Cluster1,Cluster2,Distance,NumSamples
12.0,23.0,0.030446037356819375,2.0
10.0,24.0,0.052436167871760024,2.0
2.0,21.0,0.06350846418117112,2.0
3.0,28.0,0.0681585481486892,3.0
19.0,27.0,0.09058797745156606,3.0
26.0,29.0,0.10204318937345735,5.0
13.0,17.0,0.11711439097795515,2.0
16.0,30.0,0.13883486165452197,4.0
20.0,25.0,0.15013068239793387,2.0
14.0,32.0,0.17011123765699745,3.0
15.0,33.0,0.23031245987242405,5.0
6.0,35.0,0.24234918785128404,4.0
9.0,11.0,0.3138593085325978,2.0
8.0,18.0,0.32554859816261833,2.0
31.0,37.0,0.38422602222599633,9.0
0.0,36.0,0.4010445790535211,6.0
4.0,7.0,0.48804770838490596,2.0
39.0,40.0,0.5737190031376267,11.0
5.0,42.0,0.5856304650716456,3.0
34.0,41.0,0.622039245405701,8.0
1.0,44.0,0.7459353165741022,4.0
22.0,38.0,0.8094523414326982,3.0
43.0,47.0,1.273338281683692,14.0
45.0,48.0,1.7811722592273118,22.0
46.0,49.0,1.9814420745676895,26.0
