Tissue,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis
AD,0.01016424670034213,0.1294086635554978,0.1217776206042493,-0.03396680883010822,0.127294759420822,0.12829887276340501,0.23067659413011712,0.012912431793365898
BAT,-0.3109628270507324,-0.23302871582821072,-0.03174786886804564,-0.2798621246141816,-0.05058636815159447,-0.059073838632300556,-0.07390921842955098,-0.2825813575561463
CB,0.2709186994587707,-0.09557945141668138,-0.1352572676847126,0.3750934283160682,0.04356837222529139,0.08853639311814525,-0.09838108739916554,-0.10245448137496335
Cor,0.30789901474069326,-0.11068974215006078,-0.11524597623796207,0.3328814526453338,0.025180995483602198,0.06573796831853577,-0.09745228631095237,-0.09808233677918651
DP,-0.09959207995387331,-0.28239258934553263,-0.3073772975722241,0.0477264146730026,-0.024024539365039198,0.08861587759901637,0.07047032925795557,-0.2914177114550332
GUT,-0.2080270686347966,-0.3553230288694705,-0.3030582389947732,0.1375494271855539,-0.3707935876970395,-0.1350254646280466,-0.2968492106080811,-0.45254015139610637
Gas,0.41155514897566847,-0.21432080696654293,-0.21826467233382676,0.5578413899668282,0.0019419847138996,0.08982162976119037,-0.054997635105401545,-0.18783948670733974
H,-0.3098493021101263,-0.5157117948119911,-0.5426633501593987,0.23019854086718064,-0.21824563815532105,0.06578068271598725,0.03253370583712169,-0.39727866948154816
HC,0.29474416394356884,-0.12581999237546215,-0.12483873477120937,0.10050938390518549,0.05531008937729971,0.04610226324309505,-0.09582353373399227,-0.10879217870205775
KD,0.1298334426894378,-0.05595149364575758,-0.07395778837033344,0.6459368826216563,0.07074435598257293,0.5019812311884616,0.3767092165553252,-0.16208701805797468
LUN,0.02772589496256685,0.04393370346208508,-0.00393862180908755,0.0742189130560782,0.01763690559366779,0.04563803889655975,0.013553300833093352,-0.015176786320835935
LV,0.19255906542472984,0.037905452411290494,-0.0005706881517937902,0.47334789719421916,0.03537466979536044,0.338469897541147,0.4241613262712901,-0.01942399739769566
MB,0.31494902115881873,-0.1091040826188541,-0.11122794781987291,0.40339417354383683,0.04318623968366893,0.10626041031801611,-0.1095227788620344,-0.08898585366236786
ME,0.32609845486270955,-0.14019885515919228,-0.1273041297497596,0.6036563150941949,0.04409819938757245,0.12056019463580354,-0.1279634191147342,-0.1137007741678715
OB,0.23810330559851903,-0.13482128271909438,-0.16106434842520062,0.4919374184946791,0.020957637625100632,0.04202911314168235,-0.12001728327627595,-0.1225669458233782
OV,-0.03631886258102368,0.17832099121725128,0.0781715246379434,0.12920253794482697,0.03230049852747264,0.0347909062996934,0.00042340992143010124,0.06871885483842957
PA,-0.015319579840468217,0.04326573194412455,0.032288049966136004,0.03011336355020764,0.004135367435091102,-0.010401463658484605,-0.01987213172541516,0.04289608429648424
Ps,0.34013143829470804,-0.11455258506865602,-0.105664167849611,0.49515806041426913,0.05149465456788559,0.1221523188495806,-0.11236518279354031,-0.09580054579308107
SK,0.05826186753990039,-0.015531099554161713,-0.09106634428836842,0.25086472751725164,-0.01830254019207678,-0.010041731480341489,-0.06546456399769483,-0.04056875718976323
SP,0.04685838843974466,0.05372780923098406,0.0346376596288715,0.05109522531170626,-0.01497977385916375,0.02381244605582733,-0.00843748497123108,-0.04177987247545566
SQ,-0.08337679319501827,0.11016972458485672,0.13842049270825366,0.22370839624354324,0.109837145079037,-0.10386029547078413,-0.15698080166149095,0.14853191691581732
Str,0.24943639935581907,-0.10788353949157421,-0.09870456395224908,0.35222954762327024,0.012632448659277321,0.06831022003247675,-0.09397342764625476,-0.08918680930996889
TE,0.41979735421457187,0.23201736406976964,-0.0008107135790477,0.9299083840526009,0.1115365353348348,0.06276829482590673,0.1032007176348146,0.0012521886541514
TH,0.30279417824368837,-0.10984307499912409,-0.11322815553011496,0.4019086865284233,0.02368136946209869,0.08939421185482659,-0.11150811817940413,-0.09916510643362209
UT,0.017051256805088878,0.06914553738939042,0.0242536270990385,0.09441094170390843,0.0324557292761438,0.05124526191128762,0.03589584545056288,-0.02204836013175692
VF,-0.081489476795093,0.23645190079321782,0.1583994980201631,0.2169896070885776,0.07870065808983948,-0.052376109809608495,-0.11990197217055831,0.1824321710970707
