Tissue,Pathway,Difference,AbsDiff
LV,Glycolysis,0.011794387981355792,0.011794387981355792
LV,Oxidative PPP,0.006941515703483496,0.006941515703483496
LV,Non oxidative PPP,-0.01033515133075262,0.01033515133075262
LV,Lactate Dehydrogenase,-0.12453300724481353,0.12453300724481353
LV,Pyruvate Dehydrogenase,-0.0174272606472462,0.0174272606472462
LV,TCA Cycle,-0.01857297406340641,0.01857297406340641
LV,Fatty Acid Oxidation,-0.04852755412574489,0.04852755412574489
LV,Fatty Acid Synthesis,-0.0030648269134739593,0.0030648269134739593
BAT,Glycolysis,0.015347981726981264,0.015347981726981264
BAT,Oxidative PPP,0.1737642375913612,0.1737642375913612
BAT,Non oxidative PPP,0.03669923829307235,0.03669923829307235
BAT,Lactate Dehydrogenase,0.04345347508652797,0.04345347508652797
BAT,Pyruvate Dehydrogenase,-0.10598031308526967,0.10598031308526967
BAT,TCA Cycle,0.002285995034808329,0.002285995034808329
BAT,Fatty Acid Oxidation,-0.06332106907440346,0.06332106907440346
BAT,Fatty Acid Synthesis,0.15847296561329513,0.15847296561329513
Str,Glycolysis,0.016430174374288953,0.016430174374288953
Str,Oxidative PPP,0.008185493330128135,0.008185493330128135
Str,Non oxidative PPP,0.0062795188395512735,0.0062795188395512735
Str,Lactate Dehydrogenase,0.05489652811405599,0.05489652811405599
Str,Pyruvate Dehydrogenase,-0.01700523054600784,0.01700523054600784
Str,TCA Cycle,-0.006020916463141332,0.006020916463141332
Str,Fatty Acid Oxidation,0.011432055797610363,0.011432055797610363
Str,Fatty Acid Synthesis,0.001462209013218571,0.001462209013218571
KD,Glycolysis,-0.043028372708056914,0.043028372708056914
KD,Oxidative PPP,0.03066344362766306,0.03066344362766306
KD,Non oxidative PPP,-0.0036119346079079434,0.0036119346079079434
KD,Lactate Dehydrogenase,0.16249285392338997,0.16249285392338997
KD,Pyruvate Dehydrogenase,-0.08931266623541098,0.08931266623541098
KD,TCA Cycle,-0.010635989024643577,0.010635989024643577
KD,Fatty Acid Oxidation,0.06977461566947374,0.06977461566947374
KD,Fatty Acid Synthesis,-0.016799624029523536,0.016799624029523536
SQ,Glycolysis,0.06966814408701057,0.06966814408701057
SQ,Oxidative PPP,-0.04635560599200669,0.04635560599200669
SQ,Non oxidative PPP,-0.1323652660310112,0.1323652660310112
SQ,Lactate Dehydrogenase,0.10253951306210579,0.10253951306210579
SQ,Pyruvate Dehydrogenase,0.01821438657742304,0.01821438657742304
SQ,TCA Cycle,-0.020850936414409785,0.020850936414409785
SQ,Fatty Acid Oxidation,-0.037139465029999846,0.037139465029999846
SQ,Fatty Acid Synthesis,-0.13082372608942794,0.13082372608942794
Ps,Glycolysis,-0.014536453976688568,0.014536453976688568
Ps,Oxidative PPP,0.00791761967949696,0.00791761967949696
Ps,Non oxidative PPP,0.0011134326708847897,0.0011134326708847897
Ps,Lactate Dehydrogenase,0.027729939373890455,0.027729939373890455
Ps,Pyruvate Dehydrogenase,0.02485953692062111,0.02485953692062111
Ps,TCA Cycle,0.0019093440711504261,0.0019093440711504261
Ps,Fatty Acid Oxidation,0.0031500375780418866,0.0031500375780418866
Ps,Fatty Acid Synthesis,0.005141829651717292,0.005141829651717292
H,Glycolysis,-0.06396572996974981,0.06396572996974981
H,Oxidative PPP,-0.10035002334334492,0.10035002334334492
H,Non oxidative PPP,-0.1053628569782849,0.1053628569782849
H,Lactate Dehydrogenase,0.05339229871124532,0.05339229871124532
H,Pyruvate Dehydrogenase,-0.12833983125053577,0.12833983125053577
H,TCA Cycle,-0.031138214835013618,0.031138214835013618
H,Fatty Acid Oxidation,-0.0083965869313661,0.0083965869313661
H,Fatty Acid Synthesis,-0.0860694339363226,0.0860694339363226
