Tissue,Pathway,Difference,AbsDiff
BAT,Oxidative PPP,0.1737642375913612,0.1737642375913612
KD,Lactate Dehydrogenase,0.16249285392338997,0.16249285392338997
BAT,Fatty Acid Synthesis,0.15847296561329513,0.15847296561329513
VF,Non oxidative PPP,-0.15774721717180226,0.15774721717180226
VF,Fatty Acid Synthesis,-0.14874427070199775,0.14874427070199775
SK,Lactate Dehydrogenase,0.13558735784336393,0.13558735784336393
SK,Glycolysis,0.13357666743788066,0.13357666743788066
SQ,Non oxidative PPP,-0.1323652660310112,0.1323652660310112
SQ,Fatty Acid Synthesis,-0.13082372608942794,0.13082372608942794
H,Pyruvate Dehydrogenase,-0.12833983125053577,0.12833983125053577
