Tissue,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
AD,0.01016424670034213,0.1294086635554978,0.1217776206042493,-0.03396680883010822,0.127294759420822,0.12829887276340501,0.23067659413011712,0.012912431793365898,-0.00594843383719326,-0.05419099154248693,0.21671721110682643,0.1831449880753615,0.12935547400192896,0.18512509173901137,-0.011224295254672851,-0.01739166418895905,-0.12132863038543376,-0.09173466127644705,-0.14371000080377355,-0.18279395401784906,-0.08529950333053303,-0.18279395401784906,-0.18279395401784906,-0.18279395401784906,-0.08509520718049138,-0.03968480528451836
BAT,-0.3109628270507324,-0.23302871582821072,-0.03174786886804564,-0.2798621246141816,-0.05058636815159447,-0.059073838632300556,-0.07390921842955098,-0.2825813575561463,-0.8332634396526675,-0.8858454924441201,-0.44016156127937034,-0.5370329585837903,-0.33869172135534187,-0.7865505224795305,-0.7785984806800912,-0.8405279424596597,-0.8396014957091944,-0.7988809481125335,-0.8851465007434157,-0.8890855991633068,-0.857587864057237,-0.8890855991633068,-0.8890855991633068,-0.8890855991633068,-0.7662538871117867,-0.8209296621941263
CB,0.2709186994587707,-0.09557945141668138,-0.1352572676847126,0.3750934283160682,0.04356837222529139,0.08853639311814525,-0.09838108739916554,-0.10245448137496335,-0.08545114815762293,0.1692844008825671,0.17787153622281146,0.0838985884843461,0.03394880356589047,-0.10724720332248631,0.24866549684727585,-0.15896480690776546,-0.04737820284192135,-0.0996569640435743,-0.14078279279020103,-0.16578256255283935,-0.06221815627980579,-0.16578256255283935,-0.16578256255283935,-0.16578256255283935,-0.07706719226859005,0.2795243978055476
Cor,0.30789901474069326,-0.11068974215006078,-0.11524597623796207,0.3328814526453338,0.025180995483602198,0.06573796831853577,-0.09745228631095237,-0.09808233677918651,-0.06297102937510635,0.2585210525288184,0.05270523218265509,0.02751391299784627,-0.03110848676338584,-0.13448466502686543,0.12068548423820806,-0.14829073814525556,-0.02939181040859228,-0.1191797985634363,-0.13539993623595553,-0.1482944923692859,-0.04877615900792326,-0.1482944923692859,-0.1482944923692859,-0.1482944923692859,-0.047658275449689855,0.42138265945535613
DP,-0.09959207995387331,-0.28239258934553263,-0.3073772975722241,0.0477264146730026,-0.024024539365039198,0.08861587759901637,0.07047032925795557,-0.2914177114550332,-0.1483320166680706,0.28900061130380983,-0.04508160561344399,-0.0652535583065208,-0.07085630399842902,-0.2616723241489045,-0.19827669875563922,-0.3178052364448217,-0.2127818470392342,-0.21554138232062098,-0.220600313185557,-0.262485755450249,-0.22897122409689902,-0.2728467927106153,-0.279576073999318,-0.24025132792060272,-0.16932683313471997,-0.16993929745369835
GUT,-0.2080270686347966,-0.3553230288694705,-0.3030582389947732,0.1375494271855539,-0.3707935876970395,-0.1350254646280466,-0.2968492106080811,-0.45254015139610637,-0.21092111103332267,-0.3969883996125193,-0.4316497234803024,-0.4522633993876686,-0.4419166569717882,-0.3245754287599808,-0.395083097809933,-0.3611849621298611,-0.3953296787271413,-0.3632450186010451,0.04318979532677144,-0.4593190047051145,-0.4308221340881687,-0.4593190047051145,-0.4593190047051145,-0.4593190047051145,-0.43565104426120593,-0.36322022185899805
Gas,0.41155514897566847,-0.21432080696654293,-0.21826467233382676,0.5578413899668282,0.0019419847138996,0.08982162976119037,-0.054997635105401545,-0.18783948670733974,0.14215556254103387,0.14171100890150723,-0.03172008269465705,-0.05098782174935438,-0.04041249864212777,-0.21422893709485574,-0.1572782889641213,-0.22967421386556883,-0.18485054026262226,-0.18862123078501505,-0.18985022872393448,-0.22847469065021073,-0.1836341343133145,-0.22947147536935036,-0.22967421386556883,-0.2284884112518243,-0.135226021169816,-0.135226021169816
H,-0.3098493021101263,-0.5157117948119911,-0.5426633501593987,0.23019854086718064,-0.21824563815532105,0.06578068271598725,0.03253370583712169,-0.39727866948154816,-0.5498584057834548,0.20272387759252677,-0.22491753991692956,-0.3630316553208203,-0.32662355008201616,-0.5046989738326136,-0.4848183033268739,-0.5367958893298727,-0.510577338508616,-0.515606056320804,-0.5236712558732275,-0.5514927367525716,-0.5055417619896293,-0.5514927367525716,-0.5514927367525716,-0.5514927367525716,-0.4018735127302017,-0.4018735127302017
HC,0.29474416394356884,-0.12581999237546215,-0.12483873477120937,0.10050938390518549,0.05531008937729971,0.04610226324309505,-0.09582353373399227,-0.10879217870205775,-0.04037924009038022,0.18681939558488322,0.11431142012794389,0.05799551507629902,-0.02299925795046971,-0.14048209332879558,0.1444355755209529,-0.15827632947960368,-0.05691399054196143,-0.13026777974626952,-0.14418895363157136,-0.15914375139727246,-0.036829653622775536,-0.15914375139727246,-0.15914375139727246,-0.15914375139727246,-0.0685979084986261,0.30993274171362994
KD,0.1298334426894378,-0.05595149364575758,-0.07395778837033344,0.6459368826216563,0.07074435598257293,0.5019812311884616,0.3767092165553252,-0.16208701805797468,-0.05496836938098541,0.19175522446485543,0.4034251778613781,0.11313507868613026,0.1995704725849598,0.04957420772848928,0.6548044406939858,-0.15262223008255157,0.14067106813812036,0.6431987257416683,-0.10134380115462553,-0.1459275580396598,0.4128292006869295,-0.0450813021445951,-0.10234751824538553,-0.02471722165653063,-0.0741906636983233,-0.05922933273652366
