Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
BAT,Female,-0.31863681791422305,-0.3199108346238913,-0.05009748801458182,-0.3015888621574457,0.0024037883910403594,-0.060216836149704724,-0.04224868389234926,-0.36181784036279385,-0.8720072309208486,-0.9055057034415943,-0.4791837582697804,-0.5612283940714209,-0.37182963503703065,-0.8120694032265187,-0.7938427014740925,-0.8579548163544505,-0.8568585076498623,-0.8357046018890257,-0.9055057034415943,-0.9055057034415943,-0.8798725565137684,-0.9055057034415943,-0.9055057034415943,-0.9055057034415943,-0.8004622573011243,-0.8485683967029356
BAT,Male,-0.3032888361872418,-0.14614659703253013,-0.013398249721509464,-0.2581353870709176,-0.10357652469422932,-0.0579308411148964,-0.10556975296675271,-0.20334487474949872,-0.7945196483844864,-0.8661852814466459,-0.40113936428896035,-0.5128375230961597,-0.30555380767365314,-0.7610316417325422,-0.7633542598860898,-0.8231010685648688,-0.8223444837685268,-0.7620572943360413,-0.8647872980452371,-0.872665494885019,-0.8353031716007054,-0.872665494885019,-0.872665494885019,-0.872665494885019,-0.7320455169224489,-0.7932909276853171
CB,Female,0.28095029116214687,-0.0997126461215672,-0.13782995324612726,0.35959093040153406,0.039771764935842654,0.08892668897426798,-0.09489554072124687,-0.10671966396075565,-0.08934138162241788,0.16781602266785284,0.17690296232933334,0.08846526072804321,0.03146607847530248,-0.11954753358979438,0.26123205336497496,-0.16757098553065208,-0.059818464626705134,-0.10737776759998903,-0.14344553675017951,-0.1699351922518508,-0.06371154349416475,-0.1699351922518508,-0.1699351922518508,-0.1699351922518508,-0.08076728504300562,0.2763820029931216
CB,Male,0.2608871077553945,-0.09144625671179556,-0.13268458212329795,0.39059592623060224,0.04736497951474012,0.08814609726202254,-0.10186663407708423,-0.09818929878917104,-0.08156091469282797,0.17075277909728134,0.17884011011628959,0.07933191624064898,0.03643152865647846,-0.09494687305517827,0.2360989403295767,-0.15035862828487884,-0.03493794105713756,-0.09193616048715955,-0.13812004883022252,-0.1616299328538279,-0.06072476906544684,-0.1616299328538279,-0.1616299328538279,-0.1616299328538279,-0.07336709949417446,0.2826667926179735
Cor,Female,0.2946341642128459,-0.12436339769535076,-0.12906419776366002,0.2924413624048313,0.04015126036805192,0.05938485907556136,-0.10694937442642952,-0.10030142845648515,-0.06405923480649688,0.2506678862046734,0.05779627792290918,0.03564397907011232,-0.02543104205649712,-0.14616311686161584,0.11782564593545715,-0.1570969880586199,-0.03789726685339504,-0.1339940109622631,-0.14213783703983732,-0.1570969880586199,-0.04241395939544538,-0.1570969880586199,-0.1570969880586199,-0.1570969880586199,-0.0559295533460019,0.3951917440764414
Cor,Male,0.3211638652685407,-0.09701608660477078,-0.1014277547122641,0.37332154288583635,0.010210730599152477,0.0720910775615102,-0.08795519819547526,-0.09586324510188786,-0.061882823943715824,0.2663742188529634,0.047614186442401,0.019383846925580216,-0.036785931470274556,-0.12280621319211497,0.12354532254095896,-0.1394844882318912,-0.02088635396378952,-0.10436558616460949,-0.12866203543207372,-0.1394919966799519,-0.05513835862040114,-0.1394919966799519,-0.1394919966799519,-0.1394919966799519,-0.039386997553377816,0.44757357483427074
DP,Female,-0.09167435831481628,-0.25791547602513337,-0.2787842473766401,0.03325323393874452,-0.0031696959032975597,0.07785469893126896,0.06875896690895646,-0.2665228760292675,-0.14854932477378144,0.16868427303328937,-0.03281639255514968,-0.05522647331596018,-0.05616709566700738,-0.2127945198169728,-0.13750560306034126,-0.2798997982303582,-0.14972266085296532,-0.15224038762391856,-0.16588094100445422,-0.19760093258071582,-0.17662442579004742,-0.2190071474293494,-0.2285487742663626,-0.1723436622107528,-0.1634634281372769,-0.16085642304337128
DP,Male,-0.10750980159293033,-0.30686970266593183,-0.3359703477678081,0.06219959540726068,-0.04487938282678084,0.0993770562667638,0.07218169160695467,-0.3163125468807989,-0.14811470856235975,0.4093169495743304,-0.0573468186717383,-0.07528064329708142,-0.08554551232985064,-0.3105501284808362,-0.2590477944509372,-0.35571067465928535,-0.27584103322550313,-0.2788423770173234,-0.27531968536665974,-0.32737057831978217,-0.2813180224037506,-0.3266864379918812,-0.33060337373227344,-0.3081589936304526,-0.17519023813216303,-0.1790221718640254
GUT,Female,-0.20525126628563525,-0.3370994261612587,-0.28985577439824206,0.12557974919320528,-0.34348451674101543,-0.13574385202401223,-0.28786807526289293,-0.425428299507138,-0.21658629535675483,-0.3812173434823688,-0.40376560686321306,-0.42414299060723837,-0.4138956029702374,-0.3186173547014407,-0.3705830005319183,-0.3508307697775648,-0.36853019194270387,-0.3321735826207053,0.04439768009903405,-0.4315431541997836,-0.3997769121119821,-0.4315431541997836,-0.4315431541997836,-0.4315431541997836,-0.4124600468609869,-0.3448748338636663
GUT,Male,-0.210802870983958,-0.3735466315776822,-0.3162607035913043,0.1495191051779025,-0.39810265865306355,-0.13430707723208096,-0.3058303459532693,-0.47965200328507474,-0.2052559267098905,-0.41275945574266987,-0.45953384009739173,-0.4803838081680989,-0.469937710973339,-0.33053350281852084,-0.41958319508794767,-0.3715391544821574,-0.42212916551157875,-0.3943164545813849,0.04198191055450884,-0.4870948552104453,-0.4618673560643553,-0.4870948552104453,-0.4870948552104453,-0.4870948552104453,-0.4588420416614249,-0.38156560985432986
