Sample,Name,Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
A14,LV_6h_M_G4,LV,Male,0.2615290475824494,0.1115353816811076,0.0674060511697963,0.4243976361989756,0.1203929634271237,0.3503355895035559,0.4220869987395508,0.05,0.9311090614166216,0.7380026794302202,0.3085696587841847,0.1505762323090628,0.2640037776473253,0.8559482997550967,0.7054616951002193,0.2051946000812897,0.9086530064563388,0.6960864087893939,0.9756782245775631,0.8029031442266872,0.3858429675722498,0.9568164019448276,0.9428403244287468,0.9417424823446504,0.5533206342902697,0.203516154941469
A123,BAT_6h_F_G3,BAT,Female,0.6544897085998854,0.6798639321323172,0.928389347275666,0.6705470945743892,0.9450007200120384,0.9084939552600696,0.8899660455638279,0.6345801724628283,0.0732295635014911,0.05,0.4793805198136487,0.3950322047341227,0.5865247884799999,0.140277169411668,0.1597438290309909,0.1004565885253731,0.1038648968123309,0.1178987679920456,0.05,0.05,0.0729809450632463,0.05,0.05,0.05,0.16143423539006,0.1085925284140244
A202,Str_6h_M_G2,Str,Male,0.4222409472920279,0.1030831598046339,0.1003548782539385,0.6287070209252127,0.1975304761079205,0.2483793281382663,0.1082052363961969,0.1127046736274366,0.135968957730352,0.428405448499921,0.3174918417487845,0.2404646944197384,0.1926930899119623,0.0783908617430415,0.3609191878223931,0.063072890424349,0.1464881649368292,0.0930066142293342,0.0674241936868859,0.05,0.158085236124964,0.05,0.05,0.05,0.1463566617035113,0.5528416747194237
A108,KD_6h_F_G3,KD,Female,0.286924531940748,0.1151110904625842,0.1132424743308099,0.6394063547332434,0.3769667382046326,0.5384838546741809,0.4598768896226617,0.0565509026849333,0.1482538723323049,0.2527853478679063,0.4335763857322551,0.298542378413863,0.360386549020876,0.1666712898843346,0.6965377944863701,0.05,0.295869317489142,0.6319532194556053,0.113048134840331,0.0724495095094636,0.5290159990621708,0.1527246940180539,0.0995010528801191,0.1895823614253847,0.1175525830829238,0.1124244964115709
A106,KD_6h_F_G1,KD,Female,0.3554719938711344,0.1351102866513563,0.1269979313089095,0.7446040438759671,0.2638456260332252,0.5579825065894161,0.5408399185081689,0.0538834944072617,0.1311981171082344,0.4143383868456007,0.5974521765194816,0.3519081668654937,0.3915083674281765,0.1927209132272181,0.8385024360437907,0.0518800280065357,0.317310208809202,0.8554646040332289,0.1389292577916387,0.0813575135354556,0.5989072045115981,0.1668518749181052,0.1068004704769397,0.1831353923642813,0.1439337324683829,0.1439337324683829
A160,UT_6h_F_G5,UT,Female,0.0569034252929295,0.0851169155788312,0.0595033863811877,0.0557694006319219,0.0642314959010097,0.0637545134071914,0.0594985678220578,0.0652927077386987,0.05,0.05,0.2071594754098809,0.1776764184398939,0.147125565360523,0.0699151613746987,0.117418193781361,0.1548808371815477,0.123189150731833,0.05,0.05,0.05,0.105506385533303,0.05,0.05,0.05,0.05,0.1773692421239651
A120,SQ_6h_F_G5,SQ,Female,0.3523400376107115,0.6590815813047951,0.7094606710617749,0.742965904096425,0.6404895031067043,0.3968694610894728,0.2647036415928195,0.6565044098650566,0.261640851117967,0.0702491641093757,0.6883190546389173,0.5949682676799288,0.6316635112453595,0.0584121730572951,0.2151292373700053,0.05,0.1035559173000815,0.1227107186497126,0.0651248330901724,0.05,0.1109180576130496,0.05,0.05,0.05,0.2167407545514016,0.1907766640419721
A176,Ps_6h_M_G1,Ps,Male,0.5533042096217728,0.1098945605775673,0.1146169826953602,0.7383907257528366,0.2768485244319916,0.3260944178164441,0.1058795659181918,0.1268245206098406,0.1216961928691835,0.5810390896673323,0.4102178779097148,0.3898804891736122,0.2925389626263477,0.1152276825852693,0.4498232526434672,0.0828940181102883,0.1513489531921259,0.0755560020173121,0.0686115839751473,0.05,0.2082022205157966,0.05,0.05,0.05,0.1704463390142675,0.6658722442394185
A2,H_6h_M_G2,H,Male,0.3597880751006327,0.0920227865718248,0.0587983923470744,1.0,0.3917421832734762,0.7783146706943253,0.756900309556233,0.2229026281101094,0.05530199421138,1.0,0.4795288413081557,0.2819692737069109,0.3161776923051427,0.1196106948612972,0.1238768519689215,0.0699233749327606,0.0891421266495572,0.1008296757701948,0.0830281768671745,0.05,0.0965977584732781,0.05,0.05,0.05,0.223606797749979,0.223606797749979
A184,MB_6h_M_G4,MB,Male,0.5042790937593534,0.1090934987865157,0.100913523456058,0.6539579457776152,0.2522573950842401,0.2979111776320162,0.1066619204489827,0.1205930658688959,0.109212493241309,0.5055589719031112,0.4385289030172642,0.3885970571720397,0.2802119981598036,0.0980773116493419,0.3999314055966371,0.0764790909648512,0.1565201160512772,0.0889688853603385,0.0728754445817104,0.05,0.1457641826081362,0.05,0.05,0.05,0.1589904040977176,0.6379133682690267
