Sample,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,TCA_Cycle,Pyruvate_Dehydrogenase,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Malic_Enzyme,IDH_NADPH,Lactate_Dehydrogenase,Glutaminolysis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
A14,0.2615290475824494,0.11153538168110766,0.06740605116979637,0.3503355895035559,0.12039296342712372,0.42208699873955086,0.05000000000000001,0.05000000000000001,0.4646584340637552,0.42439763619897564,0.8193479092592655,0.9311090614166215,0.7380026794302202,0.30856965878418474,0.1505762323090628,0.26400377764732536,0.8559482997550967,0.7054616951002193,0.20519460008128979,0.9086530064563387,0.6960864087893939,0.9756782245775633,0.8029031442266872,0.3858429675722498,0.9568164019448275,0.9428403244287467,0.9417424823446503,0.5533206342902697,0.20351615494146907
A123,0.6544897085998854,0.6798639321323172,0.9283893472756659,0.9084939552600695,0.9450007200120383,0.8899660455638279,0.6345801724628283,0.45903847131168374,0.23697113612719323,0.6705470945743892,0.0675703747288078,0.07322956350149112,0.05000000000000001,0.47938051981364876,0.39503220473412276,0.5865247884799999,0.14027716941166807,0.1597438290309909,0.1004565885253731,0.10386489681233095,0.11789876799204561,0.05000000000000001,0.05000000000000001,0.0729809450632463,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.16143423539006005,0.10859252841402448
A202,0.42224094729202793,0.10308315980463395,0.1003548782539385,0.24837932813826633,0.19753047610792054,0.10820523639619699,0.11270467362743666,0.6296691568836713,0.060648189185028276,0.6287070209252127,0.327349673537934,0.13596895773035209,0.42840544849992107,0.31749184174878453,0.24046469441973847,0.19269308991196232,0.07839086174304151,0.36091918782239313,0.06307289042434906,0.14648816493682926,0.09300661422933429,0.06742419368688597,0.05000000000000001,0.15808523612496406,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.1463566617035113,0.5528416747194237
A108,0.286924531940748,0.1151110904625842,0.11324247433080993,0.5384838546741809,0.37696673820463267,0.4598768896226617,0.0565509026849333,0.42765665497789296,0.711893109899184,0.6394063547332434,0.5221755209391992,0.14825387233230494,0.25278534786790635,0.43357638573225515,0.29854237841386305,0.360386549020876,0.1666712898843346,0.6965377944863701,0.05000000000000001,0.295869317489142,0.6319532194556053,0.113048134840331,0.07244950950946366,0.5290159990621708,0.15272469401805394,0.0995010528801191,0.1895823614253847,0.1175525830829238,0.1124244964115709
A106,0.3554719938711344,0.13511028665135633,0.12699793130890952,0.5579825065894161,0.2638456260332252,0.5408399185081689,0.05388349440726177,0.6709610204807643,0.4878680295403333,0.7446040438759671,0.573352460617643,0.13119811710823445,0.4143383868456007,0.5974521765194816,0.3519081668654937,0.3915083674281765,0.1927209132272181,0.8385024360437907,0.051880028006535794,0.317310208809202,0.8554646040332289,0.13892925779163875,0.0813575135354556,0.5989072045115981,0.16685187491810527,0.10680047047693973,0.18313539236428134,0.14393373246838295,0.14393373246838295
A160,0.056903425292929556,0.0851169155788312,0.05950338638118777,0.06375451340719147,0.06423149590100975,0.059498567822057875,0.06529270773869872,0.05209127407633278,0.05000000000000001,0.05576940063192195,0.06035745303639798,0.05000000000000001,0.05000000000000001,0.20715947540988092,0.1776764184398939,0.14712556536052304,0.06991516137469878,0.11741819378136109,0.15488083718154777,0.123189150731833,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.10550638553330309,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.17736924212396515
A120,0.35234003761071153,0.6590815813047951,0.7094606710617749,0.39686946108947285,0.6404895031067043,0.2647036415928195,0.6565044098650566,0.9058462167032678,0.32535420875106713,0.742965904096425,0.09871559393654025,0.261640851117967,0.07024916410937572,0.6883190546389173,0.5949682676799288,0.6316635112453595,0.058412173057295104,0.21512923737000536,0.05000000000000001,0.1035559173000815,0.12271071864971261,0.06512483309017242,0.05000000000000001,0.11091805761304963,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.21674075455140163,0.1907766640419721
A176,0.5533042096217728,0.1098945605775673,0.11461698269536022,0.32609441781644416,0.27684852443199165,0.10587956591819188,0.12682452060984062,0.5697006657518932,0.09703710269604526,0.7383907257528366,0.5130071424694458,0.12169619286918353,0.5810390896673323,0.4102178779097148,0.38988048917361223,0.2925389626263477,0.11522768258526937,0.4498232526434672,0.08289401811028838,0.15134895319212593,0.07555600201731216,0.06861158397514736,0.05000000000000001,0.2082022205157966,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.17044633901426753,0.6658722442394185
A2,0.3597880751006327,0.0920227865718248,0.05879839234707449,0.7783146706943253,0.39174218327347626,0.756900309556233,0.2229026281101094,1.0,1.0,1.0,0.1443919993421109,0.055301994211380046,1.0,0.4795288413081557,0.28196927370691094,0.31617769230514275,0.11961069486129725,0.12387685196892154,0.06992337493276068,0.08914212664955723,0.10082967577019489,0.08302817686717456,0.05000000000000001,0.09659775847327817,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.223606797749979,0.223606797749979
A184,0.5042790937593534,0.10909349878651578,0.10091352345605803,0.29791117763201624,0.2522573950842401,0.10666192044898276,0.12059306586889593,0.3547288712710271,0.08490746485903959,0.6539579457776152,0.4078374626846393,0.10921249324130909,0.5055589719031112,0.4385289030172642,0.38859705717203974,0.2802119981598036,0.09807731164934197,0.3999314055966371,0.07647909096485127,0.15652011605127725,0.08896888536033853,0.07287544458171041,0.05000000000000001,0.1457641826081362,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.15899040409771767,0.6379133682690267
