,AD,BAT,DP,GUT,Gas,H,KD,LUN,LV,OV,PA,SK,SP,SQ,TE,UT,VF,CB,Cor,HC,MB,ME,OB,Ps,Str,TH
Alanine_catabolism,0.2268455201806558,0.10582215951063922,0.23306749149200084,0.29839789367179176,0.4218297764066028,0.05163433096911674,0.16308323526605384,0.055147982413724636,0.8330043349180765,0.1999856874781336,0.08210123723800133,0.16688798066219263,0.05,0.3491261410260488,0.05542349161922329,0.07348112337393846,0.3439801533030119,0.1303314143952164,0.13532346299417952,0.1687645113068922,0.122797461912789,0.13193759740466265,0.2484733310009223,0.12373970293565721,0.13808403040615752,0.13918132374924458
Aspartate_catabolism,0.1786029624753621,0.05324010671918655,0.6704001194638814,0.11233060509259507,0.42138522276707613,0.8042166143450984,0.4098068291118948,0.09495087711262759,0.7741678308065771,0.1335944441899876,0.05144809462739889,0.19503860315804555,0.09582867677369117,0.1015488736616547,0.05,0.09114723125543897,0.30408670361379564,0.3850669634354065,0.45681554489810433,0.39596314698215573,0.5283404169637075,0.608182273328363,0.4585213080318028,0.5967187644552316,0.452460314437001,0.5301158595318818
Leucine_catabolism,0.4495111651246755,0.4989240378839364,0.33631790254662747,0.077669281224812,0.24795413117091178,0.376575196835642,0.6214767825084173,0.18837362101354366,0.31969974406313745,0.5396453676632437,0.1519702885375541,0.27341517054584114,0.1439695852910234,0.6322545670774857,0.10848610710520837,0.33496816366238985,0.5552147878894387,0.39365409877565083,0.25099972455194103,0.3234551715252164,0.42109820147778254,0.4122930925215563,0.4081569292559606,0.4126464876294203,0.36063559927754857,0.3710768600582256
Isoleucine_catabolism,0.4159389420932106,0.4020526405795164,0.3161459498535506,0.0570556053174458,0.22868639211621442,0.2384610814317512,0.3311866833331696,0.15480002530352174,0.15999271071963433,0.5192202998073119,0.15583963569244583,0.26285978245180297,0.10104095618801312,0.5445737499725566,0.07508854196834262,0.3278911931175888,0.5073374471101628,0.29968115103718546,0.22580840536713223,0.26713926647357156,0.3989884080102235,0.4169615484218265,0.3202990805045268,0.42011915647002684,0.29452217913914563,0.3245867136718752
Valine_catabolism,0.362149428019778,0.6003938778079647,0.31054320416164244,0.06740234773332619,0.23926171522344103,0.2748691866705554,0.4176220772319992,0.13307686375272249,0.2576016902868062,0.43380531491074786,0.1393020398206996,0.2552550782976003,0.10161150991342174,0.6095812279749919,0.0729810098746682,0.2527132283439316,0.5082542061502616,0.24973136611872984,0.16718600560590002,0.18614449344680276,0.2910922844575037,0.3179161273133745,0.27155521725273013,0.30734014589831415,0.23629973568729362,0.25495644229537934
Serine_catabolism,0.41791904575686045,0.15253507668377625,0.11972718401116692,0.18474357594513363,0.06544527677071305,0.09679376291995795,0.26762581237552857,0.06998253150531246,0.7398188632679389,0.16898414572963577,0.05561309327911319,0.08959785261566211,0.1037508932689107,0.06938056082569691,0.09921553767668956,0.08922510811460001,0.09114137372401322,0.10853535923035293,0.06380982734242044,0.06866165806847685,0.0946830777528419,0.10799418874275794,0.0751279988352814,0.10274103769314924,0.07231200122895917,0.0791079898930123
Glycine_catabolism,0.2215696587631762,0.16048711848321545,0.1831228094044322,0.11423590689518141,0.1223959249014475,0.11667443342569764,0.8728560453410251,0.1470498934213615,0.7135134567892722,0.24937260124791036,0.06804947610498426,0.13272801343457183,0.07158478272024797,0.17865095970808037,0.06711151529437272,0.2225436580243457,0.3305635001413192,0.4644480594001152,0.318979976607494,0.3535793269182254,0.41992094991120626,0.42434430488749114,0.46139101101679403,0.4232037825334901,0.439963291091916,0.4708567003837805
Threonine_catabolism,0.21540228982888995,0.09855765670364708,0.0635942717152497,0.14813404257525334,0.05,0.0646968474226989,0.06542937456448766,0.05,0.17095899983498025,0.09039000371695226,0.1774981677168371,0.07352265846324942,0.06362499886712387,0.05684221173673974,0.051001920805818855,0.07461345497008226,0.06323494449015467,0.05681775564507387,0.05000375422403036,0.05086742191766878,0.07221448587368498,0.08030213118672352,0.05002455994464085,0.07532418385451409,0.05968474626822462,0.06410971234432415
Methionine_catabolism,0.11146532363241524,0.09948410345411221,0.16861766112083726,0.1139893259779731,0.09482367360294655,0.0909153982439556,0.3587226727851597,0.12789154645017792,0.8154122234642808,0.169092198262994,0.08535599763265608,0.11706675852797643,0.11227767000404987,0.10164180680161412,0.08329116034384554,0.11688660214442734,0.14272422121519307,0.16840435971091794,0.16890268196069358,0.15222976085531098,0.1564256842278658,0.14242779400594818,0.1592483225415803,0.14361554170835938,0.15443949684870578,0.14671289389906744
Proline_catabolism,0.14105929274140194,0.14020465105077323,0.16585812583945045,0.1460739861040693,0.09105298308055379,0.08588668043176748,0.8612503303887076,0.08358647891043039,0.7942269578101858,0.09652552621190146,0.06172928996712261,0.09482325681997719,0.05236615484067868,0.13441774406416945,0.05,0.0689114141548329,0.14345086781143798,0.116125598509265,0.07911469380584958,0.07887597165100292,0.08529238905116458,0.07547412218006042,0.0780213974793978,0.07454092366390669,0.09292344212214994,0.08405688030236692
