Tissue,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis
AD,0.24295820071819124,0.36220261757334693,0.3545715746220984,0.1988271451877408,0.3600887134386711,0.34142770770862596,0.4634705481479662,0.24570638581121496
BAT,0.6281227721125744,0.706056883335096,0.9073377302952611,0.659223474549125,0.8884992310117124,0.887125084222587,0.8651763807337558,0.6565042416071604
CB,0.48670126201161007,0.12020311113615789,0.08052529486812668,0.5908759908689075,0.25935093477813076,0.2914773114482399,0.11740147515367376,0.11332808117787593
Cor,0.5061935071099792,0.0876047502192251,0.08304851613132382,0.5311759450146198,0.22347548785288812,0.2543681803323396,0.1008422060583335,0.10021215559009936
DP,0.2818074282061981,0.09900691881453885,0.07402221058784733,0.4291259228330741,0.3573749687950323,0.4577535548562864,0.4518698374180271,0.08998179670503823
GUT,0.3012919360703178,0.15399597583564395,0.2062607657103412,0.6468684318906683,0.1385254170080749,0.38834921549352164,0.21246979409703332,0.0567788533090081
Gas,0.6912293628412374,0.06535340689902587,0.06140954153174205,0.837515603832397,0.28161619857946846,0.3567657806172505,0.22467657876016728,0.09183472715822907
H,0.29164343464244524,0.08578094194058036,0.058829386593172904,0.8316912776197523,0.3832470985972505,0.6585421890886358,0.6340264425896933,0.20421406727102337
HC,0.5038879153408413,0.0833237590218103,0.08430501662606306,0.309653135302458,0.2644538407745723,0.2489339873570096,0.11332021766328018,0.10035157269521469
KD,0.3478850473364772,0.16210011100128166,0.1440938162767058,0.8639884872686958,0.28879596062961227,0.619740698047664,0.5947608212023645,0.05596458658906456
LUN,0.13431562491315158,0.15052343341266983,0.10265110814149711,0.18080864300666294,0.12422663554425253,0.14550049317343147,0.12014303078367809,0.09141294362974868
LV,0.2651016003276338,0.1104479873141945,0.07197184675111015,0.5458904320971232,0.10791720469826446,0.330667065879505,0.49670386117419413,0.053118537505208285
MB,0.5301161413769345,0.10606303759926168,0.10393917239824287,0.6185612937619527,0.25835335990178476,0.3056535340892012,0.10564434135608136,0.12618126655574793
ME,0.5680983469354526,0.10180103691355061,0.11469576232298322,0.845656207166938,0.2860980914603154,0.3446886729504807,0.11403647295800864,0.1282991179048714
OB,0.47458734392811347,0.10166275561049998,0.0754196899043937,0.7284214568242735,0.2574416759546951,0.2728513878556453,0.11646675505331841,0.11391709250621615
OV,0.23764163090351054,0.45228148470178564,0.35213201812247763,0.4031630314293612,0.30626099201200685,0.30135380680586243,0.27438390340596436,0.34267934832296376
PA,0.08123110357034144,0.1398164153549342,0.12883873337694565,0.1266640469610173,0.10068605084590077,0.08732487728220997,0.07667855168539449,0.13944676770729386
Ps,0.5633031634091238,0.10861914004575964,0.11750755726480466,0.7183297855286849,0.27466637968230134,0.3269385737925272,0.1108065423208753,0.12737117932133454
SK,0.3101949218041834,0.2364019547101212,0.1608667099759145,0.5027977817815346,0.2336305140722062,0.2426967315792261,0.1864684902665881,0.2113642970745197
SP,0.1436055508522786,0.150474971643518,0.13138482204140547,0.14784238772424022,0.08176738855337012,0.11719706695581902,0.08830967744130283,0.05496728993707819
SQ,0.43939842773464655,0.6329449455145216,0.6611957136379185,0.7464836171732081,0.6326123660087017,0.4304887720197651,0.3657944192681738,0.6713071378454822
Str,0.4604534595715194,0.10313352072412603,0.11231249626345116,0.5632466078389705,0.22364950887497762,0.26968355284012646,0.11704363256944547,0.12183025090573134
TE,0.47060806779361963,0.2828280776488174,0.05,0.9807190976316488,0.16234724891388255,0.10271346239716359,0.15401143121386235,0.05206290223319913
TH,0.5273252728573473,0.11468801961453479,0.11130293908354391,0.6264397811420823,0.24821246407575764,0.30096153347868376,0.11302297643425477,0.1253659881800368
UT,0.12354850337518637,0.1756427839594879,0.13075087366913596,0.2009081882740059,0.13895297584624125,0.1499324161502506,0.14239309202066036,0.08444888643834046
VF,0.27389313817955685,0.5918345157678677,0.5137821129948129,0.5723722220632276,0.43408327306448935,0.3076810117179306,0.2354806428040915,0.5378147860717206
