Tissue,Pathway,Difference,AbsDiff
LV,Glycolysis,0.017206169012369432,0.017206169012369432
LV,Oxidative PPP,0.01235329673449713,0.01235329673449713
LV,Non oxidative PPP,-0.004923370299739063,0.004923370299739063
LV,Lactate Dehydrogenase,-0.11912122621380006,0.11912122621380006
LV,Pyruvate Dehydrogenase,-0.012015479616232574,0.012015479616232574
LV,TCA Cycle,-0.006008091383264136,0.006008091383264136
LV,Fatty Acid Oxidation,-0.04311577309473125,0.04311577309473125
LV,Fatty Acid Synthesis,0.0023469541175397263,0.0023469541175397263
BAT,Glycolysis,-0.017492226829594282,0.017492226829594282
BAT,Oxidative PPP,0.14092402903478551,0.14092402903478551
BAT,Non oxidative PPP,0.0038590297364968773,0.0038590297364968773
BAT,Lactate Dehydrogenase,0.010613266529952314,0.010613266529952314
BAT,Pyruvate Dehydrogenase,-0.13882052164184544,0.13882052164184544
BAT,TCA Cycle,-0.030832211464777992,0.030832211464777992
BAT,Fatty Acid Oxidation,-0.09616127763097915,0.09616127763097915
BAT,Fatty Acid Synthesis,0.1256327570567194,0.1256327570567194
Str,Glycolysis,0.007289763582591202,0.007289763582591202
Str,Oxidative PPP,-0.0009549174615696987,0.0009549174615696987
Str,Non oxidative PPP,-0.0028608919521465603,0.0028608919521465603
Str,Lactate Dehydrogenase,0.04575611732235818,0.04575611732235818
Str,Pyruvate Dehydrogenase,-0.026145641337705777,0.026145641337705777
Str,TCA Cycle,-0.014287380629993907,0.014287380629993907
Str,Fatty Acid Oxidation,0.002291645005912543,0.002291645005912543
Str,Fatty Acid Synthesis,-0.007678201778479318,0.007678201778479318
KD,Glycolysis,-0.02262498173642885,0.02262498173642885
KD,Oxidative PPP,0.05106683459929101,0.05106683459929101
KD,Non oxidative PPP,0.01679145636372012,0.01679145636372012
KD,Lactate Dehydrogenase,0.18289624489501788,0.18289624489501788
KD,Pyruvate Dehydrogenase,-0.0689092752637831,0.0689092752637831
KD,TCA Cycle,0.014312065612857805,0.014312065612857805
KD,Fatty Acid Oxidation,0.09017800664110176,0.09017800664110176
KD,Fatty Acid Synthesis,0.0036037669421045276,0.0036037669421045276
SQ,Glycolysis,0.10990702308256756,0.10990702308256756
SQ,Oxidative PPP,-0.006116726996449717,0.006116726996449717
SQ,Non oxidative PPP,-0.0921263870354544,0.0921263870354544
SQ,Lactate Dehydrogenase,0.14277839205766263,0.14277839205766263
SQ,Pyruvate Dehydrogenase,0.05845326557297992,0.05845326557297992
SQ,TCA Cycle,0.021471747119223394,0.021471747119223394
SQ,Fatty Acid Oxidation,0.0030994139655570185,0.0030994139655570185
SQ,Fatty Acid Synthesis,-0.09058484709387105,0.09058484709387105
Ps,Glycolysis,-0.023162925449201843,0.023162925449201843
Ps,Oxidative PPP,-0.0007088517930162741,0.0007088517930162741
Ps,Non oxidative PPP,-0.007513038801628458,0.007513038801628458
Ps,Lactate Dehydrogenase,0.01910346790137718,0.01910346790137718
Ps,Pyruvate Dehydrogenase,0.016233065448107875,0.016233065448107875
Ps,TCA Cycle,-0.007083848798824843,0.007083848798824843
Ps,Fatty Acid Oxidation,-0.005476433894471347,0.005476433894471347
Ps,Fatty Acid Synthesis,-0.0034846418207959418,0.0034846418207959418
H,Glycolysis,0.045726908620411844,0.045726908620411844
H,Oxidative PPP,0.009342615246816677,0.009342615246816677
H,Non oxidative PPP,0.004329781611876735,0.004329781611876735
H,Lactate Dehydrogenase,0.16308493730140683,0.16308493730140683
H,Pyruvate Dehydrogenase,-0.01864719266037418,0.01864719266037418
H,TCA Cycle,0.08289166922705693,0.08289166922705693
H,Fatty Acid Oxidation,0.10129605165879552,0.10129605165879552
H,Fatty Acid Synthesis,0.023623204653839103,0.023623204653839103
MB,Glycolysis,0.039844168039286365,0.039844168039286365
MB,Oxidative PPP,0.009251369382025615,0.009251369382025615
MB,Non oxidative PPP,3.94449298823929e-05,3.94449298823929e-05
MB,Lactate Dehydrogenase,0.04649177418813677,0.04649177418813677
MB,Pyruvate Dehydrogenase,-0.006094404485309235,0.006094404485309235
MB,TCA Cycle,0.015577479577764175,0.015577479577764175
MB,Fatty Acid Oxidation,0.0021139956252259895,0.0021139956252259895
MB,Fatty Acid Synthesis,0.0023164645254681315,0.0023164645254681315
ME,Glycolysis,0.046833696804941094,0.046833696804941094
