Tissue,Pathway,Difference,AbsDiff
VF,Non oxidative PPP,-0.2728516367929775,0.2728516367929775
VF,Fatty Acid Synthesis,-0.26384869032317304,0.26384869032317304
KD,Lactate Dehydrogenase,0.18289624489501788,0.18289624489501788
PA,Fatty Acid Synthesis,-0.1788935354145878,0.1788935354145878
H,Lactate Dehydrogenase,0.16308493730140683,0.16308493730140683
PA,Non oxidative PPP,-0.15767746675389127,0.15767746675389127
VF,Pyruvate Dehydrogenase,-0.15474391129693116,0.15474391129693116
PA,Lactate Dehydrogenase,-0.15332809392203461,0.15332809392203461
PA,Oxidative PPP,-0.143576801558501,0.143576801558501
SQ,Lactate Dehydrogenase,0.14277839205766263,0.14277839205766263
