Tissue,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
AD,0.24295820071819124,0.36220261757334693,0.3545715746220984,0.1988271451877408,0.3600887134386711,0.34142770770862596,0.4634705481479662,0.24570638581121496,0.2268455201806558,0.1786029624753621,0.4495111651246755,0.4159389420932106,0.362149428019778,0.41791904575686045,0.2215696587631762,0.21540228982888995,0.11146532363241524,0.14105929274140194,0.08908395321407546,0.05,0.14749445068731598,0.05,0.05,0.05,0.14769874683735762,0.19310914873333065
BAT,0.6281227721125744,0.706056883335096,0.9073377302952611,0.659223474549125,0.8884992310117124,0.887125084222587,0.8651763807337558,0.6565042416071604,0.10582215951063922,0.05324010671918655,0.4989240378839364,0.4020526405795164,0.6003938778079647,0.15253507668377625,0.16048711848321545,0.09855765670364708,0.09948410345411221,0.14020465105077323,0.05393909841989085,0.05,0.08149773510606984,0.05,0.05,0.05,0.1728317120515201,0.11815593696918032
CB,0.48670126201161007,0.12020311113615789,0.08052529486812668,0.5908759908689075,0.25935093477813076,0.2914773114482399,0.11740147515367376,0.11332808117787593,0.1303314143952164,0.3850669634354065,0.39365409877565083,0.29968115103718546,0.24973136611872984,0.10853535923035293,0.4644480594001152,0.05681775564507387,0.16840435971091794,0.116125598509265,0.07499976976263827,0.05,0.15356440627303353,0.05,0.05,0.05,0.13871537028424924,0.495306960358387
Cor,0.5061935071099792,0.0876047502192251,0.08304851613132382,0.5311759450146198,0.22347548785288812,0.2543681803323396,0.1008422060583335,0.10021215559009936,0.13532346299417952,0.45681554489810433,0.25099972455194103,0.22580840536713223,0.16718600560590002,0.06380982734242044,0.318979976607494,0.05000375422403036,0.16890268196069358,0.07911469380584958,0.06289455613333032,0.05,0.1495183333613626,0.05,0.05,0.05,0.150636216919596,0.6196771518246421
DP,0.2818074282061981,0.09900691881453885,0.07402221058784733,0.4291259228330741,0.3573749687950323,0.4577535548562864,0.4518698374180271,0.08998179670503823,0.23306749149200084,0.6704001194638814,0.33631790254662747,0.3161459498535506,0.31054320416164244,0.11972718401116692,0.1831228094044322,0.0635942717152497,0.16861766112083726,0.16585812583945045,0.16079919497451448,0.11891375270982248,0.1524282840631724,0.10855271544945617,0.10182343416075346,0.14114818023946876,0.21207267502535143,0.21146021070637308
GUT,0.3012919360703178,0.15399597583564395,0.2062607657103412,0.6468684318906683,0.1385254170080749,0.38834921549352164,0.21246979409703332,0.0567788533090081,0.29839789367179176,0.11233060509259507,0.077669281224812,0.0570556053174458,0.06740234773332619,0.18474357594513363,0.11423590689518141,0.14813404257525334,0.1139893259779731,0.1460739861040693,0.5525088000318858,0.05,0.07849687061694569,0.05,0.05,0.05,0.07366796044390848,0.14609878284611633
Gas,0.6912293628412374,0.06535340689902587,0.06140954153174205,0.837515603832397,0.28161619857946846,0.3567657806172505,0.22467657876016728,0.09183472715822907,0.4218297764066028,0.42138522276707613,0.24795413117091178,0.22868639211621442,0.23926171522344103,0.06544527677071305,0.1223959249014475,0.05,0.09482367360294655,0.09105298308055379,0.08982398514163434,0.051199523215358124,0.09604007955225433,0.050202738496218466,0.05,0.05118580261374452,0.14444819269575285,0.14444819269575285
H,0.29164343464244524,0.08578094194058036,0.058829386593172904,0.8316912776197523,0.3832470985972505,0.6585421890886358,0.6340264425896933,0.20421406727102337,0.05163433096911674,0.8042166143450984,0.376575196835642,0.2384610814317512,0.2748691866705554,0.09679376291995795,0.11667443342569764,0.0646968474226989,0.0909153982439556,0.08588668043176748,0.07782148087934396,0.05,0.09595097476294225,0.05,0.05,0.05,0.19961922402236984,0.19961922402236984
HC,0.5038879153408413,0.0833237590218103,0.08430501662606306,0.309653135302458,0.2644538407745723,0.2489339873570096,0.11332021766328018,0.10035157269521469,0.1687645113068922,0.39596314698215573,0.3234551715252164,0.26713926647357156,0.18614449344680276,0.06866165806847685,0.3535793269182254,0.05086742191766878,0.15222976085531098,0.07887597165100292,0.06495479776570108,0.05,0.1723140977744969,0.05,0.05,0.05,0.14054584289864636,0.5190764931109024
KD,0.3478850473364772,0.16210011100128166,0.1440938162767058,0.8639884872686958,0.28879596062961227,0.619740698047664,0.5947608212023645,0.05596458658906456,0.16308323526605384,0.4098068291118948,0.6214767825084173,0.3311866833331696,0.4176220772319992,0.26762581237552857,0.8728560453410251,0.06542937456448766,0.3587226727851597,0.8612503303887076,0.11670780349241372,0.07212404660737945,0.630880805333969,0.1729703025024441,0.11570408640165371,0.19333438299050862,0.14386094094871593,0.15882227191051557
