Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
BAT,Female,0.6368688855273715,0.6355948688177032,0.9054082154270127,0.653916841284149,0.957909491832635,0.9025411899549759,0.9132570195492453,0.5936878630788007,0.08349847252074598,0.05,0.47632194517181414,0.3942773093701736,0.5836760684045639,0.14343630021507586,0.16166300196750197,0.09755088708714402,0.09864719579173224,0.1198011015525688,0.05,0.05,0.07563314692782616,0.05,0.05,0.05,0.15504344614047022,0.10693730673865884
BAT,Male,0.6193766586977771,0.7765188978524888,0.9092672451635094,0.6645301078141013,0.8190889701907895,0.8717089784901979,0.8170957419182662,0.7193206201355202,0.12814584650053246,0.0564802134383731,0.5215261305960586,0.4098279717888592,0.6171116872113658,0.16163385315247666,0.15931123499892896,0.09956442632015014,0.10032101111649219,0.16060820054897762,0.0578781968397817,0.05,0.08736232328431351,0.05,0.05,0.05,0.1906199779625699,0.1293745671997018
CB,Female,0.5008854834139977,0.12022254613028352,0.08210523900572349,0.579526122653385,0.2597069571876935,0.2959695429755313,0.12503965153060387,0.11321552829109505,0.13059381062943284,0.38775121491970366,0.39683815458118415,0.308400452979894,0.2514012707271533,0.10038765866205634,0.4811672456168258,0.05236420672119868,0.16011672762514562,0.11255742465186172,0.07648965550167122,0.05,0.156223648757686,0.05,0.05,0.05,0.13916790720884512,0.4963171952449724
CB,Male,0.4725170406092225,0.12018367614203229,0.07894535073052986,0.6022258590844302,0.2589949123685681,0.28698507992094846,0.10976329877674362,0.11344063406465685,0.1300690181609999,0.3823827119511093,0.3904700429701176,0.2909618490944769,0.24806146151030636,0.11668305979864954,0.44772887318340465,0.06127130456894904,0.17669199179669026,0.1196937723666683,0.07350988402360532,0.05,0.15090516378838104,0.05,0.05,0.05,0.13826283335965336,0.4942967254718014
Cor,Female,0.5017311522714658,0.08273359036326908,0.07803279029495983,0.4995383504634513,0.24724824842667187,0.2581925785364808,0.10014761363219034,0.10679555960213467,0.14303775325212298,0.4577648742632934,0.2648932659815292,0.24274096712873225,0.18166594600212269,0.060933871197003955,0.3249226339940771,0.05,0.16919972120522478,0.07310297709635676,0.0649591510187825,0.05,0.16468302866317447,0.05,0.05,0.05,0.15116743471261793,0.6022887321350614
Cor,Male,0.5106558619484927,0.09247591007518112,0.0880642419676878,0.5628135395657884,0.19970272727910446,0.2505437821281985,0.10153679848447664,0.09362875157806404,0.1276091727362361,0.4558662155329154,0.23710618312235301,0.20887584360553219,0.15270606520967733,0.06668578348783692,0.31303731922091094,0.05000750844806072,0.16860564271616238,0.0851264105153424,0.060829961247878164,0.05,0.13435363805955075,0.05,0.05,0.05,0.15010499912657407,0.6370655715142227
DP,Female,0.259158608836752,0.092917491126435,0.07204871977492824,0.38408620109031294,0.34766327124827084,0.4178522808739868,0.41959193406052486,0.08431009112230084,0.2022836423777869,0.5195172401848578,0.31801657459641863,0.2956064938356081,0.29466587148456097,0.1380384473345955,0.21332736409122705,0.07093316892121015,0.2011103062986031,0.19859257952764978,0.18495202614711412,0.15323203457085258,0.17420854136152086,0.13182581972221896,0.12228419288520578,0.17848930494081555,0.1873695390142914,0.18997654410819706
DP,Male,0.3044562475756442,0.1050963465026427,0.07599570140076643,0.47416564457583527,0.3670866663417937,0.4976548288385859,0.48414774077552936,0.09565350228777561,0.26385134060621473,0.821282998742905,0.3546192304968362,0.3366854058714931,0.3264205368387239,0.10141592068773833,0.15291825471763737,0.05625537450928926,0.13612501594307141,0.13312367215125112,0.1366463638019148,0.08459547084879238,0.13064802676482395,0.08527961117669339,0.08136267543630113,0.10380705553812195,0.23677581103641146,0.23294387730454913
GUT,Female,0.2762918879141483,0.14444372803852482,0.1916873798015415,0.6071229033929889,0.13805863745876815,0.36006175006919083,0.19367507893689065,0.05611485469264564,0.2649568588430288,0.10032581071741482,0.07777754733657047,0.05740016359254522,0.0676475512295461,0.16292579949834288,0.11096015366786523,0.13071238442221875,0.11301296225707971,0.14936957157907826,0.5259408342988177,0.05,0.08176624208780145,0.05,0.05,0.05,0.06908310733879666,0.13666832033611728
GUT,Male,0.32629198422648725,0.16354822363276306,0.22083415161914094,0.6866139603883479,0.13899219655738168,0.4166366809178525,0.23126450925717598,0.05744285192537056,0.3318389285005547,0.12433539946777535,0.07756101511305352,0.056711047042346384,0.06715714423710628,0.20656135239192444,0.11751166012249761,0.1655557007282879,0.11496568969886645,0.1427784006290603,0.5790767657649541,0.05,0.07522749914608992,0.05,0.05,0.05,0.07825281354902032,0.15552924535611537
